megye,telepules,nevjegyzeken,szavazo,ervenyes,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct,TISZA_pct,FIDESZ_KDNP_pct,Mi_Hazank_pct,DK_pct,MKKP_pct,gyoztes
Baranya,Abaliget,461,374,368,8,189,18,2,138,81.128,51.3587,37.5,4.8913,0.5435,2.1739,TISZA
Baranya,Adorjás,129,87,86,0,29,3,0,54,67.4419,33.7209,62.7907,3.4884,0.0,0.0,FIDESZ_KDNP
Baranya,Almamellék,261,190,190,1,79,11,4,86,72.7969,41.5789,45.2632,5.7895,2.1053,0.5263,FIDESZ_KDNP
Baranya,Almáskeresztúr,56,44,44,0,21,2,0,21,78.5714,47.7273,47.7273,4.5455,0.0,0.0,TISZA
Baranya,Alsómocsolád,226,155,151,4,58,9,2,76,68.5841,38.4106,50.3311,5.9603,1.3245,2.649,FIDESZ_KDNP
Baranya,Alsószentmárton,813,560,535,1,179,1,4,275,68.8807,33.4579,51.4019,0.1869,0.7477,0.1869,FIDESZ_KDNP
Baranya,Apátvarasd,100,78,77,0,33,1,2,41,78.0,42.8571,53.2468,1.2987,2.5974,0.0,FIDESZ_KDNP
Baranya,Aranyosgadány,279,191,187,2,90,17,0,66,68.4588,48.1283,35.2941,9.0909,0.0,1.0695,TISZA
Baranya,Babarc,523,381,378,4,119,19,2,150,72.8489,31.4815,39.6825,5.0265,0.5291,1.0582,FIDESZ_KDNP
Baranya,Babarcszőlős,70,51,51,0,20,2,1,27,72.8571,39.2157,52.9412,3.9216,1.9608,0.0,FIDESZ_KDNP
Baranya,Bakonya,279,209,206,2,114,8,3,74,74.9104,55.3398,35.9223,3.8835,1.4563,0.9709,TISZA
Baranya,Baksa,621,478,468,4,263,27,2,159,76.9726,56.1966,33.9744,5.7692,0.4274,0.8547,TISZA
Baranya,Bakóca,210,136,134,0,40,1,0,89,64.7619,29.8507,66.4179,0.7463,0.0,0.0,FIDESZ_KDNP
Baranya,Baranyahídvég,132,94,94,0,35,2,0,56,71.2121,37.234,59.5745,2.1277,0.0,0.0,FIDESZ_KDNP
Baranya,Baranyajenő,334,213,212,1,84,3,2,122,63.7725,39.6226,57.5472,1.4151,0.9434,0.4717,FIDESZ_KDNP
Baranya,Baranyaszentgyörgy,76,52,52,1,13,1,0,37,68.4211,25.0,71.1538,1.9231,0.0,1.9231,FIDESZ_KDNP
Baranya,Basal,154,125,125,0,69,5,2,49,81.1688,55.2,39.2,4.0,1.6,0.0,TISZA
Baranya,Belvárdgyula,294,213,211,2,94,12,2,96,72.449,44.5498,45.4976,5.6872,0.9479,0.9479,FIDESZ_KDNP
Baranya,Beremend,1831,1372,1363,14,757,43,11,525,74.9317,55.5393,38.518,3.1548,0.807,1.0271,TISZA
Baranya,Berkesd,625,472,444,0,175,15,3,174,75.52,39.4144,39.1892,3.3784,0.6757,0.0,TISZA
Baranya,Besence,88,57,57,0,28,2,0,27,64.7727,49.1228,47.3684,3.5088,0.0,0.0,TISZA
Baranya,Bezedek,162,127,126,0,41,2,1,62,78.3951,32.5397,49.2063,1.5873,0.7937,0.0,FIDESZ_KDNP
Baranya,Bicsérd,779,604,604,4,313,26,5,256,77.5353,51.8212,42.3841,4.3046,0.8278,0.6623,TISZA
Baranya,Bikal,511,401,400,1,250,23,4,105,78.4736,62.5,26.25,5.75,1.0,0.25,TISZA
Baranya,Birján,424,361,358,7,190,15,3,120,85.1415,53.0726,33.5196,4.1899,0.838,1.9553,TISZA
Baranya,Bisse,199,146,145,2,64,9,1,69,73.3668,44.1379,47.5862,6.2069,0.6897,1.3793,FIDESZ_KDNP
Baranya,Boda,323,265,256,0,125,26,0,103,82.0433,48.8281,40.2344,10.1562,0.0,0.0,TISZA
Baranya,Bodolyabér,168,110,108,0,44,3,1,46,65.4762,40.7407,42.5926,2.7778,0.9259,0.0,FIDESZ_KDNP
Baranya,Bogdása,199,135,131,3,41,6,0,73,67.8392,31.2977,55.7252,4.5802,0.0,2.2901,FIDESZ_KDNP
Baranya,Bogád,896,731,731,3,425,39,6,252,81.5848,58.1395,34.4733,5.3352,0.8208,0.4104,TISZA
Baranya,Bogádmindszent,314,233,233,1,122,4,1,102,74.2038,52.3605,43.7768,1.7167,0.4292,0.4292,TISZA
Baranya,Boldogasszonyfa,272,213,212,1,67,20,1,121,78.3088,31.6038,57.0755,9.434,0.4717,0.4717,FIDESZ_KDNP
Baranya,Borjád,292,224,221,2,92,20,0,80,76.7123,41.629,36.1991,9.0498,0.0,0.905,TISZA
Baranya,Bosta,104,77,77,1,22,3,0,50,74.0385,28.5714,64.9351,3.8961,0.0,1.2987,FIDESZ_KDNP
Baranya,Botykapeterd,263,181,178,3,73,10,1,82,68.8213,41.0112,46.0674,5.618,0.5618,1.6854,FIDESZ_KDNP
Baranya,Bánfa,126,87,87,0,32,1,0,49,69.0476,36.7816,56.3218,1.1494,0.0,0.0,FIDESZ_KDNP
Baranya,Bár,452,354,352,3,149,37,6,123,78.3186,42.3295,34.9432,10.5114,1.7045,0.8523,TISZA
Baranya,Bóly,2647,2192,2172,15,1078,113,28,774,82.8107,49.6317,35.6354,5.2026,1.2891,0.6906,TISZA
Baranya,Bükkösd,844,603,595,3,299,22,5,247,71.4455,50.2521,41.5126,3.6975,0.8403,0.5042,TISZA
Baranya,Bürüs,53,37,36,0,17,3,0,15,69.8113,47.2222,41.6667,8.3333,0.0,0.0,TISZA
Baranya,Csarnóta,103,72,72,0,35,12,1,23,69.9029,48.6111,31.9444,16.6667,1.3889,0.0,TISZA
