MEGYE,TELEPÜLÉS,osszes_ervenyes_2022,osszes_ervenyes_2026,szavazat_2022,szavazat_2026,szazalek_2022,szazalek_2026,kul_szazalek,kul_szavazat,valtozas_szazalek(%),valtozas_szavazat(%),valtozas_ervenyes(%),telepules_tipus
HAJDÚ-BIHAR,Debrecen,111880,116370,56851,39681,50.81,34.1,-16.71,-17170,-32.89,-30.2,4.01,Megyei jogú város
CSONGRÁD-CSANÁD,Szeged,90429,91611,35202,24320,38.93,26.55,-12.38,-10882,-31.8,-30.91,1.31,Megyei jogú város
GYŐR-MOSON-SOPRON,Győr,71295,73718,35781,25112,50.19,34.06,-16.13,-10669,-32.14,-29.82,3.4,Megyei jogú város
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc,82628,84214,36746,26341,44.47,31.28,-13.19,-10405,-29.66,-28.32,1.92,Megyei jogú város
BARANYA,Pécs,79670,79312,33445,23794,41.98,30,-11.98,-9651,-28.54,-28.86,-0.45,Megyei jogú város
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza,67138,68324,31294,21727,46.61,31.8,-14.81,-9567,-31.77,-30.57,1.77,Megyei jogú város
BUDAPEST,Budapest 11. kerület,78481,80796,31756,22770,40.46,28.18,-12.28,-8986,-30.35,-28.3,2.95,Fővárosi kerület
BÁCS-KISKUN,Kecskemét,61212,64052,30161,21377,49.27,33.37,-15.9,-8784,-32.27,-29.12,4.64,Megyei jogú város
BUDAPEST,Budapest 03. kerület,75066,76796,29902,21177,39.83,27.58,-12.25,-8725,-30.76,-29.18,2.3,Fővárosi kerület
FEJÉR,Székesfehérvár,58931,59445,27924,20286,47.38,34.13,-13.25,-7638,-27.97,-27.35,0.87,Megyei jogú város
BUDAPEST,Budapest 14. kerület,65974,68204,24568,17667,37.24,25.9,-11.34,-6901,-30.45,-28.09,3.38,Fővárosi kerület
BUDAPEST,Budapest 18. kerület,58215,61533,25479,18664,43.77,30.33,-13.44,-6815,-30.71,-26.75,5.7,Fővárosi kerület
BUDAPEST,Budapest 02. kerület,51908,49715,21013,14577,40.48,29.32,-11.16,-6436,-27.57,-30.63,-4.22,Fővárosi kerület
BUDAPEST,Budapest 04. kerület,55843,57367,22021,15686,39.43,27.34,-12.09,-6335,-30.66,-28.77,2.73,Fővárosi kerület
BUDAPEST,Budapest 13. kerület,65791,68202,21942,15726,33.35,23.06,-10.29,-6216,-30.85,-28.33,3.66,Fővárosi kerület
VAS,Szombathely,46479,48055,23842,17721,51.3,36.88,-14.42,-6121,-28.11,-25.67,3.39,Megyei jogú város
BUDAPEST,Budapest 17. kerület,52522,55208,23148,17047,44.07,30.88,-13.19,-6101,-29.93,-26.36,5.11,Fővárosi kerület
BUDAPEST,Budapest 16. kerület,45189,45246,19628,13895,43.44,30.71,-12.73,-5733,-29.3,-29.21,0.13,Fővárosi kerület
BUDAPEST,Budapest 15. kerület,44194,44769,19092,13593,43.2,30.36,-12.84,-5499,-29.72,-28.8,1.3,Fővárosi kerület
PEST,Érd,42452,45044,19809,14551,46.66,32.3,-14.36,-5258,-30.78,-26.54,6.11,Megyei jogú város
JÁSZ-NAGYKUN-SZOLNOK,Szolnok,39626,40170,17413,12210,43.94,30.4,-13.54,-5203,-30.81,-29.88,1.37,Megyei jogú város
BUDAPEST,Budapest 21. kerület,40790,41329,17257,12099,42.31,29.27,-13.04,-5158,-30.82,-29.89,1.32,Fővárosi kerület
BUDAPEST,Budapest 12. kerület,36567,33022,15008,10074,41.04,30.51,-10.53,-4934,-25.66,-32.88,-9.69,Fővárosi kerület
ZALA,Zalaegerszeg,34229,34174,17634,12740,51.52,37.28,-14.24,-4894,-27.64,-27.75,-0.16,Megyei jogú város
HEVES,Eger,31544,30654,14576,9823,46.21,32.04,-14.17,-4753,-30.66,-32.61,-2.82,Megyei jogú város
BUDAPEST,Budapest 08. kerület,32814,30017,13804,9212,42.07,30.69,-11.38,-4592,-27.05,-33.27,-8.52,Fővárosi kerület
BUDAPEST,Budapest 22. kerület,35080,34400,15159,10574,43.21,30.74,-12.47,-4585,-28.86,-30.25,-1.94,Fővárosi kerület
GYŐR-MOSON-SOPRON,Sopron,34631,35339,17684,13176,51.06,37.28,-13.78,-4508,-26.99,-25.49,2.04,Megyei jogú város
BUDAPEST,Budapest 10. kerület,37640,37595,16019,11527,42.56,30.66,-11.9,-4492,-27.96,-28.04,-0.12,Fővárosi kerület
VESZPRÉM,Veszprém,33497,33311,14474,9992,43.21,30,-13.21,-4482,-30.57,-30.97,-0.56,Megyei jogú város
SOMOGY,Kaposvár,34852,35514,16520,12165,47.4,34.25,-13.15,-4355,-27.74,-26.36,1.9,Megyei jogú város
BÉKÉS,Békéscsaba,34510,35263,15452,11126,44.78,31.55,-13.23,-4326,-29.54,-28,2.18,Megyei jogú város
CSONGRÁD-CSANÁD,Hódmezővásárhely,27071,26445,12325,8225,45.53,31.1,-14.43,-4100,-31.69,-33.27,-2.31,Megyei jogú város
KOMÁROM-ESZTERGOM,Tatabánya,36414,38616,16752,12846,46,33.27,-12.73,-3906,-27.67,-23.32,6.05,Megyei jogú város
PEST,Dunakeszi,26869,26411,11307,7404,42.08,28.03,-14.05,-3903,-33.39,-34.52,-1.7,Város
BUDAPEST,Budapest 20. kerület,34486,35843,15154,11280,43.94,31.47,-12.47,-3874,-28.38,-25.56,3.93,Fővárosi kerület
ZALA,Nagykanizsa,27039,27171,12708,9138,47,33.63,-13.37,-3570,-28.45,-28.09,0.49,Megyei jogú város
BUDAPEST,Budapest 07. kerület,24912,21368,9564,6029,38.39,28.22,-10.17,-3535,-26.49,-36.96,-14.23,Fővárosi kerület
PEST,Vác,21232,20705,10798,7366,50.86,35.58,-15.28,-3432,-30.04,-31.78,-2.48,Város
BUDAPEST,Budapest 19. kerület,31238,33096,13057,9645,41.8,29.14,-12.66,-3412,-30.29,-26.13,5.95,Fővárosi kerület
BÁCS-KISKUN,Baja,20744,20375,10393,7105,50.1,34.87,-15.23,-3288,-30.4,-31.64,-1.78,Megyei jogú város
PEST,Szigetszentmiklós,23135,23780,10365,7129,44.8,29.98,-14.82,-3236,-33.08,-31.22,2.79,Város
PEST,Cegléd,20251,21156,11043,7841,54.53,37.06,-17.47,-3202,-32.04,-29,4.47,Város
PEST,Szentendre,19649,17318,8835,5670,44.96,32.74,-12.22,-3165,-27.18,-35.82,-11.86,Város
PEST,Gödöllő,20539,19168,9248,6186,45.03,32.27,-12.76,-3062,-28.34,-33.11,-6.68,Város
BUDAPEST,Budapest 09. kerület,26398,27232,10256,7241,38.85,26.59,-12.26,-3015,-31.56,-29.4,3.16,Fővárosi kerület
JÁSZ-NAGYKUN-SZOLNOK,Jászberény,15893,14662,7951,4937,50.03,33.67,-16.36,-3014,-32.7,-37.91,-7.75,Város
HAJDÚ-BIHAR,Hajdúböszörmény,16743,17276,9341,6377,55.79,36.91,-18.88,-2964,-33.84,-31.73,3.18,Város
VESZPRÉM,Pápa,17632,16797,9774,6861,55.43,40.85,-14.58,-2913,-26.3,-29.8,-4.74,Város
BUDAPEST,Budapest 05. kerület,15819,11092,6699,3791,42.35,34.18,-8.17,-2908,-19.29,-43.41,-29.88,Fővárosi kerület
TOLNA,Szekszárd,19136,18346,9483,6594,49.56,35.94,-13.62,-2889,-27.48,-30.47,-4.13,Megyei jogú város
CSONGRÁD-CSANÁD,Szentes,16215,15562,8138,5290,50.19,33.99,-16.2,-2848,-32.28,-35,-4.03,Város
BÁCS-KISKUN,Kiskunhalas,15263,14292,8173,5345,53.55,37.4,-16.15,-2828,-30.16,-34.6,-6.36,Város
BÁCS-KISKUN,Kiskunfélegyháza,16943,17144,9184,6375,54.21,37.19,-17.02,-2809,-31.4,-30.59,1.19,Város
FEJÉR,Dunaújváros,24951,24718,10169,7422,40.76,30.03,-10.73,-2747,-26.32,-27.01,-0.93,Megyei jogú város
