telep,maztaz,OGY26nevj,OGY26megj,OGY26erv,OGY26ervL,OGY26TiszaE,OGY26FideszE,OGY26MiHazankE,OGY26TiszaL,OGY26FideszL,OGY26MiHazankL,EP24Nevj,EP24Megj,EP24Erv,EP24Fidesz,EP24Tisza,EP24Bal,EP24MiHaz,EP24Momo,EP24MKKP,OGY26Reszv,OGY26TiszaEF,OGY26FideszEF,OGY26MiHazankEF,OGY26TiszaLF,OGY26FideszLF,OGY26MiHazankLF,EP24Reszv,EP24FideszF,EP24TiszaF,EP24BalF,EP24MiHazF,EP24MomoF,EP24MKKPF,kat,FideszKul,atfordult,kul,
Budapest I. ker.,1001,18032,15086,14983,14997,9171,5006,419,9200,4747,572,19708,13587,13451,4949,4372,1074,470,1271,871,83.7,61.2,33.4,2.8,61.3,31.7,3.8,68.9,36.8,32.5,8.0,3.5,9.4,6.5,1,-3.4,1,27.8,0
Budapest II. ker.,1002,58306,50001,49736,49715,32075,14888,1467,31754,14577,1771,62888,45565,44990,15099,15352,4708,1378,4303,2916,85.8,64.5,29.9,2.9,63.9,29.3,3.6,72.5,33.6,34.1,10.5,3.1,9.6,6.5,1,-3.6,0,34.6,0
Budapest III. ker.,1003,91147,77132,76747,76796,49235,21617,3570,49301,21177,3742,96798,64940,64218,20512,21722,8236,3009,4843,3607,84.6,64.2,28.2,4.7,64.2,27.6,4.9,67.1,31.9,33.8,12.8,4.7,7.5,5.6,1,-3.8,0,36.0,0
Budapest IV. ker.,1004,69648,57606,57359,57367,35785,15518,2853,36707,15686,2787,73864,46395,45876,14637,15094,6839,2119,2956,2512,82.7,62.4,27.1,5.0,64.0,27.3,4.9,62.8,31.9,32.9,14.9,4.6,6.4,5.5,1,-4.9,0,35.3,0
Budapest V. ker.,1005,14179,11162,11089,11092,6481,3949,340,6492,3791,443,16566,10543,10382,4086,3289,968,423,776,561,78.7,58.4,35.6,3.1,58.5,34.2,4.0,63.6,39.4,31.7,9.3,4.1,7.5,5.4,1,-3.7,1,22.8,0
Budapest VI. ker.,1006,20560,15486,15397,15401,9878,4381,580,9884,4368,613,23128,13601,13412,4065,4348,1325,488,1878,904,75.3,64.2,28.5,3.8,64.2,28.4,4.0,58.8,30.3,32.4,9.9,3.6,14.0,6.7,1,-1.9,0,35.7,0
Budapest VII. ker.,1007,29601,21558,21423,21368,11914,5836,936,13614,6029,895,32538,17980,17725,5641,5594,2189,706,1623,1350,72.8,55.6,27.2,4.4,63.7,28.2,4.2,55.3,31.8,31.6,12.3,4.0,9.2,7.6,1,-4.6,1,28.4,0
Budapest VIII. ker.,1008,43764,30203,30034,30017,18508,9396,1097,18482,9212,1279,49626,26879,26445,9598,7727,2604,1030,2588,2066,69.0,61.6,31.3,3.7,61.6,30.7,4.3,54.2,36.3,29.2,9.8,3.9,9.8,7.8,1,-5.0,1,30.3,0
Budapest IX. ker.,1009,35816,27423,27284,27232,18062,7359,1042,17954,7241,1143,39587,23751,23454,7076,8180,2364,986,2229,1753,76.6,66.2,27.0,3.8,65.9,26.6,4.2,60.0,30.2,34.9,10.1,4.2,9.5,7.5,1,-3.2,0,39.2,0
Budapest X. ker.,1010,48289,37755,37573,37595,22675,12068,1506,23011,11527,1805,52188,29556,29110,10280,8961,3992,1368,2052,1444,78.2,60.3,32.1,4.0,61.2,30.7,4.8,56.6,35.3,30.8,13.7,4.7,7.0,5.0,1,-3.2,1,28.2,0
Budapest XI. ker.,1011,95220,81172,80836,80796,51925,22979,3266,51902,22770,3416,102091,70706,69980,22633,23239,7770,2757,6689,4519,85.2,64.2,28.4,4.0,64.2,28.2,4.2,69.3,32.3,33.2,11.1,3.9,9.6,6.5,1,-3.9,0,35.8,0
Budapest XII. ker.,1012,38605,33202,33025,33022,20679,10300,999,20520,10074,1181,42397,30765,30392,10698,9898,2288,1028,2749,2893,86.0,62.6,31.2,3.0,62.1,30.5,3.6,72.6,35.2,32.6,7.5,3.4,9.0,9.5,1,-4.0,1,31.4,0
Budapest XIII. ker.,1013,84077,68498,68178,68202,47200,15409,2701,47506,15726,2565,89480,56280,55379,14072,20475,8547,1957,4993,3446,81.5,69.2,22.6,4.0,69.7,23.1,3.8,62.9,25.4,37.0,15.4,3.5,9.0,6.2,1,-2.8,0,46.6,0
Budapest XIV. ker.,1014,82677,68516,68145,68204,39848,16985,3042,45294,17667,2982,88090,56251,55604,16409,19352,6735,2245,5367,3560,82.9,58.5,24.9,4.5,66.4,25.9,4.4,63.9,29.5,34.8,12.1,4.0,9.7,6.4,1,-4.6,0,33.6,0
Budapest XV. ker.,1015,55267,44963,44770,44769,25712,13218,2804,26999,13593,2428,59625,35753,35348,12640,10440,5178,1912,1986,1910,81.4,57.4,29.5,6.3,60.3,30.4,5.4,60.0,35.8,29.5,14.6,5.4,5.6,5.4,1,-6.2,1,27.9,0
Budapest XVI. ker.,1016,52418,45444,45251,45246,27628,14779,1745,27818,13895,2229,55430,38850,38309,14093,12325,4133,1859,2648,1929,86.7,61.1,32.7,3.9,61.5,30.7,4.9,70.1,36.8,32.2,10.8,4.9,6.9,5.0,1,-4.1,1,28.4,0
Budapest XVII. ker.,1017,64790,55401,55190,55208,33842,17087,2773,33627,17047,2991,68070,43865,43400,15804,14048,4817,2240,2992,2011,85.5,61.3,31.0,5.0,60.9,30.9,5.4,64.4,36.4,32.4,11.1,5.2,6.9,4.6,1,-5.5,1,30.4,0
Budapest XVIII. ker.,1018,74398,61777,61462,61533,37388,18440,3214,37608,18664,3290,77942,49191,48694,16940,14583,7917,2571,2539,2100,83.0,60.8,30.0,5.2,61.1,30.3,5.3,63.1,34.8,29.9,16.3,5.3,5.2,4.3,1,-4.8,1,30.8,0
Budapest XIX. ker.,1019,40608,33237,33003,33096,21000,9662,1652,20610,9645,1724,43488,26984,26563,9020,8237,3939,1332,1704,1402,81.8,63.6,29.3,5.0,62.3,29.1,5.2,62.0,34.0,31.0,14.8,5.0,6.4,5.3,1,-4.7,1,34.4,0
Budapest XX. ker.,1020,45824,36047,35868,35843,20942,10976,1886,21581,11280,1835,48284,27363,26999,9851,8194,3631,1459,1460,1381,78.7,58.4,30.6,5.3,60.2,31.5,5.1,56.7,36.5,30.3,13.4,5.4,5.4,5.1,1,-5.9,1,27.8,0
Budapest XXI. ker.,1021,51793,41544,41312,41329,25347,12396,2243,25578,12099,2387,55935,34957,34392,11752,10905,4466,2072,2068,1673,80.2,61.4,30.0,5.4,61.9,29.3,5.8,62.5,34.2,31.7,13.0,6.0,6.0,4.9,1,-4.2,1,31.3,0
Budapest XXII. ker.,1022,40436,34553,34385,34400,21004,10606,1823,20943,10574,1809,43057,29094,28826,10233,9045,3225,1471,2151,1620,85.5,61.1,30.8,5.3,60.9,30.7,5.3,67.6,35.5,31.4,11.2,5.1,7.5,5.6,1,-4.7,1,30.2,0
Budapest XXIII. ker.,1023,16223,13210,13142,13115,7732,3956,672,8018,3968,682,17690,10891,10686,3842,3527,1156,607,570,506,81.4,58.8,30.1,5.1,61.1,30.3,5.2,61.6,36.0,33.0,10.8,5.7,5.3,4.7,1,-5.9,1,28.7,0
Abaliget,2001,461,374,373,368,198,152,15,189,138,18,481,359,350,144,107,23,26,6,22,81.1,53.1,40.8,4.0,51.4,37.5,4.9,74.6,41.1,30.6,6.6,7.4,1.7,6.3,8,-0.4,1,12.3,0
Adorjás,2002,129,87,86,86,28,54,3,29,54,3,134,97,91,71,8,1,7,0,0,67.4,32.6,62.8,3.5,33.7,62.8,3.5,72.4,78.0,8.8,1.1,7.7,0.0,0.0,8,-15.2,0,-30.2,0
Almamellék,2003,261,190,186,190,76,90,8,79,86,11,278,214,200,117,31,27,6,2,1,72.8,40.9,48.4,4.3,41.6,45.3,5.8,77.0,58.5,15.5,13.5,3.0,1.0,0.5,8,-10.1,0,-7.5,0
Almáskeresztúr,2004,56,44,44,44,23,18,3,21,21,2,68,59,59,33,9,9,7,1,0,78.6,52.3,40.9,6.8,47.7,47.7,4.5,86.8,55.9,15.3,15.3,11.9,1.7,0.0,8,-15.0,1,11.4,0
Alsómocsolád,2005,226,155,151,151,61,79,9,58,76,9,232,128,120,74,19,3,8,1,13,68.6,40.4,52.3,6.0,38.4,50.3,6.0,55.2,61.7,15.8,2.5,6.7,0.8,10.8,8,-9.3,0,-11.9,0
Alsószentmárton,2006,813,560,555,535,216,336,1,179,275,1,838,712,661,564,22,35,5,8,8,68.9,38.9,60.5,0.2,33.5,51.4,0.2,85.0,85.3,3.3,5.3,0.8,1.2,1.2,7,-24.8,0,-21.6,0
Apátvarasd,2007,100,78,78,77,33,41,2,33,41,1,102,69,68,42,6,4,12,0,3,78.0,42.3,52.6,2.6,42.9,53.2,1.3,67.6,61.8,8.8,5.9,17.6,0.0,4.4,8,-9.2,0,-10.3,0
Aranyosgadány,2008,279,191,189,187,91,76,18,90,66,17,280,126,121,61,26,5,14,1,4,68.5,48.1,40.2,9.5,48.1,35.3,9.1,45.0,50.4,21.5,4.1,11.6,0.8,3.3,8,-10.2,1,7.9,0
Ág,2009,128,101,99,98,44,53,1,43,52,0,137,106,101,51,34,4,2,5,3,78.9,44.4,53.5,1.0,43.9,53.1,0.0,77.4,50.5,33.7,4.0,2.0,5.0,3.0,8,3.0,0,-9.1,0
Áta,2010,147,121,120,121,63,44,12,61,46,13,147,92,87,44,17,3,10,3,3,82.3,52.5,36.7,10.0,50.4,38.0,10.7,62.6,50.6,19.5,3.4,11.5,3.4,3.4,8,-13.9,1,15.8,0
Babarc,2011,523,381,378,378,133,217,24,119,150,19,572,322,316,195,67,13,16,3,10,72.8,35.2,57.4,6.3,31.5,39.7,5.0,56.3,61.7,21.2,4.1,5.1,0.9,3.2,8,-4.3,0,-22.2,0
Babarcszőlős,2012,70,51,51,51,21,28,2,20,27,2,95,81,73,47,15,0,6,1,4,72.9,41.2,54.9,3.9,39.2,52.9,3.9,85.3,64.4,20.5,0.0,8.2,1.4,5.5,8,-9.5,0,-13.7,0
Bakonya,2013,279,211,209,206,118,77,10,114,74,8,284,212,201,84,35,26,19,11,8,75.6,56.5,36.8,4.8,55.3,35.9,3.9,74.6,41.8,17.4,12.9,9.5,5.5,4.0,8,-4.9,1,19.6,0
