EV,MEGYE,TELEPÜLÉS,n_valpolg_nevjegyz,n_valpolg_megjel,n_ervtelen_szav,n_erv_szav,LISTA,SZAVAZAT
2009,Budapest,Budapest 1,21544,12125,88,12032,FIDESZ-KDNP,6598
2009,Budapest,Budapest 1,21544,12125,88,12032,SZDSZ,769
2009,Budapest,Budapest 1,21544,12125,88,12032,MCF ROMA Ö.,24
2009,Budapest,Budapest 1,21544,12125,88,12032,MUNKÁSPÁRT,67
2009,Budapest,Budapest 1,21544,12125,88,12032,MSZP,1918
2009,Budapest,Budapest 1,21544,12125,88,12032,Jobbik,1253
2009,Budapest,Budapest 1,21544,12125,88,12032,LMP,722
2009,Budapest,Budapest 1,21544,12125,88,12032,MDF,681
2009,Budapest,Budapest 2,68444,40410,228,40149,FIDESZ-KDNP,21310
2009,Budapest,Budapest 2,68444,40410,228,40149,SZDSZ,2684
2009,Budapest,Budapest 2,68444,40410,228,40149,MCF ROMA Ö.,59
2009,Budapest,Budapest 2,68444,40410,228,40149,MUNKÁSPÁRT,189
2009,Budapest,Budapest 2,68444,40410,228,40149,MSZP,7355
2009,Budapest,Budapest 2,68444,40410,228,40149,Jobbik,3754
2009,Budapest,Budapest 2,68444,40410,228,40149,LMP,2226
2009,Budapest,Budapest 2,68444,40410,228,40149,MDF,2572
2009,Budapest,Budapest 3,100488,47410,363,47026,FIDESZ-KDNP,21817
2009,Budapest,Budapest 3,100488,47410,363,47026,SZDSZ,1928
2009,Budapest,Budapest 3,100488,47410,363,47026,MCF ROMA Ö.,76
2009,Budapest,Budapest 3,100488,47410,363,47026,MUNKÁSPÁRT,440
2009,Budapest,Budapest 3,100488,47410,363,47026,MSZP,11001
2009,Budapest,Budapest 3,100488,47410,363,47026,Jobbik,6152
2009,Budapest,Budapest 3,100488,47410,363,47026,LMP,2425
2009,Budapest,Budapest 3,100488,47410,363,47026,MDF,3187
2009,Budapest,Budapest 4,80293,31515,205,31301,FIDESZ-KDNP,13996
2009,Budapest,Budapest 4,80293,31515,205,31301,SZDSZ,1182
2009,Budapest,Budapest 4,80293,31515,205,31301,MCF ROMA Ö.,36
2009,Budapest,Budapest 4,80293,31515,205,31301,MUNKÁSPÁRT,352
2009,Budapest,Budapest 4,80293,31515,205,31301,MSZP,7643
2009,Budapest,Budapest 4,80293,31515,205,31301,Jobbik,4420
2009,Budapest,Budapest 4,80293,31515,205,31301,LMP,1478
2009,Budapest,Budapest 4,80293,31515,205,31301,MDF,2194
2009,Budapest,Budapest 5,21604,11484,81,11395,FIDESZ-KDNP,5812
2009,Budapest,Budapest 5,21604,11484,81,11395,SZDSZ,829
2009,Budapest,Budapest 5,21604,11484,81,11395,MCF ROMA Ö.,34
2009,Budapest,Budapest 5,21604,11484,81,11395,MUNKÁSPÁRT,82
2009,Budapest,Budapest 5,21604,11484,81,11395,MSZP,2319
2009,Budapest,Budapest 5,21604,11484,81,11395,Jobbik,1070
2009,Budapest,Budapest 5,21604,11484,81,11395,LMP,584
2009,Budapest,Budapest 5,21604,11484,81,11395,MDF,665
2009,Budapest,Budapest 6,29696,13052,113,12932,FIDESZ-KDNP,6135
2009,Budapest,Budapest 6,29696,13052,113,12932,SZDSZ,840
