"Vármegye","Egyéni választókerület","Választókerület jelöltjeire szavazók aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma","Belföldön más OEVK-ba átjelentkezettek száma","Külképviseleten szavazók száma","Választókerületi névjegyzékben szereplő választópolgárok aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma ","OEVK-ba átjelentkezett szavazók száma"
"Budapest főváros","Budapest főváros, 01. számú egyéni választókerület","73 914","68 236","2 851","2 827","75 687","68 236","7 451"
"Budapest főváros","Budapest főváros, 02. számú egyéni választókerület","76 449","70 948","3 213","2 288","82 213","70 948","11 265"
"Budapest főváros","Budapest főváros, 03. számú egyéni választókerület","78 431","73 601","2 074","2 756","86 511","73 601","12 910"
"Budapest főváros","Budapest főváros, 04. számú egyéni választókerület","80 326","75 060","1 979","3 287","79 124","75 060","4 064"
"Budapest főváros","Budapest főváros, 05. számú egyéni választókerület","76 968","71 697","3 058","2 213","74 555","71 697","2 858"
"Budapest főváros","Budapest főváros, 06. számú egyéni választókerület","78 254","73 170","2 821","2 263","81 019","73 170","7 849"
"Budapest főváros","Budapest főváros, 07. számú egyéni választókerület","75 379","71 504","2 378","1 497","76 012","71 504","4 508"
"Budapest főváros","Budapest főváros, 08. számú egyéni választókerület","79 277","76 093","1 911","1 273","81 209","76 093","5 116"
"Budapest főváros","Budapest főváros, 09. számú egyéni választókerület","75 105","72 276","1 785","1 044","76 984","72 276","4 708"
"Budapest főváros","Budapest főváros, 10. számú egyéni választókerület","77 060","73 477","1 931","1 652","75 359","73 477","1 882"
"Budapest főváros","Budapest főváros, 11. számú egyéni választókerület","79 524","75 657","2 141","1 726","81 203","75 657","5 546"
"Budapest főváros","Budapest főváros, 12. számú egyéni választókerület","78 751","75 030","2 239","1 482","88 620","75 030","13 590"
"Budapest főváros","Budapest főváros, 13. számú egyéni választókerület","76 565","73 582","1 804","1 179","76 596","73 582","3 014"
"Budapest főváros","Budapest főváros, 14. számú egyéni választókerület","77 330","74 272","1 608","1 450","76 566","74 272","2 294"
"Budapest főváros","Budapest főváros, 15. számú egyéni választókerület","79 322","76 563","1 564","1 195","78 662","76 563","2 099"
"Budapest főváros","Budapest főváros, 16. számú egyéni választókerület","83 447","80 463","1 749","1 235","81 126","80 463","663"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 01. számú egyéni választókerület","67 906","65 638","1 637","631","66 064","65 638","426"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 02. számú egyéni választókerület","71 504","68 827","1 856","821","71 290","68 827","2 463"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 03. számú egyéni választókerület","63 227","60 753","1 949","525","61 667","60 753","914"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 04. számú egyéni választókerület","70 065","67 875","1 651","539","68 723","67 875","848"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 05. számú egyéni választókerület","65 594","62 910","2 060","624","63 744","62 910","834"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 06. számú egyéni választókerület","62 134","59 374","2 114","646","60 243","59 374","869"
"Baranya vármegye","Baranya vármegye, 01. számú egyéni választókerület","70 739","66 929","2 586","1 224","71 086","66 929","4 157"
"Baranya vármegye","Baranya vármegye, 02. számú egyéni választókerület","74 934","71 615","2 331","988","72 141","71 615","526"
"Baranya vármegye","Baranya vármegye, 03. számú egyéni választókerület","68 656","66 164","1 820","672","67 171","66 164","1 007"
"Baranya vármegye","Baranya vármegye, 04. számú egyéni választókerület","73 779","71 249","1 996","534","72 441","71 249","1 192"
"Békés vármegye","Békés vármegye, 01. számú egyéni választókerület","66 019","62 581","2 709","729","63 696","62 581","1 115"
"Békés vármegye","Békés vármegye, 02. számú egyéni választókerület","66 392","63 501","2 269","622","64 167","63 501","666"
"Békés vármegye","Békés vármegye, 03. számú egyéni választókerület","65 263","62 206","2 492","565","63 208","62 206","1 002"
"Békés vármegye","Békés vármegye, 04. számú egyéni választókerület","68 154","64 876","2 604","674","65 590","64 876","714"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 01. számú egyéni választókerület","69 135","66 108","2 207","820","66 386","66 108","278"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 02. számú egyéni választókerület","68 266","64 949","2 442","875","67 064","64 949","2 115"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 03. számú egyéni választókerület","67 593","65 038","2 185","370","65 623","65 038","585"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","71 309","68 655","2 151","503","69 347","68 655","692"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","70 017","66 415","3 117","485","67 324","66 415","909"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 06. számú egyéni választókerület","73 582","70 643","2 379","560","71 349","70 643","706"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 07. számú egyéni választókerület","74 213","71 555","2 072","586","72 513","71 555","958"
"Csongrád-Csanád vármegye","Csongrád-Csanád vármegye, 01. számú egyéni választókerület","81 952","77 724","2 641","1 587","77 724","77 724","0"
"Csongrád-Csanád vármegye","Csongrád-Csanád vármegye, 02. számú egyéni választókerület","80 113","76 813","2 128","1 172","82 490","76 813","5 677"
