megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,reszvetel_pct,part,szavazat,szavazat_pct
Baranya,Abaliget,461,0,0,461,374,0,374,0,374,0,6,368,81.128,DK,2,0.5435
Baranya,Abaliget,461,0,0,461,374,0,374,0,374,0,6,368,81.128,FIDESZ_KDNP,138,37.5
Baranya,Abaliget,461,0,0,461,374,0,374,0,374,0,6,368,81.128,MKKP,8,2.1739
Baranya,Abaliget,461,0,0,461,374,0,374,0,374,0,6,368,81.128,Mi_Hazank,18,4.8913
Baranya,Abaliget,461,0,0,461,374,0,374,0,374,0,6,368,81.128,TISZA,189,51.3587
Baranya,Adorjás,129,0,0,129,87,0,87,0,87,0,1,86,67.4419,DK,0,0.0
Baranya,Adorjás,129,0,0,129,87,0,87,0,87,0,1,86,67.4419,FIDESZ_KDNP,54,62.7907
Baranya,Adorjás,129,0,0,129,87,0,87,0,87,0,1,86,67.4419,MKKP,0,0.0
Baranya,Adorjás,129,0,0,129,87,0,87,0,87,0,1,86,67.4419,Mi_Hazank,3,3.4884
Baranya,Adorjás,129,0,0,129,87,0,87,0,87,0,1,86,67.4419,TISZA,29,33.7209
Baranya,Almamellék,261,0,0,261,190,0,190,0,190,0,0,190,72.7969,DK,4,2.1053
Baranya,Almamellék,261,0,0,261,190,0,190,0,190,0,0,190,72.7969,FIDESZ_KDNP,86,45.2632
Baranya,Almamellék,261,0,0,261,190,0,190,0,190,0,0,190,72.7969,MKKP,1,0.5263
Baranya,Almamellék,261,0,0,261,190,0,190,0,190,0,0,190,72.7969,Mi_Hazank,11,5.7895
Baranya,Almamellék,261,0,0,261,190,0,190,0,190,0,0,190,72.7969,TISZA,79,41.5789
Baranya,Almáskeresztúr,56,0,0,56,44,0,44,0,44,0,0,44,78.5714,DK,0,0.0
Baranya,Almáskeresztúr,56,0,0,56,44,0,44,0,44,0,0,44,78.5714,FIDESZ_KDNP,21,47.7273
Baranya,Almáskeresztúr,56,0,0,56,44,0,44,0,44,0,0,44,78.5714,MKKP,0,0.0
Baranya,Almáskeresztúr,56,0,0,56,44,0,44,0,44,0,0,44,78.5714,Mi_Hazank,2,4.5455
Baranya,Almáskeresztúr,56,0,0,56,44,0,44,0,44,0,0,44,78.5714,TISZA,21,47.7273
Baranya,Alsómocsolád,226,0,0,226,155,0,155,0,155,0,4,151,68.5841,DK,2,1.3245
Baranya,Alsómocsolád,226,0,0,226,155,0,155,0,155,0,4,151,68.5841,FIDESZ_KDNP,76,50.3311
Baranya,Alsómocsolád,226,0,0,226,155,0,155,0,155,0,4,151,68.5841,MKKP,4,2.649
Baranya,Alsómocsolád,226,0,0,226,155,0,155,0,155,0,4,151,68.5841,Mi_Hazank,9,5.9603
Baranya,Alsómocsolád,226,0,0,226,155,0,155,0,155,0,4,151,68.5841,TISZA,58,38.4106
Baranya,Alsószentmárton,813,0,0,813,560,0,560,0,560,0,25,535,68.8807,DK,4,0.7477
Baranya,Alsószentmárton,813,0,0,813,560,0,560,0,560,0,25,535,68.8807,FIDESZ_KDNP,275,51.4019
Baranya,Alsószentmárton,813,0,0,813,560,0,560,0,560,0,25,535,68.8807,MKKP,1,0.1869
Baranya,Alsószentmárton,813,0,0,813,560,0,560,0,560,0,25,535,68.8807,Mi_Hazank,1,0.1869
Baranya,Alsószentmárton,813,0,0,813,560,0,560,0,560,0,25,535,68.8807,TISZA,179,33.4579
Baranya,Apátvarasd,100,0,0,100,78,0,78,0,78,0,1,77,78.0,DK,2,2.5974
Baranya,Apátvarasd,100,0,0,100,78,0,78,0,78,0,1,77,78.0,FIDESZ_KDNP,41,53.2468
Baranya,Apátvarasd,100,0,0,100,78,0,78,0,78,0,1,77,78.0,MKKP,0,0.0
Baranya,Apátvarasd,100,0,0,100,78,0,78,0,78,0,1,77,78.0,Mi_Hazank,1,1.2987
Baranya,Apátvarasd,100,0,0,100,78,0,78,0,78,0,1,77,78.0,TISZA,33,42.8571
Baranya,Aranyosgadány,279,0,0,279,191,0,191,0,191,0,4,187,68.4588,DK,0,0.0
Baranya,Aranyosgadány,279,0,0,279,191,0,191,0,191,0,4,187,68.4588,FIDESZ_KDNP,66,35.2941
Baranya,Aranyosgadány,279,0,0,279,191,0,191,0,191,0,4,187,68.4588,MKKP,2,1.0695
Baranya,Aranyosgadány,279,0,0,279,191,0,191,0,191,0,4,187,68.4588,Mi_Hazank,17,9.0909
Baranya,Aranyosgadány,279,0,0,279,191,0,191,0,191,0,4,187,68.4588,TISZA,90,48.1283
Baranya,Babarc,523,0,0,523,381,0,381,0,381,0,3,378,72.8489,DK,2,0.5291
Baranya,Babarc,523,0,0,523,381,0,381,0,381,0,3,378,72.8489,FIDESZ_KDNP,150,39.6825
Baranya,Babarc,523,0,0,523,381,0,381,0,381,0,3,378,72.8489,MKKP,4,1.0582
Baranya,Babarc,523,0,0,523,381,0,381,0,381,0,3,378,72.8489,Mi_Hazank,19,5.0265
Baranya,Babarc,523,0,0,523,381,0,381,0,381,0,3,378,72.8489,TISZA,119,31.4815
Baranya,Babarcszőlős,70,0,0,70,51,0,51,0,51,0,0,51,72.8571,DK,1,1.9608
Baranya,Babarcszőlős,70,0,0,70,51,0,51,0,51,0,0,51,72.8571,FIDESZ_KDNP,27,52.9412
Baranya,Babarcszőlős,70,0,0,70,51,0,51,0,51,0,0,51,72.8571,MKKP,0,0.0
Baranya,Babarcszőlős,70,0,0,70,51,0,51,0,51,0,0,51,72.8571,Mi_Hazank,2,3.9216
Baranya,Babarcszőlős,70,0,0,70,51,0,51,0,51,0,0,51,72.8571,TISZA,20,39.2157
Baranya,Bakonya,279,0,0,279,209,0,209,0,209,0,3,206,74.9104,DK,3,1.4563
Baranya,Bakonya,279,0,0,279,209,0,209,0,209,0,3,206,74.9104,FIDESZ_KDNP,74,35.9223
Baranya,Bakonya,279,0,0,279,209,0,209,0,209,0,3,206,74.9104,MKKP,2,0.9709
Baranya,Bakonya,279,0,0,279,209,0,209,0,209,0,3,206,74.9104,Mi_Hazank,8,3.8835
Baranya,Bakonya,279,0,0,279,209,0,209,0,209,0,3,206,74.9104,TISZA,114,55.3398
Baranya,Baksa,621,0,0,621,478,0,478,0,478,0,10,468,76.9726,DK,2,0.4274
Baranya,Baksa,621,0,0,621,478,0,478,0,478,0,10,468,76.9726,FIDESZ_KDNP,159,33.9744
Baranya,Baksa,621,0,0,621,478,0,478,0,478,0,10,468,76.9726,MKKP,4,0.8547
Baranya,Baksa,621,0,0,621,478,0,478,0,478,0,10,468,76.9726,Mi_Hazank,27,5.7692
Baranya,Baksa,621,0,0,621,478,0,478,0,478,0,10,468,76.9726,TISZA,263,56.1966
Baranya,Bakóca,210,0,0,210,136,0,136,0,136,0,2,134,64.7619,DK,0,0.0
Baranya,Bakóca,210,0,0,210,136,0,136,0,136,0,2,134,64.7619,FIDESZ_KDNP,89,66.4179
Baranya,Bakóca,210,0,0,210,136,0,136,0,136,0,2,134,64.7619,MKKP,0,0.0
Baranya,Bakóca,210,0,0,210,136,0,136,0,136,0,2,134,64.7619,Mi_Hazank,1,0.7463
Baranya,Bakóca,210,0,0,210,136,0,136,0,136,0,2,134,64.7619,TISZA,40,29.8507
Baranya,Baranyahídvég,132,0,0,132,94,0,94,0,94,0,0,94,71.2121,DK,0,0.0
Baranya,Baranyahídvég,132,0,0,132,94,0,94,0,94,0,0,94,71.2121,FIDESZ_KDNP,56,59.5745
Baranya,Baranyahídvég,132,0,0,132,94,0,94,0,94,0,0,94,71.2121,MKKP,0,0.0
Baranya,Baranyahídvég,132,0,0,132,94,0,94,0,94,0,0,94,71.2121,Mi_Hazank,2,2.1277
Baranya,Baranyahídvég,132,0,0,132,94,0,94,0,94,0,0,94,71.2121,TISZA,35,37.234
