megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct
Baranya,Abaliget,461,0,0,461,374,0,374,0,374,0,6,368,8,189,18,2,138,81.128
Baranya,Adorjás,129,0,0,129,87,0,87,0,87,0,1,86,0,29,3,0,54,67.4419
Baranya,Almamellék,261,0,0,261,190,0,190,0,190,0,0,190,1,79,11,4,86,72.7969
Baranya,Almáskeresztúr,56,0,0,56,44,0,44,0,44,0,0,44,0,21,2,0,21,78.5714
Baranya,Alsómocsolád,226,0,0,226,155,0,155,0,155,0,4,151,4,58,9,2,76,68.5841
Baranya,Alsószentmárton,813,0,0,813,560,0,560,0,560,0,25,535,1,179,1,4,275,68.8807
Baranya,Apátvarasd,100,0,0,100,78,0,78,0,78,0,1,77,0,33,1,2,41,78.0
Baranya,Aranyosgadány,279,0,0,279,191,0,191,0,191,0,4,187,2,90,17,0,66,68.4588
Baranya,Babarc,523,0,0,523,381,0,381,0,381,0,3,378,4,119,19,2,150,72.8489
Baranya,Babarcszőlős,70,0,0,70,51,0,51,0,51,0,0,51,0,20,2,1,27,72.8571
Baranya,Bakonya,279,0,0,279,209,0,209,0,209,0,3,206,2,114,8,3,74,74.9104
Baranya,Baksa,621,0,0,621,478,0,478,0,478,0,10,468,4,263,27,2,159,76.9726
Baranya,Bakóca,210,0,0,210,136,0,136,0,136,0,2,134,0,40,1,0,89,64.7619
Baranya,Baranyahídvég,132,0,0,132,94,0,94,0,94,0,0,94,0,35,2,0,56,71.2121
Baranya,Baranyajenő,334,0,0,334,213,0,213,0,213,0,1,212,1,84,3,2,122,63.7725
Baranya,Baranyaszentgyörgy,76,0,0,76,52,0,52,0,52,0,0,52,1,13,1,0,37,68.4211
Baranya,Basal,154,0,0,154,125,0,125,0,125,0,0,125,0,69,5,2,49,81.1688
Baranya,Belvárdgyula,294,0,0,294,213,0,213,0,213,0,2,211,2,94,12,2,96,72.449
Baranya,Beremend,1831,0,0,1831,1372,0,1372,0,1373,0,10,1363,14,757,43,11,525,74.9317
Baranya,Berkesd,625,0,0,625,472,0,472,0,473,0,29,444,0,175,15,3,174,75.52
Baranya,Besence,88,0,0,88,57,0,57,0,57,0,0,57,0,28,2,0,27,64.7727
Baranya,Bezedek,162,0,0,162,127,0,127,0,127,0,1,126,0,41,2,1,62,78.3951
Baranya,Bicsérd,779,0,0,779,604,0,604,0,604,0,0,604,4,313,26,5,256,77.5353
Baranya,Bikal,511,0,0,511,401,0,401,0,401,0,1,400,1,250,23,4,105,78.4736
Baranya,Birján,424,0,0,424,361,0,361,0,361,0,3,358,7,190,15,3,120,85.1415
Baranya,Bisse,199,0,0,199,146,0,146,0,146,0,1,145,2,64,9,1,69,73.3668
Baranya,Boda,323,0,0,323,265,0,265,0,267,0,11,256,0,125,26,0,103,82.0433
Baranya,Bodolyabér,168,0,0,168,110,0,110,0,110,0,2,108,0,44,3,1,46,65.4762
Baranya,Bogdása,199,0,0,199,135,0,135,0,135,0,4,131,3,41,6,0,73,67.8392
Baranya,Bogád,896,0,0,896,731,0,731,0,735,0,4,731,3,425,39,6,252,81.5848
Baranya,Bogádmindszent,314,0,0,314,233,0,233,0,233,0,0,233,1,122,4,1,102,74.2038
Baranya,Boldogasszonyfa,272,0,0,272,213,0,213,0,213,0,1,212,1,67,20,1,121,78.3088
Baranya,Borjád,292,0,0,292,224,0,224,0,224,0,3,221,2,92,20,0,80,76.7123
Baranya,Bosta,104,0,0,104,77,0,77,0,77,0,0,77,1,22,3,0,50,74.0385
Baranya,Botykapeterd,263,0,0,263,181,0,181,0,181,0,3,178,3,73,10,1,82,68.8213
Baranya,Bánfa,126,0,0,126,87,0,87,0,87,0,0,87,0,32,1,0,49,69.0476
Baranya,Bár,452,0,0,452,354,0,354,0,354,0,2,352,3,149,37,6,123,78.3186
Baranya,Bóly,2647,0,0,2647,2192,0,2192,0,2191,0,19,2172,15,1078,113,28,774,82.8107
Baranya,Bükkösd,844,0,0,844,603,0,603,0,603,0,8,595,3,299,22,5,247,71.4455
Baranya,Bürüs,53,0,0,53,37,0,37,0,37,0,1,36,0,17,3,0,15,69.8113
Baranya,Csarnóta,103,0,0,103,72,0,72,0,72,0,0,72,0,35,12,1,23,69.9029
Baranya,Csebény,56,0,0,56,48,0,48,0,48,0,0,48,0,21,4,0,23,85.7143
Baranya,Cserdi,285,0,0,285,165,0,165,0,165,0,11,154,0,63,7,4,62,57.8947
Baranya,Cserkút,537,0,0,537,432,0,432,0,432,0,0,432,5,256,37,9,125,80.4469
Baranya,Csertő,298,0,0,298,211,0,211,0,211,0,1,210,2,89,8,4,107,70.8054
Baranya,Csonkamindszent,126,0,0,126,96,0,96,0,96,0,1,95,1,35,4,1,52,76.1905
Baranya,Csányoszró,469,0,0,469,309,0,309,0,309,0,7,302,1,161,3,4,125,65.8849
Baranya,Cún,158,0,0,158,103,0,103,0,99,0,1,98,1,48,3,0,46,65.1899
Baranya,Dencsháza,415,0,0,415,255,0,255,0,255,0,8,247,2,128,4,2,102,61.4458
Baranya,Dinnyeberki,61,0,0,61,42,0,42,0,42,0,3,39,0,18,1,0,20,68.8525
Baranya,Diósviszló,500,0,0,500,357,0,357,0,352,0,9,343,2,137,9,4,181,71.4
Baranya,Drávacsehi,134,0,0,134,90,0,90,0,90,0,2,88,0,37,1,4,44,67.1642
Baranya,Drávacsepely,167,0,0,167,123,0,123,0,123,0,0,123,0,41,10,1,71,73.6527
Baranya,Drávafok,360,0,0,360,232,0,232,0,232,0,9,223,1,101,6,1,83,64.4444
Baranya,Drávaiványi,119,0,0,119,79,0,79,0,79,0,2,77,0,19,2,0,54,66.3866
Baranya,Drávakeresztúr,81,0,0,81,60,0,60,0,59,0,0,59,1,13,3,0,29,74.0741
Baranya,Drávapalkonya,208,0,0,208,138,0,138,0,137,0,4,133,1,58,4,2,60,66.3462
Baranya,Drávapiski,74,0,0,74,54,0,54,0,54,0,1,53,0,23,0,0,30,72.973
Baranya,Drávaszabolcs,519,0,0,519,375,0,375,0,375,0,6,369,2,190,19,3,141,72.2543
Baranya,Drávaszerdahely,126,0,0,126,103,0,103,0,103,0,0,103,0,46,14,0,42,81.746
Baranya,Drávasztára,284,0,0,284,190,0,190,0,190,0,4,186,0,66,7,1,94,66.9014
Baranya,Dunaszekcső,1442,0,0,1442,1006,0,1006,0,1002,0,32,970,4,360,41,7,431,69.7642
Baranya,Egerág,761,0,0,761,625,0,625,0,625,0,0,625,5,338,51,8,221,82.1288
Baranya,Egyházasharaszti,250,0,0,250,179,0,179,0,179,0,0,179,1,64,0,0,106,71.6
Baranya,Egyházaskozár,551,0,0,551,405,0,405,0,405,0,2,403,5,210,28,14,136,73.5027
Baranya,Ellend,173,0,0,173,133,0,133,0,133,0,1,132,0,70,12,0,49,76.8786
Baranya,Endrőc,279,0,0,279,187,0,187,0,187,0,9,178,1,77,7,1,79,67.0251
Baranya,Erdősmecske,270,0,0,270,199,0,199,0,205,0,20,185,0,53,6,0,109,73.7037
Baranya,Erdősmárok,56,0,0,56,46,0,46,0,46,0,1,45,0,17,4,0,24,82.1429
Baranya,Erzsébet,218,0,0,218,160,0,160,0,160,0,2,158,1,89,12,0,47,73.3945
Baranya,Fazekasboda,145,0,0,145,102,0,102,0,102,0,4,98,0,32,3,0,39,70.3448
Baranya,Feked,149,0,0,149,134,0,134,0,134,0,2,132,1,57,5,0,39,89.9329
Baranya,Felsőegerszeg,100,0,0,100,81,0,81,0,81,0,1,80,1,41,2,1,34,81.0
Baranya,Felsőszentmárton,619,0,0,619,467,0,467,0,467,0,8,459,2,140,27,3,218,75.4443
Baranya,Garé,238,0,0,238,196,0,196,0,196,0,0,196,2,98,7,2,86,82.3529
