megye,telepules,part,part_full,osszes_vp,osszes_szavazo,ervenyes,ervenytelen,reszvetel_pct,szavazat,szavazat_pct
BARANYA,Abaliget,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,510,369,366,3,72.3529,178,48.6339
BARANYA,Abaliget,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,510,369,366,3,72.3529,21,5.7377
BARANYA,Abaliget,Megoldas,MEGOLDÁS MOZGALOM,510,369,366,3,72.3529,1,0.2732
BARANYA,Abaliget,Mi_Hazank,MI HAZÁNK MOZGALOM,510,369,366,3,72.3529,19,5.1913
BARANYA,Abaliget,NEP,NORMÁLIS ÉLET PÁRTJA,510,369,366,3,72.3529,4,1.0929
BARANYA,Abaliget,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,510,369,366,3,72.3529,140,38.2514
BARANYA,Adorjás,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,134,85,82,3,63.4328,69,84.1463
BARANYA,Adorjás,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,134,85,82,3,63.4328,0,0.0
BARANYA,Adorjás,Megoldas,MEGOLDÁS MOZGALOM,134,85,82,3,63.4328,0,0.0
BARANYA,Adorjás,Mi_Hazank,MI HAZÁNK MOZGALOM,134,85,82,3,63.4328,2,2.439
BARANYA,Adorjás,NEP,NORMÁLIS ÉLET PÁRTJA,134,85,82,3,63.4328,0,0.0
BARANYA,Adorjás,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,134,85,82,3,63.4328,11,13.4146
BARANYA,Almamellék,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,308,192,187,5,62.3377,114,60.9626
BARANYA,Almamellék,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,308,192,187,5,62.3377,1,0.5348
BARANYA,Almamellék,Megoldas,MEGOLDÁS MOZGALOM,308,192,187,5,62.3377,1,0.5348
BARANYA,Almamellék,Mi_Hazank,MI HAZÁNK MOZGALOM,308,192,187,5,62.3377,5,2.6738
BARANYA,Almamellék,NEP,NORMÁLIS ÉLET PÁRTJA,308,192,187,5,62.3377,2,1.0695
BARANYA,Almamellék,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,308,192,187,5,62.3377,55,29.4118
BARANYA,Almáskeresztúr,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,58,45,45,0,77.5862,24,53.3333
BARANYA,Almáskeresztúr,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,58,45,45,0,77.5862,1,2.2222
BARANYA,Almáskeresztúr,Megoldas,MEGOLDÁS MOZGALOM,58,45,45,0,77.5862,0,0.0
BARANYA,Almáskeresztúr,Mi_Hazank,MI HAZÁNK MOZGALOM,58,45,45,0,77.5862,5,11.1111
BARANYA,Almáskeresztúr,NEP,NORMÁLIS ÉLET PÁRTJA,58,45,45,0,77.5862,0,0.0
BARANYA,Almáskeresztúr,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,58,45,45,0,77.5862,15,33.3333
BARANYA,Alsómocsolád,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,242,151,150,1,62.3967,108,72.0
BARANYA,Alsómocsolád,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,242,151,150,1,62.3967,12,8.0
BARANYA,Alsómocsolád,Megoldas,MEGOLDÁS MOZGALOM,242,151,150,1,62.3967,4,2.6667
BARANYA,Alsómocsolád,Mi_Hazank,MI HAZÁNK MOZGALOM,242,151,150,1,62.3967,7,4.6667
BARANYA,Alsómocsolád,NEP,NORMÁLIS ÉLET PÁRTJA,242,151,150,1,62.3967,0,0.0
BARANYA,Alsómocsolád,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,242,151,150,1,62.3967,19,12.6667
BARANYA,Alsószentmárton,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,821,525,521,4,63.9464,485,93.0902
BARANYA,Alsószentmárton,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,821,525,521,4,63.9464,1,0.1919
BARANYA,Alsószentmárton,Megoldas,MEGOLDÁS MOZGALOM,821,525,521,4,63.9464,1,0.1919
BARANYA,Alsószentmárton,Mi_Hazank,MI HAZÁNK MOZGALOM,821,525,521,4,63.9464,0,0.0
BARANYA,Alsószentmárton,NEP,NORMÁLIS ÉLET PÁRTJA,821,525,521,4,63.9464,2,0.3839
BARANYA,Alsószentmárton,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,821,525,521,4,63.9464,32,6.142
BARANYA,Apátvarasd,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,102,66,66,0,64.7059,42,63.6364
BARANYA,Apátvarasd,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,102,66,66,0,64.7059,5,7.5758
BARANYA,Apátvarasd,Megoldas,MEGOLDÁS MOZGALOM,102,66,66,0,64.7059,1,1.5152
BARANYA,Apátvarasd,Mi_Hazank,MI HAZÁNK MOZGALOM,102,66,66,0,64.7059,2,3.0303
BARANYA,Apátvarasd,NEP,NORMÁLIS ÉLET PÁRTJA,102,66,66,0,64.7059,0,0.0
BARANYA,Apátvarasd,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,102,66,66,0,64.7059,16,24.2424
