forras,datum,dimenzio,csoport,nepesseg,part,szazalek,fo
Europion,2026-05-09,Teljes,Teljes népesség,7613,Fidesz,23,1751
Europion,2026-05-09,Teljes,Teljes népesség,7613,Tisza,52,3959
Europion,2026-05-09,Teljes,Teljes népesség,7613,Mi Hazánk,7,533
Europion,2026-05-09,Teljes,Teljes népesség,7613,Egyéb,18,1370
Europion,2026-05-09,Nem,Nő,4035,Fidesz,22,888
Europion,2026-05-09,Nem,Nő,4035,Tisza,51,2058
Europion,2026-05-09,Nem,Nő,4035,Mi Hazánk,5,202
Europion,2026-05-09,Nem,Nő,4035,Egyéb,22,888
Europion,2026-05-09,Nem,Férfi,3578,Fidesz,24,859
Europion,2026-05-09,Nem,Férfi,3578,Tisza,52,1861
Europion,2026-05-09,Nem,Férfi,3578,Mi Hazánk,9,322
Europion,2026-05-09,Nem,Férfi,3578,Egyéb,15,537
Europion,2026-05-09,Korcsoport,18-29,1206,Fidesz,11,133
Europion,2026-05-09,Korcsoport,18-29,1206,Tisza,64,772
Europion,2026-05-09,Korcsoport,18-29,1206,Mi Hazánk,6,72
Europion,2026-05-09,Korcsoport,18-29,1206,Egyéb,19,229
Europion,2026-05-09,Korcsoport,30-39,1196,Fidesz,14,167
Europion,2026-05-09,Korcsoport,30-39,1196,Tisza,64,765
Europion,2026-05-09,Korcsoport,30-39,1196,Mi Hazánk,5,60
Europion,2026-05-09,Korcsoport,30-39,1196,Egyéb,17,203
Europion,2026-05-09,Korcsoport,40-49,1435,Fidesz,24,344
Europion,2026-05-09,Korcsoport,40-49,1435,Tisza,50,718
Europion,2026-05-09,Korcsoport,40-49,1435,Mi Hazánk,8,115
Europion,2026-05-09,Korcsoport,40-49,1435,Egyéb,18,258
Europion,2026-05-09,Korcsoport,50-59,1334,Fidesz,28,374
Europion,2026-05-09,Korcsoport,50-59,1334,Tisza,45,600
Europion,2026-05-09,Korcsoport,50-59,1334,Mi Hazánk,8,107
