forras,datum,dimenzio,csoport,nepesseg,part,szazalek,fo
Medián,2026-04-12,Teljes,Teljes népesség,7613,Fidesz,32,2436
Medián,2026-04-12,Teljes,Teljes népesség,7613,Tisza,48,3654
Medián,2026-04-12,Teljes,Teljes népesség,7613,Egyéb,20,1523
Medián,2026-04-08,Nem,Nő,4035,Tisza,45,1816
Medián,2026-04-08,Nem,Nő,4035,Fidesz,33,1332
Medián,2026-04-08,Nem,Nő,4035,Egyéb,22,888
Medián,2026-04-08,Nem,Férfi,3578,Tisza,50,1789
Medián,2026-04-08,Nem,Férfi,3578,Fidesz,27,966
Medián,2026-04-08,Nem,Férfi,3578,Egyéb,23,823
Medián,2026-04-12,Korcsoport,18-29,1206,Fidesz,11,133
Medián,2026-04-12,Korcsoport,18-29,1206,Tisza,73,880
Medián,2026-04-12,Korcsoport,18-29,1206,Egyéb,16,193
Medián,2026-04-12,Korcsoport,30-39,1196,Fidesz,15,179
Medián,2026-04-12,Korcsoport,30-39,1196,Tisza,68,813
Medián,2026-04-12,Korcsoport,30-39,1196,Egyéb,17,203
Medián,2026-04-12,Korcsoport,40-49,1435,Fidesz,32,459
Medián,2026-04-12,Korcsoport,40-49,1435,Tisza,48,689
Medián,2026-04-12,Korcsoport,40-49,1435,Egyéb,20,287
Medián,2026-04-12,Korcsoport,50-64,1854,Fidesz,41,760
Medián,2026-04-12,Korcsoport,50-64,1854,Tisza,38,705
Medián,2026-04-12,Korcsoport,50-64,1854,Egyéb,21,389
Medián,2026-04-12,Korcsoport,65+,1923,Fidesz,48,923
Medián,2026-04-12,Korcsoport,65+,1923,Tisza,28,538
Medián,2026-04-12,Korcsoport,65+,1923,Egyéb,24,462
Medián,2026-04-12,Településtípus,főváros,1249,Fidesz,23,287
Medián,2026-04-12,Településtípus,főváros,1249,Tisza,58,724
Medián,2026-04-12,Településtípus,főváros,1249,Egyéb,19,237
Medián,2026-04-12,Településtípus,megyei jogú város,1579,Fidesz,29,458
Medián,2026-04-12,Településtípus,megyei jogú város,1579,Tisza,53,837
Medián,2026-04-12,Településtípus,megyei jogú város,1579,Egyéb,18,284
Medián,2026-04-12,Településtípus,egyéb város,2528,Fidesz,32,809
Medián,2026-04-12,Településtípus,egyéb város,2528,Tisza,48,1213
Medián,2026-04-12,Településtípus,egyéb város,2528,Egyéb,20,506
Medián,2026-04-12,Településtípus,község,2258,Fidesz,41,926
Medián,2026-04-12,Településtípus,község,2258,Tisza,38,858
Medián,2026-04-12,Településtípus,község,2258,Egyéb,21,474
Medián,2026-04-12,Iskolázottság,≤8 általános,1457,Fidesz,53,772
Medián,2026-04-12,Iskolázottság,≤8 általános,1457,Tisza,27,393
Medián,2026-04-12,Iskolázottság,≤8 általános,1457,Egyéb,20,291
Medián,2026-04-12,Iskolázottság,szakmunkás,1706,Fidesz,40,682
Medián,2026-04-12,Iskolázottság,szakmunkás,1706,Tisza,37,631
Medián,2026-04-12,Iskolázottság,szakmunkás,1706,Egyéb,23,392
Medián,2026-04-12,Iskolázottság,érettségi,2554,Fidesz,25,639
Medián,2026-04-12,Iskolázottság,érettségi,2554,Tisza,56,1430
Medián,2026-04-12,Iskolázottság,érettségi,2554,Egyéb,19,485
Medián,2026-04-12,Iskolázottság,felsőfokú,1896,Fidesz,19,360
Medián,2026-04-12,Iskolázottság,felsőfokú,1896,Tisza,63,1194
Medián,2026-04-12,Iskolázottság,felsőfokú,1896,Egyéb,18,341
Europion,2026-05-09,Teljes,Teljes népesség,7613,Fidesz,23,1751
Europion,2026-05-09,Teljes,Teljes népesség,7613,Tisza,52,3959
Europion,2026-05-09,Teljes,Teljes népesség,7613,Mi Hazánk,7,533
Europion,2026-05-09,Teljes,Teljes népesség,7613,Egyéb,18,1370
Europion,2026-05-09,Nem,Nő,4035,Fidesz,22,888
Europion,2026-05-09,Nem,Nő,4035,Tisza,51,2058
Europion,2026-05-09,Nem,Nő,4035,Mi Hazánk,5,202
Europion,2026-05-09,Nem,Nő,4035,Egyéb,22,888
Europion,2026-05-09,Nem,Férfi,3578,Fidesz,24,859
Europion,2026-05-09,Nem,Férfi,3578,Tisza,52,1861
Europion,2026-05-09,Nem,Férfi,3578,Mi Hazánk,9,322
Europion,2026-05-09,Nem,Férfi,3578,Egyéb,15,537
Europion,2026-05-09,Korcsoport,18-29,1206,Fidesz,11,133
Europion,2026-05-09,Korcsoport,18-29,1206,Tisza,64,772
Europion,2026-05-09,Korcsoport,18-29,1206,Mi Hazánk,6,72
Europion,2026-05-09,Korcsoport,18-29,1206,Egyéb,19,229
Europion,2026-05-09,Korcsoport,30-39,1196,Fidesz,14,167
Europion,2026-05-09,Korcsoport,30-39,1196,Tisza,64,765
Europion,2026-05-09,Korcsoport,30-39,1196,Mi Hazánk,5,60
Europion,2026-05-09,Korcsoport,30-39,1196,Egyéb,17,203
Europion,2026-05-09,Korcsoport,40-49,1435,Fidesz,24,344
Europion,2026-05-09,Korcsoport,40-49,1435,Tisza,50,718
Europion,2026-05-09,Korcsoport,40-49,1435,Mi Hazánk,8,115
