Teljes népesség,Tisza,Fidesz,Mi Hazánk,MKKP,DK,Egyéb párt,Pártnélküli,url
2024-10-01,26,29,5,3,3,6,28,https://datawrapper.dwcdn.net/ENBVR/14/
2025-04-01,34,28,4,3,2,4,25,https://datawrapper.dwcdn.net/ENBVR/14/
2025-06-01,32,25,5,2,3,1,32,https://datawrapper.dwcdn.net/ENBVR/14/
2025-08-01,34,26,5,2,2,1,30,https://datawrapper.dwcdn.net/ENBVR/14/
2025-10-01,33,26,5,1,2,1,32,https://datawrapper.dwcdn.net/ENBVR/14/
2025-11-01,31,27,4,2,2,1,33,https://datawrapper.dwcdn.net/ENBVR/14/
2025-12-01,34,26,5,2,2,0,31,https://datawrapper.dwcdn.net/ENBVR/14/
2026-01-31,35,28,5,2,2,1,27,https://datawrapper.dwcdn.net/ENBVR/14/
2026-03-11,38,30,4,1,1,0,26,https://datawrapper.dwcdn.net/ENBVR/14/
2026-04-01,40,28,4,1,1,0,26,https://datawrapper.dwcdn.net/ENBVR/14/
2026-05-15,60,20,5,1,1,0,13,https://datawrapper.dwcdn.net/ENBVR/14/
