Teljes népesség,Tisza,Fidesz,Mi Hazánk,MKKP,DK,Egyéb párt,Pártnélküli,url
2022-04-30,NA,48,8,5,7,17,15,https://hvg.hu/360/20220511_Az_emlek_mas
2022-10-18,NA,39,7,7,9,16,23,https://hvg.hu/360/20221102_Sok_kicsi_kevesre_megy
2022-12-15,NA,32,7,6,8,17,30,https://hvg.hu/360/20230104_Nincs_ok_unneplesre
2023-02-24,NA,35,5,7,9,17,27,https://hvg.hu/360/20230308_Median_Kutyafuttatas
2023-05-29,NA,32,6,8,9,16,29,https://hvg.hu/360/20230615_hvg_median_kozvelemeny_kutatas_fidesz_ellenzek_gazdasagi_valsag_EU
2023-09-25,NA,30,7,6,7,16,34,https://hvg.hu/360/20231004_Median_partok_partpreferenciak_kozvelemenykutatas_onkormanyzati_valasztasok_EPvalasztas
2024-01-10,NA,32,5,5,6,16,36,https://hvg.hu/360/20240124_hvg_onkormanyzati_valasztas_median_fidesz_ellenzek_momentum_dk_kozvelemenykutatas_epvalasztas
2024-03-01,NA,32,6,8,8,17,29,https://hvg.hu/360/20240313_median
2024-04-27,16,32,4,5,6,9,,https://hvg.hu/360/20240430_hvg-median-ep-onkormanyzati-valasztas-magyar-peter-tisza-part-fidesz-ellenzek
2024-05-28,19,32,4,3,4,7,31,https://hvg.hu/itthon/20240530_median-a-tisza-tovabb-erosodott-de-a-fidesz-is
2024-06-02,19,35,3,3,7,4,29,https://hvg.hu/itthon/20240607_median-az-europai-parlamenti-valasztas-biztos-magyarorszagi-gyoztese-a-fidesz-kdnp
2024-07-31,21,32,6,4,6,4,27,https://datawrapper.dwcdn.net/9DoJh/8/
2024-09-30,25,30,4,4,2,5,30,https://datawrapper.dwcdn.net/9DoJh/8/
2024-10-31,34,32,5,3,2,4,20,https://datawrapper.dwcdn.net/9DoJh/8/
2024-11-30,34,27,5,3,3,4,24,https://datawrapper.dwcdn.net/9DoJh/8/
2025-03-31,33,29,5,3,2,4,24,https://datawrapper.dwcdn.net/9DoJh/8/
2025-06-30,38,28,4,3,2,3,22,https://datawrapper.dwcdn.net/9DoJh/8/
2025-09-30,37,30,4,3,2,2,22,https://datawrapper.dwcdn.net/9DoJh/8/
2025-11-30,38,33,5,2,2,1,19,https://datawrapper.dwcdn.net/9DoJh/8/
2026-01-10,40,33,4,2,1,1,19,https://datawrapper.dwcdn.net/9DoJh/8/
2026-02-25,42,31,5,2,1,0,19,https://datawrapper.dwcdn.net/9DoJh/8/
2026-03-25,46,30,3,2,1,0,18,https://datawrapper.dwcdn.net/9DoJh/8/
2026-04-22,56,21,6,1,1,1,14,https://datawrapper.dwcdn.net/9DoJh/8/
2026-05-06,61,21,5,0,1,1,11,https://datawrapper.dwcdn.net/9DoJh/8/
