date,pollster,DK,Egyéb párt,Fidesz,MKKP,Mi Hazánk,Pártnélküli,Tisza
2022-03-24,Závecz,,1.0,39.0,2.0,3.0,19.0,
2022-03-25,Medián,,,40.0,4.0,3.0,20.0,
2022-04-30,Medián,7.0,17.0,48.0,5.0,8.0,15.0,
2022-05-01,Závecz,9.0,18.0,47.0,2.0,5.0,19.0,
2022-09-15,Závecz,10.0,19.0,37.0,2.0,6.0,26.0,
2022-10-18,Medián,9.0,16.0,39.0,7.0,7.0,23.0,
2022-11-15,Závecz,11.0,17.0,33.0,3.0,6.0,30.0,
2022-12-15,Medián,8.0,17.0,32.0,6.0,7.0,30.0,
2023-02-24,Medián,9.0,17.0,35.0,7.0,5.0,27.0,
2023-03-05,Závecz,12.0,19.0,32.0,2.0,7.0,28.0,
2023-05-05,Závecz,13.0,21.0,32.0,5.0,6.0,28.0,
2023-05-29,Medián,9.0,16.0,32.0,8.0,6.0,29.0,
2023-09-01,Závecz,13.0,16.0,30.0,4.0,7.0,30.0,
2023-09-25,Medián,7.0,16.0,30.0,6.0,7.0,34.0,
2023-11-01,Závecz,14.0,20.0,32.0,3.0,6.0,25.0,
2024-01-10,Medián,6.0,16.0,32.0,5.0,5.0,36.0,
2024-03-01,Medián,8.0,17.0,32.0,8.0,6.0,29.0,
2024-03-05,Závecz,13.0,17.0,29.0,3.0,6.0,32.0,
2024-04-08,Závecz,13.0,10.0,25.0,5.0,6.0,25.0,11.0
2024-04-27,Medián,6.0,9.0,32.0,5.0,4.0,28.0,16.0
2024-05-06,Závecz,,11.0,28.0,2.0,4.0,24.0,19.0
2024-05-28,Medián,4.0,7.0,32.0,3.0,4.0,31.0,19.0
2024-05-31,Závecz,9.0,9.0,31.0,2.0,3.0,27.0,19.0
2024-06-02,Medián,7.0,4.0,35.0,3.0,3.0,29.0,19.0
2024-07-31,Medián,6.0,4.0,32.0,4.0,6.0,27.0,21.0
2024-08-31,Závecz,5.0,12.0,26.0,3.0,5.0,29.0,20.0
2024-09-30,Medián,2.0,5.0,30.0,4.0,4.0,30.0,25.0
2024-10-01,21KK,3.0,6.0,29.0,3.0,5.0,28.0,26.0
2024-10-10,Závecz,5.0,10.0,25.0,3.0,4.0,32.0,21.0
2024-10-31,Medián,2.0,4.0,32.0,3.0,5.0,20.0,34.0
2024-11-30,Medián,3.0,4.0,27.0,3.0,5.0,24.0,34.0
2024-11-30,Závecz,5.0,8.0,24.0,3.0,5.0,29.0,26.0
2025-03-31,Medián,2.0,4.0,29.0,3.0,5.0,24.0,33.0
2025-03-31,Závecz,6.0,9.0,26.0,3.0,5.0,22.0,29.0
2025-04-01,21KK,2.0,4.0,28.0,3.0,4.0,25.0,34.0
2025-06-01,21KK,3.0,1.0,25.0,2.0,5.0,32.0,32.0
2025-06-30,Medián,2.0,3.0,28.0,3.0,4.0,22.0,38.0
2025-06-30,Závecz,4.0,5.0,26.0,3.0,6.0,24.0,32.0
2025-08-01,21KK,2.0,1.0,26.0,2.0,5.0,30.0,34.0
2025-08-31,Závecz,4.0,4.0,28.0,4.0,5.0,22.0,33.0
2025-09-30,Medián,2.0,2.0,30.0,3.0,4.0,22.0,37.0
2025-10-01,21KK,2.0,1.0,26.0,1.0,5.0,32.0,33.0
2025-10-31,Závecz,4.0,2.0,29.0,3.0,5.0,22.0,35.0
2025-11-01,21KK,2.0,1.0,27.0,2.0,4.0,33.0,31.0
2025-11-30,Medián,2.0,1.0,33.0,2.0,5.0,19.0,38.0
2025-11-30,Závecz,4.0,1.0,30.0,3.0,4.0,23.0,35.0
2025-12-01,21KK,2.0,0.0,26.0,2.0,5.0,31.0,34.0
2026-01-10,Medián,1.0,1.0,33.0,2.0,4.0,19.0,40.0
2026-01-31,21KK,2.0,1.0,28.0,2.0,5.0,27.0,35.0
2026-01-31,Závecz,3.0,1.0,31.0,3.0,3.0,23.0,36.0
2026-02-25,Medián,1.0,0.0,31.0,2.0,5.0,19.0,42.0
2026-03-03,Závecz,3.0,0.0,32.0,2.0,5.0,20.0,38.0
2026-03-11,21KK,1.0,0.0,30.0,1.0,4.0,26.0,38.0
2026-03-25,Medián,1.0,0.0,30.0,2.0,3.0,18.0,46.0
2026-03-31,Závecz,3.0,0.0,31.0,3.0,4.0,20.0,39.0
2026-04-01,21KK,1.0,0.0,28.0,1.0,4.0,26.0,40.0
2026-04-22,Medián,1.0,1.0,21.0,1.0,6.0,14.0,56.0
2026-05-06,Medián,1.0,1.0,21.0,0.0,5.0,11.0,61.0
2026-05-15,21KK,1.0,0.0,20.0,1.0,5.0,13.0,60.0
2026-05-31,Závecz,1.0,0.0,18.0,1.0,4.0,19.0,57.0
