Teljes népesség,Tisza,Fidesz,Mi Hazánk,MKKP,DK,DK-MSZP-PM,Egyéb párt,Pártnélküli,url
2022-03-24,NA,39,3,2,NA,NA,1,19,https://hvg.hu/itthon/20220329_zavecz_biztos_valasztok_fidesz_ellenzek
2022-05-01,NA,47,5,2,9,NA,18,19,https://hvg.hu/itthon/20220513_zavecz_kozvelemenykutatas
2022-09-15,NA,37,6,2,10,NA,19,26,https://hvg.hu/itthon/20220926_zavecz_fidesz_felmeres
2022-11-15,NA,33,6,3,11,NA,17,30,https://telex.hu/belfold/2022/11/25/zavecz-felmeres-partpreferencia-november
2023-03-05,NA,32,7,2,12,NA,19,28,https://hvg.hu/itthon/20230313_politika_zavecz_research_partpreferencia_kutatas_fidesz_dk
2023-05-05,NA,32,6,5,13,NA,21,28,https://hvg.hu/itthon/20230510_kozvelemenykutatas_zavecz_research_partok_tamogatottsaga_kozhangulat_fidesz_dk_momentum_jobbik_mszp_mi_hazank_lmp_ketfarku_kutyapart
2023-09-01,NA,30,7,4,13,NA,16,30,https://hvg.hu/itthon/20230922_Zavecz_A_Fidesz_kicsit_csokkent_orok_masodik_a_DK_a_nyar_nyertese_viszont_a_Mi_Hazank_es_a_Kutyapart_voltak
2023-11-01,NA,32,6,3,14,NA,20,25,https://hvg.hu/itthon/20231115_zavecz_kozvelemenykutatas_fidesz_dk_mi_hazank_momentum
2024-03-05,NA,29,6,3,13,NA,17,32,https://24.hu/belfold/2024/03/14/fidesz-ellenzek-valasztas-2024-zavecz-kutatas-tamogatottsag/
2024-04-08,11,25,6,5,13,18,10,25,https://hvg.hu/itthon/20240422_oriasit-esett-a-fidesz-tamogatottsaga-a-zavecz-felmerese-szerint-kozvelemeny-kutatas-magyar-peter-tisza-part
2024-05-06,19,28,4,2,NA,12,11,24,https://rtl.hu/europa/2024/05/14/zavecz-ep-valasztas-kozvelemeny-kutatas-fidesz-tisza-part-dk
2024-05-31,19,31,3,2,9,NA,9,27,https://datawrapper.dwcdn.net/SOL0u/9/
2024-08-31,20,26,5,3,5,NA,12,29,https://datawrapper.dwcdn.net/SOL0u/9/
2024-10-10,21,25,4,3,5,NA,10,32,https://datawrapper.dwcdn.net/SOL0u/9/
2024-11-30,26,24,5,3,5,NA,8,29,https://datawrapper.dwcdn.net/SOL0u/9/
2025-03-31,29,26,5,3,6,NA,9,22,https://datawrapper.dwcdn.net/SOL0u/9/
2025-06-30,32,26,6,3,4,NA,5,24,https://datawrapper.dwcdn.net/SOL0u/9/
2025-08-31,33,28,5,4,4,NA,4,22,https://datawrapper.dwcdn.net/SOL0u/9/
2025-10-31,35,29,5,3,4,NA,2,22,https://datawrapper.dwcdn.net/SOL0u/9/
2025-11-30,35,30,4,3,4,NA,1,23,https://datawrapper.dwcdn.net/SOL0u/9/
2026-01-31,36,31,3,3,3,NA,1,23,https://datawrapper.dwcdn.net/SOL0u/9/
2026-03-03,38,32,5,2,3,NA,0,20,https://datawrapper.dwcdn.net/SOL0u/9/
2026-03-31,39,31,4,3,3,NA,0,20,https://datawrapper.dwcdn.net/SOL0u/9/
2026-05-31,57,18,4,1,1,NA,0,19,https://datawrapper.dwcdn.net/SOL0u/9/
