datum,month,kateg,TISZA,Fidesz,Mi Hazánk,Kétfarkú Kutya Párt,DK,Egyéb,Pártnélküli,url
2024/05/28,2024/05,Biztos szavazók,29,48,6,2,7,8,,https://hvg.hu/itthon/20240530_median-a-tisza-tovabb-erosodott-de-a-fidesz-is
2024/05/28,2024/05,Teljes népesség,19,32,4,3,4,7,31,https://hvg.hu/itthon/20240530_median-a-tisza-tovabb-erosodott-de-a-fidesz-is
2024/05/28,2024/05,Választani tudók,27,46,6,4,6,10,,https://hvg.hu/itthon/20240530_median-a-tisza-tovabb-erosodott-de-a-fidesz-is
2024/06/02,2024/06,Biztos szavazók,27,50,5,4,9,5,,https://hvg.hu/itthon/20240607_median-az-europai-parlamenti-valasztas-biztos-magyarorszagi-gyoztese-a-fidesz-kdnp
2024/06/02,2024/06,Teljes népesség,19,35,3,3,7,4,29,https://hvg.hu/itthon/20240607_median-az-europai-parlamenti-valasztas-biztos-magyarorszagi-gyoztese-a-fidesz-kdnp
2024/06/02,2024/06,Választani tudók,26,49,5,5,9,6,,https://hvg.hu/itthon/20240607_median-az-europai-parlamenti-valasztas-biztos-magyarorszagi-gyoztese-a-fidesz-kdnp
2024/07/01,2024/07,Biztos szavazók,31,43,7,5,9,5,,https://hvg.hu/360/20240718_hvg-median-ep-valasztas-fidesz-tisza-dk-gyurcsany
2024/07/01,2024/07,Teljes népesség,21,32,6,4,6,4,27,https://hvg.hu/360/20240718_hvg-median-ep-valasztas-fidesz-tisza-dk-gyurcsany
2024/07/01,2024/07,Választani tudók,29,43,8,6,8,6,,https://hvg.hu/360/20240718_hvg-median-ep-valasztas-fidesz-tisza-dk-gyurcsany
2024/09/07,2024/09,Biztos szavazók,39,43,4,3,3,8,,https://hvg.hu/360/20240911_Median-meres-Gyorsabban-fogy-a-Fidesz-elonye-mint-Orban-Viktor-Tisza-Magyar-Peter-DK
2024/09/07,2024/09,Teljes népesség,25,30,4,4,2,5,30,https://hvg.hu/360/20240911_Median-meres-Gyorsabban-fogy-a-Fidesz-elonye-mint-Orban-Viktor-Tisza-Magyar-Peter-DK
2024/09/07,2024/09,Választani tudók,36,43,5,5,3,8,,https://hvg.hu/360/20240911_Median-meres-Gyorsabban-fogy-a-Fidesz-elonye-mint-Orban-Viktor-Tisza-Magyar-Peter-DK
2024/10/31,2024/10,Biztos szavazók,46,39,6,3,3,4,,https://hvg.hu/360/20241105_Median-kozvelemeny-kutatas-partpreferenciak-Fidesz-Tisza
2024/10/31,2024/10,Teljes népesség,34,32,5,3,2,4,20,https://hvg.hu/360/20241105_Median-kozvelemeny-kutatas-partpreferenciak-Fidesz-Tisza
2024/10/31,2024/10,Választani tudók,43,39,5,4,3,5,,https://hvg.hu/360/20241105_Median-kozvelemeny-kutatas-partpreferenciak-Fidesz-Tisza
2024/11/23,2024/11,Biztos szavazók,47,36,6,4,4,4,,https://hvg.hu/360/20241128_Median-kozvelemenykutatas-november-Tisza-Magyar-Peter-Fidesz
2024/11/23,2024/11,Teljes népesség,34,27,5,3,3,4,24,https://hvg.hu/360/20241128_Median-kozvelemenykutatas-november-Tisza-Magyar-Peter-Fidesz
2024/11/23,2024/11,Választani tudók,44,36,7,4,4,4,,https://hvg.hu/360/20241128_Median-kozvelemenykutatas-november-Tisza-Magyar-Peter-Fidesz
2025/03/01,2025/03,Biztos szavazók,46,37,6,4,3,4,,https://hvg.hu/360/20250312_Median-Tisza-Part-Fidesz-part-preferenciak-nepszeruseg-felmeres
2025/03/01,2025/03,Teljes népesség,33,29,5,3,2,4,24,https://hvg.hu/360/20250312_Median-Tisza-Part-Fidesz-part-preferenciak-nepszeruseg-felmeres
2025/03/01,2025/03,Választani tudók,43,38,6,4,3,6,,https://hvg.hu/360/20250312_Median-Tisza-Part-Fidesz-part-preferenciak-nepszeruseg-felmeres
2025/06/01,2025/06,Biztos szavazók,51,36,5,3,3,2,0,https://hvg.hu/360/20250618_A-Tisza-annyival-vezet-a-Fidesz-elott-amennyivel-Orbanek-vertek-2022-ben-Marki-Zay-hatos-fogatat
2025/06/01,2025/06,Teljes népesség,38,28,4,3,2,3,22,https://hvg.hu/360/20250618_A-Tisza-annyival-vezet-a-Fidesz-elott-amennyivel-Orbanek-vertek-2022-ben-Marki-Zay-hatos-fogatat
2025/06/01,2025/06,Választani tudók,49,36,5,3,3,4,0,https://hvg.hu/360/20250618_A-Tisza-annyival-vezet-a-Fidesz-elott-amennyivel-Orbanek-vertek-2022-ben-Marki-Zay-hatos-fogatat
2025/08/01,2025/08,Biztos szavazók,51,38,4,3,2,2,,https://hvg.hu/360/20250910_Median-A-Fidesz-kapaszkodik-de-a-Tisza-vezet-13-szazalekkal
2025/08/01,2025/08,Teljes népesség,37,30,4,3,2,2,22,https://hvg.hu/360/20250910_Median-A-Fidesz-kapaszkodik-de-a-Tisza-vezet-13-szazalekkal
2025/08/01,2025/08,Választani tudók,48,38,5,4,2,3,,https://hvg.hu/360/20250910_Median-A-Fidesz-kapaszkodik-de-a-Tisza-vezet-13-szazalekkal
2025/11/01,2025/11,Biztos szavazók,50,40,5,2,2,1,,https://hvg.hu/360/20251126_Median-meres-Nagyot-javult-a-kozhangulat-meglodult-a-Fidesz-a-Tisza-utan-valasztas-2026-partpreferencia
2025/11/01,2025/11,Teljes népesség,38,33,5,2,2,1,19,https://hvg.hu/360/20251126_Median-meres-Nagyot-javult-a-kozhangulat-meglodult-a-Fidesz-a-Tisza-utan-valasztas-2026-partpreferencia
2025/11/01,2025/11,Választani tudók,47,41,6,2,2,2,,https://hvg.hu/360/20251126_Median-meres-Nagyot-javult-a-kozhangulat-meglodult-a-Fidesz-a-Tisza-utan-valasztas-2026-partpreferencia
2026/01/01,2026/01,Biztos szavazók,51,39,5,3,1,1,,https://hvg.hu/360/20260114_median-felmeres-ujra-nyilik-az-ollo-a-tisza-part-es-a-fidesz-kozott-valasztas-2026
2026/01/01,2026/01,Teljes népesség,40,33,4,2,1,1,19,https://hvg.hu/360/20260114_median-felmeres-ujra-nyilik-az-ollo-a-tisza-part-es-a-fidesz-kozott-valasztas-2026
2026/01/01,2026/01,Választani tudók,49,41,5,3,1,1,,https://hvg.hu/360/20260114_median-felmeres-ujra-nyilik-az-ollo-a-tisza-part-es-a-fidesz-kozott-valasztas-2026
2026/02/01,2026/02,Biztos szavazók,55,35,6,2,2,0,,https://hvg.hu/360/20260225_median-vezet-tisza-mar-20-szazalek-az-elonye
2026/02/01,2026/02,Teljes népesség,42,31,5,2,1,0,19,https://hvg.hu/360/20260225_median-vezet-tisza-mar-20-szazalek-az-elonye
2026/02/01,2026/02,Választani tudók,51,38,7,2,2,0,,https://hvg.hu/360/20260225_median-vezet-tisza-mar-20-szazalek-az-elonye
