Region,Country
Africa,Angola
Africa,Benin
Africa,Burkina Faso
Africa,Burundi
Africa,Cameroon
Africa,Chad
Africa,Cote d'Ivoire
Africa,Democratic Republic of Congo
Africa,Egypt
Africa,Ethiopia
Africa,Ghana
Africa,Guinea
Africa,Kenya
Africa,Madagascar
Africa,Malawi
Africa,Mali
Africa,Morocco
Africa,Mozambique
Africa,Niger
Africa,Nigeria
Africa,Rwanda
Africa,Senegal
Africa,Tanzania
Africa,Uganda
Africa,Zambia
Africa,Zimbabwe
CEE,Czechoslovakia
CEE,Yugoslavia
E Asia (cap.),Indonesia
E Asia (cap.),Japan
E Asia (cap.),Malaysia
E Asia (cap.),Philippines
E Asia (cap.),South Korea
E Asia (cap.),Taiwan
E Asia (cap.),Thailand
E Asia (soc.),Cambodia
E Asia (soc.),China
E Asia (soc.),Myanmar
E Asia (soc.),Vietnam
Latin America,Bolivia
Latin America,Chile
Latin America,Cuba
Latin America,Ecuador
Latin America,El Salvador
Latin America,Guatemala
Latin America,Haiti
Latin America,Peru
Latin America,Venezuela
South Asia,Afghanistan
South Asia,Bangladesh
South Asia,India
South Asia,Iran
South Asia,Iraq
South Asia,Nepal
South Asia,Pakistan
South Asia,Saudi Arabia
South Asia,Sri Lanka
South Asia,Syria
South Asia,Yemen
Southern Europe,S_EUR4
Southern Europe,Turkey
USSR/other E Eur,Armenia
USSR/other E Eur,Belarus
USSR/other E Eur,Georgia
USSR/other E Eur,Kazakhstan
USSR/other E Eur,Russia
USSR/other E Eur,Serbia
USSR/other E Eur,Tajikistan
USSR/other E Eur,Ukraine
USSR/other E Eur,Uzbekistan
W Europe/offshoots,Australia
W Europe/offshoots,Austria
W Europe/offshoots,Belgium
W Europe/offshoots,Canada
W Europe/offshoots,Denmark
W Europe/offshoots,Finland
W Europe/offshoots,France
W Europe/offshoots,G7
W Europe/offshoots,Germany
W Europe/offshoots,Ireland
W Europe/offshoots,Netherlands
W Europe/offshoots,Sweden
W Europe/offshoots,Switzerland
W Europe/offshoots,United Kingdom
W Europe/offshoots,United States
W Europe/offshoots,W_EUR3
W Europe/offshoots,W_EUR4
