21.1.1.2. A bruttó hazai termék, a fogyasztás és a felhalmozás hosszú idõsora;;;;;
"Év";"Bruttó hazai termék (GDP), 1960 = 100%";"Végsõ fogyasztás összesen,1960 = 100%";"Végsõ fogyasztás, ebbõl háztartások tényleges fogyasztása1960 = 100%";"Bruttó felhalmozás összesen,1960 = 100%";"Bruttó felhalmozás, ebbõl állóeszközök felhalmozása, 1960 = 100%"
1960;100;100;100;100;100
1961;105;102;101;104;97
1962;111;108;105;112;107
1963;117;113;110;126;122
1964;123;119;116;136;126
1965;124;120;118;129;128
1966;133;126;123;141;142
1967;143;133;131;172;170
1968;150;140;137;174;173
1969;161;147;145;174;187
1970;168;159;155;201;219
1971;179;168;163;245;242
1972;190;173;169;215;240
1973;203;180;176;215;247
1974;215;192;187;265;274
1975;228;201;196;292;306
1976;236;205;199;298;306
1977;254;214;208;327;344
1978;265;223;216;385;360
1979;273;230;221;331;363
1980;273;232;224;318;340
1981;281;238;229;312;326
1982;289;241;232;301;320
1983;291;242;234;278;310
1984;299;245;236;272;298
1985;298;249;239;262;289
1986;302;255;244;285;308
1987;315;264;254;294;338
1988;315;256;243;284;307
1989;317;259;249;288;329
1990;306;252;240;275;306
1991;269;239;226;217;274
1992;261;240;226;173;267
1993;259;253;230;229;272
1994;267;247;230;274;306
1995;271;231;215;296;293
1996;271;225;210;311;306
1997;279;228;212;342;333
1998;290;234;220;408;371
1999;299;246;232;411;401
2000;312;255;240;433;425
2001;325;266;251;417;436
2002;340;285;270;442;470
2003;354;305;290;451;475
2004;371;310;296;532;513
2005;387;319;305;526;531
2006;402;325;312;526;535
2007;404;323;309;515;560
2008;408;323;305;523;567
2009;380;308;288;396;515
2010;384;305;284;407;466
2011;392;307;285;397;460
2012;386;301;280;375;446
2013;394;305;281;394;491
2014;411;314;287;444;552
2015;426;325;298;436;579
2016;437;337;311;424;519
2017;455;353;326;459;621
2018;480;367;339;538;723
2019;505;387;355;603;815
2020;483;385;349;561;755
2021;517;400;364;632;799
2022;539;422;387;643;806
2023;534;422;384;533;743
