Év;Egy keresõre jutó nettó nominál-átlagkereset indexe (%);Egy keresõre jutó reálkereset indexe (%);Egy fõre jutó reáljövedelem indexe (%)
1991;125.5;93.0;98.3
1992;152.2;91.7;94.9
1993;179.2;88.1;90.3
1994;228.1;94.5;92.7
1995;256.8;82.9;87.7
1996;301.5;78.8;84.7
1997;374.2;82.7;85.1
1998;443.0;85.6;87.1
1999;499.3;87.7;88.1
2000;556.2;89.0;90.0
2001;646.3;94.7;95.2
2002;773.0;107.6;100.6
2003;883.6;117.4;107.1
2004;933.0;116.1;112.0
2005;1027.3;123.5;117.0
2006;1105.3;127.9;118.4
2007;1138.5;122.0;113.2
2008;1218.2;123.0;110.9
2009;1240.1;120.2;106.5
2010;1324.4;122.3;106.2
2011;1409.2;125.4;110.4
2012;1438.8;121.1;108.0
2013;1509.3;124.9;110.2
2014;1554.6;128.9;114.6
2015;1621.4;134.6;118.7
2016;1747.9;144.5;123.8
2017;1973.4;159.3;131.4
2018;2 196.4;172.5;141.8
2019;2 444.6;185.7;151.2
2020;2 684.1;197.3;149.5
2021;2 923.0;204.5;160.9
2022;3 431.6;209.6;165.9
2023;3 918.9;203.5;167.1
Elõzõ év = 100.0%;;;
1991;125.5;93.0;98.3
1992;121.3;98.6;96.5
1993;117.7;96.1;95.2
1994;127.3;107.2;102.6
1995;112.6;87.8;94.6
1996;117.4;95.0;96.6
1997;124.1;104.9;100.5
1998;118.4;103.6;102.4
1999;112.7;102.5;101.1
2000;111.4;101.5;102.2
2001;116.2;106.4;105.8
2002;119.6;113.6;105.7
2003;114.3;109.2;106.5
2004;105.6;98.9;104.6
2005;110.1;106.3;104.5
2006;107.6;103.6;101.2
2007;103.0;95.4;95.6
2008;107.0;100.8;98.0
2009;101.8;97.7;96.0
2010;106.8;101.8;99.7
2011;106.4;102.5;104.0
2012;102.1;96.6;97.8
2013;104.9;103.1;102.0
2014;103.0;103.2;104.0
2015;104.3;104.4;103.6
2016;107.8;107.4;104.3
2017;112.9;110.3;106.1
2018;111.3;108.3;107.9
2019;111.3;107.6;106.6
2020;109.8;106.3;98.9
2021;108.9;103.6;107.6
2022;117.4;102.5;103.1
2023;114.2;97.1;100.7
