STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,1995,,38243.744,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,1994,,37344.68,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,V,Current prices,MEAN,Mean,_Z,Not applicable,1993,,36516.231,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2003,,78146.423,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2002,,77049.897,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2001,,76355.111,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2000,,75606.909,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1999,,75383.556,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2023,,92058.43,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2022,,92977.428,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1990,,66564.346,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2019,,92248.707,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2018,,91376.778,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2017,,91056.422,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2016,,91312.931,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2015,,90855.245,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2014,,91396.28,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2013,,90496.064,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2012,,90761.155,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2011,,90134.986,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2010,,87248.061,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2009,,84239.719,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2008,,85009.816,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2007,,84362.627,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2006,,82097.703,,2022,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUS,Australia,WG,Wages,AUD,Australian dollar,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2005,,81546.094,,2022,,A,Normal value,0,Units,0,Zero
