STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1995,,100327.414564853,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1996,,102152.215931225,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1997,,103587.000002757,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1998,,106132.369202388,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1999,,108480.714293587,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000,,110886.322894554,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001,,111546.003343986,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002,,113305.917035277,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003,,113853.797250538,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004,,116044.23052555,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005,,117324.758756944,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006,,119078.522135666,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007,,121358.529474791,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008,,120828.336370823,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009,,117123.972155829,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010,,118348.540319641,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011,,119947.977067497,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,119461.252878604,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,118628.671467735,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,118343.611243351,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,119167.372674525,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,120117.811563685,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,120847.307799945,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,121687.626162989,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,122429.278231332,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,116605.450120741,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,119780.302275311,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,122920.303491471,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,AUT,Austria,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,120735.339820338,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1995,,113642.95130273,,A,Normal value,0,Units,2020,,2,Two
