country,iso2c,iso3c,year,gdp_pc_ppp,gdp_pc_const2015,gni_pc_ppp
Bulgaria,BG,BGR,1990,14955.0762626823,4427.01075492783,NA
Bulgaria,BG,BGR,1991,13828.3505193657,4093.47671632427,NA
Bulgaria,BG,BGR,1992,12961.138166811,3836.76398921195,NA
Bulgaria,BG,BGR,1993,12871.5490205577,3810.24375574593,NA
Bulgaria,BG,BGR,1994,13150.1355311848,3892.7111037595,NA
Bulgaria,BG,BGR,1995,13586.8761011709,4021.99531244432,12642.7834423826
Bulgaria,BG,BGR,1996,14368.0358033411,4253.23468174483,11926.9257960729
Bulgaria,BG,BGR,1997,12415.2872101596,3675.1808576225,9377.42147934135
Bulgaria,BG,BGR,1998,12971.991639868,3839.97684089572,10690.087816305
Bulgaria,BG,BGR,1999,11949.6594861896,3537.34545607716,10143.3227791817
Bulgaria,BG,BGR,2000,12559.6962696033,3717.92891507381,11021.8166725264
Bulgaria,BG,BGR,2001,13302.1200521955,3937.70165394319,11923.928260452
Bulgaria,BG,BGR,2002,14392.2575823,4260.40482745795,13176.9492924659
Bulgaria,BG,BGR,2003,15266.4521930802,4519.18444688932,13977.8131129819
Bulgaria,BG,BGR,2004,16383.5602241501,4849.87144447444,14818.8041071568
Bulgaria,BG,BGR,2005,17672.2094683049,5231.33817610444,15644.3408175669
Bulgaria,BG,BGR,2006,19018.2750194536,5629.80131778982,16515.8622227084
Bulgaria,BG,BGR,2007,20433.5177921464,6048.74234259616,16818.7818750912
Bulgaria,BG,BGR,2008,21838.7567442943,6464.72203037118,18502.2669609876
Bulgaria,BG,BGR,2009,21244.215225915,6288.72548913763,19246.0884663458
Bulgaria,BG,BGR,2010,21717.128197206,6428.71747401797,19932.0757766802
Bulgaria,BG,BGR,2011,22313.6782364044,6605.30857880385,20593.673429328
Bulgaria,BG,BGR,2012,22611.3574522511,6693.42776100824,20839.4150192199
Bulgaria,BG,BGR,2013,22946.8332621737,6792.73551393835,20897.705629677
Bulgaria,BG,BGR,2014,23447.7545807665,6941.01854679167,21660.2167502673
Bulgaria,BG,BGR,2015,24554.5555941337,7268.65445473873,22392.9586280337
