country,Code,varname,cntr_region,era,era_col,scale_type,value,value_end,change_val,pop,trans_rec_end_yr,era_num,era_low,era_high,scaling,change_val_lab,change_lab,change_sign
Belarus,BLR,intusd2011ppp,USSR: Belarus,1973-1989,socialism,lin,8.341,11.893,3.5520000000000014,9205662,1995,1,0.5,1.5,0.001,4,+4,increase
Belarus,BLR,intusd2011ppp,USSR: Belarus,1989-1995,transition,lin,11.893,6.993622,-4.8993780000000005,10158729,1995,2,1.5,2.5,0.001,-5,-5,decrease
Belarus,BLR,intusd2011ppp,USSR: Belarus,1995-2022,capitalism,lin,6.993622,18.699799,11.706176999999999,10197421,1995,3,2.5,3.5,0.001,12,+12,increase
Bulgaria,BGR,intusd2011ppp,CEE: Bulgaria,1950-1975,socialism,lin,2.632,9.295,6.663,7248464,1999,1,0.5,1.5,0.001,7,+7,increase
Bulgaria,BGR,intusd2011ppp,CEE: Bulgaria,1975-1989,socialism,lin,9.295,9.908,0.6129999999999995,8723102,1999,2,1.5,2.5,0.001,1,+1,increase
Bulgaria,BGR,intusd2011ppp,CEE: Bulgaria,1989-1999,transition,lin,9.908,7.921765000000001,-1.9862349999999989,8936335,1999,3,2.5,3.5,0.001,-2,-2,decrease
Bulgaria,BGR,intusd2011ppp,CEE: Bulgaria,1999-2022,capitalism,lin,7.921765000000001,20.592455,12.67069,8067415,1999,4,3.5,4.5,0.001,13,+13,increase
Croatia,HRV,intusd2011ppp,Yugosl.: Croatia,1952-1979,socialism,lin,2.738,13.994,11.256,3957359,1993,1,0.5,1.5,0.001,11,+11,increase
Croatia,HRV,intusd2011ppp,Yugosl.: Croatia,1979-1989,socialism,lin,13.994,13.959,-0.03500000000000014,4626900,1993,2,1.5,2.5,0.001,-0,+0,no change
Croatia,HRV,intusd2011ppp,Yugosl.: Croatia,1989-1993,transition,lin,13.959,8.739540000000002,-5.219459999999998,4820680,1993,3,2.5,3.5,0.001,-5,-5,decrease
Croatia,HRV,intusd2011ppp,Yugosl.: Croatia,1993-2022,capitalism,lin,8.739540000000002,26.986752000000003,18.247212,4729691,1993,4,3.5,4.5,0.001,18,+18,increase
Czechia,CZE,intusd2011ppp,CEE: Czechia,1970-1975,socialism,lin,8.748,10.954,2.2060000000000013,9801206,1992,1,0.5,1.5,0.001,2,+2,increase
Czechia,CZE,intusd2011ppp,CEE: Czechia,1975-1989,socialism,lin,10.954,14.027000000000001,3.0730000000000004,10030738,1992,2,1.5,2.5,0.001,3,+3,increase
Czechia,CZE,intusd2011ppp,CEE: Czechia,1989-1992,transition,lin,14.027000000000001,12.810432,-1.2165680000000005,10305562,1992,3,2.5,3.5,0.001,-1,-1,decrease
Czechia,CZE,intusd2011ppp,CEE: Czechia,1992-2022,capitalism,lin,12.810432,32.247395000000004,19.436963000000006,10312408,1992,4,3.5,4.5,0.001,19,+19,increase
Estonia,EST,intusd2011ppp,Baltics: Estonia,1973-1989,socialism,lin,13.799,18.779,4.98,1399299,1994,1,0.5,1.5,0.001,5,+5,increase
Estonia,EST,intusd2011ppp,Baltics: Estonia,1989-1994,transition,lin,18.779,12.070061,-6.708938999999999,1567538,1994,2,1.5,2.5,0.001,-7,-7,decrease
Estonia,EST,intusd2011ppp,Baltics: Estonia,1994-2022,capitalism,lin,12.070061,30.067395,17.997334000000002,1475669,1994,3,2.5,3.5,0.001,18,+18,increase
Hungary,HUN,intusd2011ppp,CEE: Hungary,1950-1975,socialism,lin,3.9530000000000003,9.253,5.3,9337826,1992,1,0.5,1.5,0.001,5,+5,increase
Hungary,HUN,intusd2011ppp,CEE: Hungary,1975-1989,socialism,lin,9.253,11.003,1.75,10515605,1992,2,1.5,2.5,0.001,2,+2,increase
Hungary,HUN,intusd2011ppp,CEE: Hungary,1989-1992,transition,lin,11.003,9.153921,-1.8490789999999997,10403359,1992,3,2.5,3.5,0.001,-2,-2,decrease
Hungary,HUN,intusd2011ppp,CEE: Hungary,1992-2022,capitalism,lin,9.153921,29.451855000000002,20.297934,10371431,1992,4,3.5,4.5,0.001,20,+20,increase
Latvia,LVA,intusd2011ppp,Baltics: Latvia,1973-1989,socialism,lin,12.506,15.661,3.1549999999999994,2415721,1994,1,0.5,1.5,0.001,3,+3,increase
Latvia,LVA,intusd2011ppp,Baltics: Latvia,1989-1994,transition,lin,15.661,8.704267,-6.956733,2664789,1994,2,1.5,2.5,0.001,-7,-7,decrease
Latvia,LVA,intusd2011ppp,Baltics: Latvia,1994-2022,capitalism,lin,8.704267,27.220303,18.516036,2521185,1994,3,2.5,3.5,0.001,19,+19,increase
Lithuania,LTU,intusd2011ppp,Baltics: Lithuania,1973-1989,socialism,lin,12.103,14.693,2.59,3236175,1994,1,0.5,1.5,0.001,3,+3,increase
Lithuania,LTU,intusd2011ppp,Baltics: Lithuania,1989-1994,transition,lin,14.693,7.8300054,-6.8629945999999995,3696048,1994,2,1.5,2.5,0.001,-7,-7,decrease
Lithuania,LTU,intusd2011ppp,Baltics: Lithuania,1994-2022,capitalism,lin,7.8300054,30.86332,23.0333146,3654839,1994,3,2.5,3.5,0.001,23,+23,increase
Poland,POL,intusd2011ppp,CEE: Poland,1950-1975,socialism,lin,3.9,9.258000000000001,5.3580000000000005,24780120,1991,1,0.5,1.5,0.001,5,+5,increase
Poland,POL,intusd2011ppp,CEE: Poland,1975-1989,socialism,lin,9.258000000000001,9.06,-0.1980000000000004,33964338,1991,2,1.5,2.5,0.001,-0,+0,no change
Poland,POL,intusd2011ppp,CEE: Poland,1989-1991,transition,lin,9.06,7.625843,-1.4341570000000008,37938044,1991,3,2.5,3.5,0.001,-1,-1,decrease
Poland,POL,intusd2011ppp,CEE: Poland,1991-2022,capitalism,lin,7.625843,32.468402,24.842558999999998,38152898,1991,4,3.5,4.5,0.001,25,+25,increase
Romania,ROU,intusd2011ppp,CEE: Romania,1950-1975,socialism,lin,1.8839768,5.9954507,4.1114739,16397220,1992,1,0.5,1.5,0.001,4,+4,increase
Romania,ROU,intusd2011ppp,CEE: Romania,1975-1989,socialism,lin,5.9954507,6.2811543,0.2857035999999997,21268014,1992,2,1.5,2.5,0.001,0,+0,no change
Romania,ROU,intusd2011ppp,CEE: Romania,1989-1992,transition,lin,6.2811543,4.818304,-1.4628502999999995,22887592,1992,3,2.5,3.5,0.001,-1,-1,decrease
Romania,ROU,intusd2011ppp,CEE: Romania,1992-2022,capitalism,lin,4.818304,26.197903999999998,21.379599999999996,22912341,1992,4,3.5,4.5,0.001,21,+21,increase
Russia,RUS,intusd2011ppp,USSR: Russia,1950-1975,socialism,lin,3.3108347,11.164,7.8531653,103392314,1998,1,0.5,1.5,0.001,8,+8,increase
Russia,RUS,intusd2011ppp,USSR: Russia,1975-1989,socialism,lin,11.164,12.766,1.6020000000000003,134136049,1998,2,1.5,2.5,0.001,2,+2,increase
Russia,RUS,intusd2011ppp,USSR: Russia,1989-1998,transition,lin,12.766,8.557495000000001,-4.208504999999999,148281823,1998,3,2.5,3.5,0.001,-4,-4,decrease
Russia,RUS,intusd2011ppp,USSR: Russia,1998-2022,capitalism,lin,8.557495000000001,25.437107,16.879612,147635488,1998,4,3.5,4.5,0.001,17,+17,increase
Serbia,SRB,intusd2011ppp,Yugosl.: Serbia,1952-1979,socialism,lin,2.032,10.772,8.74,6127217,1993,1,0.5,1.5,0.001,9,+9,increase
Serbia,SRB,intusd2011ppp,Yugosl.: Serbia,1979-1989,socialism,lin,10.772,10.963000000000001,0.19100000000000072,7758172,1993,2,1.5,2.5,0.001,0,+0,no change
Serbia,SRB,intusd2011ppp,Yugosl.: Serbia,1989-1993,transition,lin,10.963000000000001,4.6736416,-6.289358400000001,7881211,1993,3,2.5,3.5,0.001,-6,-6,decrease
Serbia,SRB,intusd2011ppp,Yugosl.: Serbia,1993-2022,capitalism,lin,4.6736416,17.097686000000003,12.424044400000003,7849677,1993,4,3.5,4.5,0.001,12,+12,increase
Slovakia,SVK,intusd2011ppp,CEE: Slovakia,1985-1989,socialism,lin,11.815,12.734,0.9190000000000005,5151107,1992,1,0.5,1.5,0.001,1,+1,increase
Slovakia,SVK,intusd2011ppp,CEE: Slovakia,1989-1992,transition,lin,12.734,9.838615,-2.895384999999999,5249882,1992,2,1.5,2.5,0.001,-3,-3,decrease
Slovakia,SVK,intusd2011ppp,CEE: Slovakia,1992-2022,capitalism,lin,9.838615,27.519287000000002,17.680672,5306409,1992,3,2.5,3.5,0.001,18,+18,increase
Slovenia,SVN,intusd2011ppp,Yugosl.: Slovenia,1952-1979,socialism,lin,3.934,21.367,17.433,1479622,1992,1,0.5,1.5,0.001,17,+17,increase
Slovenia,SVN,intusd2011ppp,Yugosl.: Slovenia,1979-1989,socialism,lin,21.367,19.837,-1.5300000000000011,1885870,1992,2,1.5,2.5,0.001,-2,-2,decrease
Slovenia,SVN,intusd2011ppp,Yugosl.: Slovenia,1989-1992,transition,lin,19.837,15.46271,-4.37429,1995417,1992,3,2.5,3.5,0.001,-4,-4,decrease
Slovenia,SVN,intusd2011ppp,Yugosl.: Slovenia,1992-2022,capitalism,lin,15.46271,32.673761999999996,17.211051999999995,1995805,1992,4,3.5,4.5,0.001,17,+17,increase
Ukraine,UKR,intusd2011ppp,USSR: Ukraine,1973-1989,socialism,lin,7.849,10.082,2.2330000000000005,48277070,1998,1,0.5,1.5,0.001,2,+2,increase
Ukraine,UKR,intusd2011ppp,USSR: Ukraine,1989-1998,transition,lin,10.082,4.640199,-5.441801000000001,51917779,1998,2,1.5,2.5,0.001,-5,-5,decrease
Ukraine,UKR,intusd2011ppp,USSR: Ukraine,1998-2022,capitalism,lin,4.640199,7.7490996,3.1089006,50379676,1998,3,2.5,3.5,0.001,3,+3,increase
Belarus,BLR,% of DE,USSR: Belarus,1973-1989,socialism,lin,43.72968438712383,45.061190467169325,1.331506080045493,9205662,1995,1,0.5,1.5,1,1,+1,convergence
Belarus,BLR,% of DE,USSR: Belarus,1989-1995,transition,lin,45.061190467169325,24.225415927045482,-20.835774540123843,10158729,1995,2,1.5,2.5,1,-21,-21,divergence
Belarus,BLR,% of DE,USSR: Belarus,1995-2022,capitalism,lin,24.225415927045482,40.08721055677811,15.861794629732628,10197421,1995,3,2.5,3.5,1,16,+16,convergence
Bulgaria,BGR,% of DE,CEE: Bulgaria,1950-1975,socialism,lin,42.54768832848367,48.42911478143073,5.8814264529470535,7248464,1999,1,0.5,1.5,1,6,+6,convergence
Bulgaria,BGR,% of DE,CEE: Bulgaria,1975-1989,socialism,lin,48.42911478143073,37.54025688629561,-10.888857895135118,8723102,1999,2,1.5,2.5,1,-11,-11,divergence
Bulgaria,BGR,% of DE,CEE: Bulgaria,1989-1999,transition,lin,37.54025688629561,24.68792933246122,-12.852327553834389,8936335,1999,3,2.5,3.5,1,-13,-13,divergence
Bulgaria,BGR,% of DE,CEE: Bulgaria,1999-2022,capitalism,lin,24.68792933246122,44.14454291546012,19.4566135829989,8067415,1999,4,3.5,4.5,1,19,+19,convergence
Croatia,HRV,% of DE,Yugosl.: Croatia,1952-1979,socialism,lin,37.72908915529833,62.73929612194575,25.010206966647416,3957359,1993,1,0.5,1.5,1,25,+25,convergence
Croatia,HRV,% of DE,Yugosl.: Croatia,1979-1989,socialism,lin,62.73929612194575,52.889023604743684,-9.850272517202065,4626900,1993,2,1.5,2.5,1,-10,-10,divergence
Croatia,HRV,% of DE,Yugosl.: Croatia,1989-1993,transition,lin,52.889023604743684,32.07088140594989,-20.818142198793794,4820680,1993,3,2.5,3.5,1,-21,-21,divergence
Croatia,HRV,% of DE,Yugosl.: Croatia,1993-2022,capitalism,lin,32.07088140594989,57.852151762035135,25.781270356085244,4729691,1993,4,3.5,4.5,1,26,+26,convergence
Czechia,CZE,% of DE,CEE: Czechia,1970-1975,socialism,lin,50.63379058864386,57.072891158234775,6.439100569590913,9801206,1992,1,0.5,1.5,1,6,+6,convergence
Czechia,CZE,% of DE,CEE: Czechia,1975-1989,socialism,lin,57.072891158234775,53.14666767703558,-3.9262234811991945,10030738,1992,2,1.5,2.5,1,-4,-4,divergence
Czechia,CZE,% of DE,CEE: Czechia,1989-1992,transition,lin,53.14666767703558,46.778916456439475,-6.367751220596105,10305562,1992,3,2.5,3.5,1,-6,-6,divergence
Czechia,CZE,% of DE,CEE: Czechia,1992-2022,capitalism,lin,46.778916456439475,69.12951916074572,22.35060270430624,10312408,1992,4,3.5,4.5,1,22,+22,convergence
Estonia,EST,% of DE,Baltics: Estonia,1973-1989,socialism,lin,72.34455279437978,71.1514416701398,-1.1931111242399766,1399299,1994,1,0.5,1.5,1,-1,-1,divergence
Estonia,EST,% of DE,Baltics: Estonia,1989-1994,transition,lin,71.1514416701398,42.89280935003081,-28.258632320108994,1567538,1994,2,1.5,2.5,1,-28,-28,divergence
Estonia,EST,% of DE,Baltics: Estonia,1994-2022,capitalism,lin,42.89280935003081,64.45620053235959,21.56339118232878,1475669,1994,3,2.5,3.5,1,22,+22,convergence
Hungary,HUN,% of DE,CEE: Hungary,1950-1975,socialism,lin,63.90236016812157,48.210284999739486,-15.692075168382082,9337826,1992,1,0.5,1.5,1,-16,-16,divergence
Hungary,HUN,% of DE,CEE: Hungary,1975-1989,socialism,lin,48.210284999739486,41.689084226878336,-6.52120077286115,10515605,1992,2,1.5,2.5,1,-7,-7,divergence
Hungary,HUN,% of DE,CEE: Hungary,1989-1992,transition,lin,41.689084226878336,33.42670299548421,-8.262381231394123,10403359,1992,3,2.5,3.5,1,-8,-8,divergence
Hungary,HUN,% of DE,CEE: Hungary,1992-2022,capitalism,lin,33.42670299548421,63.136652574324366,29.709949578840153,10371431,1992,4,3.5,4.5,1,30,+30,convergence
Latvia,LVA,% of DE,Baltics: Latvia,1973-1989,socialism,lin,65.56569151724861,59.337703178873184,-6.227988338375425,2415721,1994,1,0.5,1.5,1,-6,-6,divergence
Latvia,LVA,% of DE,Baltics: Latvia,1989-1994,transition,lin,59.337703178873184,30.93194516272657,-28.405758016146613,2664789,1994,2,1.5,2.5,1,-28,-28,divergence
Latvia,LVA,% of DE,Baltics: Latvia,1994-2022,capitalism,lin,30.93194516272657,58.35282067899761,27.42087551627104,2521185,1994,3,2.5,3.5,1,27,+27,convergence
Lithuania,LTU,% of DE,Baltics: Lithuania,1973-1989,socialism,lin,63.45286777812729,55.67006403212973,-7.782803745997562,3236175,1994,1,0.5,1.5,1,-8,-8,divergence
Lithuania,LTU,% of DE,Baltics: Lithuania,1989-1994,transition,lin,55.67006403212973,27.825122742288688,-27.844941289841042,3696048,1994,2,1.5,2.5,1,-28,-28,divergence
Lithuania,LTU,% of DE,Baltics: Lithuania,1994-2022,capitalism,lin,27.825122742288688,66.16244416965236,38.337321427363676,3654839,1994,3,2.5,3.5,1,38,+38,convergence
Poland,POL,% of DE,CEE: Poland,1950-1975,socialism,lin,63.045586808923375,48.23633616422654,-14.809250644696832,24780120,1991,1,0.5,1.5,1,-15,-15,divergence
Poland,POL,% of DE,CEE: Poland,1975-1989,socialism,lin,48.23633616422654,34.32728374947903,-13.909052414747514,33964338,1991,2,1.5,2.5,1,-14,-14,divergence
