cntr_group,country,Code,era_yrs,varname,cntr_region,era_col,value,value_end,change_val,pop,synth,cntr_rank,trans_rec_end_yr,label_perc_end,era_num,era_low,era_high,scaling,change_val_lab,change_lab,change_sign
USSR,Belarus,BLR,1973-1989,intusd2011ppp,USSR: Belarus,"late socialism
(1973/75-1989)",8.341,11.893,3.5520000000000014,9205662,NA,1,1995,8341,2,1.5,2.5,0.001,4,BLR: +4,increase
USSR,Belarus,BLR,1989-1995,intusd2011ppp,USSR: Belarus,"transition
(1989-1991/92)",11.893,6.993622,-4.8993780000000005,10158729,NA,1,1995,11893,3,2.5,3.5,0.001,-5,BLR: -5,decrease
USSR,Belarus,BLR,1995-2022,intusd2011ppp,USSR: Belarus,"capitalism
(1992-2022)",6.993622,18.699799,11.706176999999999,10197421,NA,1,1995,6994,4,3.5,4.5,0.001,12,BLR: +12,increase
CEE,Bulgaria,BGR,1950-1975,intusd2011ppp,CEE: Bulgaria,"early socialism
(1950-1973/75)",2.632,9.295,6.663,7248464,NA,1,1999,2632,1,0.5,1.5,0.001,7,BGR: +7,increase
CEE,Bulgaria,BGR,1975-1989,intusd2011ppp,CEE: Bulgaria,"late socialism
(1973/75-1989)",9.295,9.908,0.6129999999999995,8723102,NA,1,1999,9295,2,1.5,2.5,0.001,1,BGR: +1,increase
CEE,Bulgaria,BGR,1989-1999,intusd2011ppp,CEE: Bulgaria,"transition
(1989-1991/92)",9.908,7.921765000000001,-1.9862349999999989,8936335,NA,1,1999,9908,3,2.5,3.5,0.001,-2,BGR: -2,decrease
CEE,Bulgaria,BGR,1999-2022,intusd2011ppp,CEE: Bulgaria,"capitalism
(1992-2022)",7.921765000000001,20.592455,12.67069,8067415,NA,1,1999,7922,4,3.5,4.5,0.001,13,BGR: +13,increase
Yugosl.,Croatia,HRV,1952-1979,intusd2011ppp,Yugosl.: Croatia,"early socialism
(1950-1973/75)",2.738,13.994,11.256,3957359,NA,1,1993,2738,1,0.5,1.5,0.001,11,HRV: +11,increase
Yugosl.,Croatia,HRV,1979-1989,intusd2011ppp,Yugosl.: Croatia,"late socialism
(1973/75-1989)",13.994,13.959,-0.03500000000000014,4626900,NA,1,1993,13994,2,1.5,2.5,0.001,-0,HRV: +0,no change
Yugosl.,Croatia,HRV,1989-1993,intusd2011ppp,Yugosl.: Croatia,"transition
(1989-1991/92)",13.959,8.739540000000002,-5.219459999999998,4820680,NA,1,1993,13959,3,2.5,3.5,0.001,-5,HRV: -5,decrease
Yugosl.,Croatia,HRV,1993-2022,intusd2011ppp,Yugosl.: Croatia,"capitalism
(1992-2022)",8.739540000000002,26.986752000000003,18.247212,4729691,NA,1,1993,8740,4,3.5,4.5,0.001,18,HRV: +18,increase
CEE,Czechia,CZE,1950-1975,intusd2011ppp,CEE: Czechia,"early socialism
(1950-1973/75)",4.736837877170855,10.954,6.217162122829146,8916664,TRUE,2,1992,4737,1,0.5,1.5,0.001,6,CZE: +6,increase
CEE,Czechia,CZE,1975-1989,intusd2011ppp,CEE: Czechia,"late socialism
(1973/75-1989)",10.954,14.027000000000001,3.0730000000000004,10030738,NA,2,1992,10954,2,1.5,2.5,0.001,3,CZE: +3,increase
CEE,Czechia,CZE,1989-1992,intusd2011ppp,CEE: Czechia,"transition
(1989-1991/92)",14.027000000000001,12.810432,-1.2165680000000005,10305562,NA,2,1992,14027,3,2.5,3.5,0.001,-1,CZE: -1,decrease
CEE,Czechia,CZE,1992-2022,intusd2011ppp,CEE: Czechia,"capitalism
(1992-2022)",12.810432,32.247395000000004,19.436963000000006,10312408,NA,2,1992,12810,4,3.5,4.5,0.001,19,CZE: +19,increase
Baltics,Estonia,EST,1973-1989,intusd2011ppp,Baltics: Estonia,"late socialism
(1973/75-1989)",13.799,18.779,4.98,1399299,NA,1,1994,13799,2,1.5,2.5,0.001,5,EST: +5,increase
