country,Code,year,intusd2011ppp,pop,region,% of DE,% of W_EUR3,% of S_EUR4,% of G7,% of LAT_AM,% of World,cntr_group,cntr_rank
Belarus,BLR,1973,8341,9205662,ex-USSR/Balkans,43.72968438712383,44.2844967807992,58.132310641391655,38.426391143943704,117.80604252677347,NA,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1980,9487,9603126,ex-USSR/Balkans,42.17006712006045,42.47693039574486,54.55776476967908,38.18630659211876,107.29519651764934,131.05049549505807,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1981,9844,9677989,ex-USSR/Balkans,43.648295127034096,43.914232693338306,56.62077281403181,39.15824432526422,113.39671487392594,NA,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1982,10217,9748234,ex-USSR/Balkans,45.65236818588025,45.3991676096438,58.42285528638452,40.953653336343066,121.49261368618878,NA,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1983,10667,9815504,ex-USSR/Balkans,46.70315236427321,46.75411033936501,60.439515110343564,41.72434637447378,131.9234023651106,NA,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1984,10957,9881646,ex-USSR/Balkans,46.49889662196571,46.956807121662756,61.11387779012336,41.04076026959171,132.92642291893347,NA,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1985,11000,9944137,ex-USSR/Balkans,45.580740065470515,46.18558110338158,59.746676662915,40.00151969248578,131.8712331400221,NA,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1986,11230,10004246,ex-USSR/Balkans,45.54487569452894,46.09249948632503,59.215776660867164,39.82639386826501,132.00565943816596,NA,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1987,11297,10057565,ex-USSR/Balkans,45.13924961042075,45.40121312245872,57.27792535103917,38.9570073645425,131.38922956847514,NA,"USSR (Russia, Ukraine, Belarus)",1
Belarus,BLR,1988,11198,10107584,ex-USSR/Balkans,43.47218447921115,43.48321351322828,54.20727973535515,37.165943095794994,131.5780498102173,NA,"USSR (Russia, Ukraine, Belarus)",1
