pair_group,region,country,Code,shape_var,year_pair,year_start,year_end,value_start,pop_start,value_end,pop_end,fold_change
pre_1950_soc,Africa,Algeria,DZA,Africa,1913-1950,1913,1950,1854,5620343,2176,9018372,1.1736785329018338
pre_1950_soc,Africa,Algeria,DZA,Africa,1913-1955,1913,1955,1854,5620343,2303,10247375,1.2421790722761596
pre_1950_soc,Latin America,Argentina,ARG,Latin America,1913-1939,1913,1939,6052,7341005,6612,13825464,1.0925313945803041
pre_1950_soc,Latin America,Argentina,ARG,Latin America,1913-1950,1913,1950,6052,7341005,7949,17017981,1.3134500991407798
pre_1950_soc,Latin America,Argentina,ARG,Latin America,1913-1955,1913,1955,6052,7341005,8348,18715994,1.3793787177792465
pre_1950_soc,Latin America,Argentina,ARG,Latin America,1926-1939,1926,1939,6366,10501879,6612,13825464,1.0386427898209236
pre_1950_soc,Latin America,Argentina,ARG,Latin America,1926-1950,1926,1950,6366,10501879,7949,17017981,1.2486647816525291
pre_1950_soc,Latin America,Argentina,ARG,Latin America,1926-1955,1926,1955,6366,10501879,8348,18715994,1.3113415017279297
pre_1950_soc,W Europe/offshoots,Australia,AUS,W Europe/offshoots,1913-1939,1913,1939,8220,4584938,9318,6887821,1.1335766423357665
pre_1950_soc,W Europe/offshoots,Australia,AUS,W Europe/offshoots,1913-1950,1913,1950,8220,4584938,11815,8176704,1.4373479318734794
pre_1950_soc,W Europe/offshoots,Australia,AUS,W Europe/offshoots,1913-1955,1913,1955,8220,4584938,12795,9205143,1.5565693430656935
pre_1950_soc,W Europe/offshoots,Australia,AUS,W Europe/offshoots,1926-1939,1926,1939,8883,5910560,9318,6887821,1.0489699425869639
pre_1950_soc,W Europe/offshoots,Australia,AUS,W Europe/offshoots,1926-1950,1926,1950,8883,5910560,11815,8176704,1.3300686704942024
pre_1950_soc,W Europe/offshoots,Australia,AUS,W Europe/offshoots,1926-1955,1926,1955,8883,5910560,12795,9205143,1.4403917595406956
pre_1950_soc,Latin America,Brazil,BRA,Latin America,1913-1939,1913,1939,1046,23823693,1627,40633684,1.5554493307839388
pre_1950_soc,Latin America,Brazil,BRA,Latin America,1913-1950,1913,1950,1046,23823693,2236,53408501,2.1376673040152965
pre_1950_soc,Latin America,Brazil,BRA,Latin America,1913-1955,1913,1955,1046,23823693,2675,62101343,2.55736137667304
pre_1950_soc,Latin America,Brazil,BRA,Latin America,1926-1939,1926,1939,1299,31177749,1627,40633684,1.2525019245573519
pre_1950_soc,Latin America,Brazil,BRA,Latin America,1926-1950,1926,1950,1299,31177749,2236,53408501,1.7213240954580447
pre_1950_soc,Latin America,Brazil,BRA,Latin America,1926-1955,1926,1955,1299,31177749,2675,62101343,2.0592763664357197
pre_1950_soc,CEE,Bulgaria,BGR,CEE,1926-1939,1926,1939,1978,5555149,2672,6513568,1.3508594539939334
pre_1950_soc,CEE,Bulgaria,BGR,CEE,1926-1950,1926,1950,1978,5555149,2632,7248464,1.3306370070778564
pre_1950_soc,CEE,Bulgaria,BGR,CEE,1926-1955,1926,1955,1978,5555149,3424,7533615,1.731041456016178
pre_1950_soc,W Europe/offshoots,Canada,CAN,W Europe/offshoots,1913-1939,1913,1939,7088,7463921,7600,11296195,1.072234762979684
pre_1950_soc,W Europe/offshoots,Canada,CAN,W Europe/offshoots,1913-1950,1913,1950,7088,7463921,11622,13741686,1.6396726862302482
pre_1950_soc,W Europe/offshoots,Canada,CAN,W Europe/offshoots,1913-1955,1913,1955,7088,7463921,13072,15728228,1.8442437923250565
pre_1950_soc,W Europe/offshoots,Canada,CAN,W Europe/offshoots,1926-1939,1926,1939,7168,9538925,7600,11296195,1.0602678571428572
pre_1950_soc,W Europe/offshoots,Canada,CAN,W Europe/offshoots,1926-1950,1926,1950,7168,9538925,11622,13741686,1.6213727678571428
pre_1950_soc,W Europe/offshoots,Canada,CAN,W Europe/offshoots,1926-1955,1926,1955,7168,9538925,13072,15728228,1.8236607142857142
pre_1950_soc,Latin America,Chile,CHL,Latin America,1913-1939,1913,1939,4836,3708422,5106,5396359,1.0558312655086848
pre_1950_soc,Latin America,Chile,CHL,Latin America,1913-1950,1913,1950,4836,3708422,5880,6628527,1.215880893300248
pre_1950_soc,Latin America,Chile,CHL,Latin America,1913-1955,1913,1955,4836,3708422,6341,7332262,1.3112076095947063
pre_1950_soc,Latin America,Chile,CHL,Latin America,1926-1939,1926,1939,4702,4383188,5106,5396359,1.0859208847299022
pre_1950_soc,Latin America,Chile,CHL,Latin America,1926-1950,1926,1950,4702,4383188,5880,6628527,1.2505316886431306
pre_1950_soc,Latin America,Chile,CHL,Latin America,1926-1955,1926,1955,4702,4383188,6341,7332262,1.34857507443641
pre_1950_soc,E Asia (soc.),China,CHN,E Asia (soc.),1913-1950,1913,1950,985,431420404,799,544044304,0.8111675126903554
pre_1950_soc,E Asia (soc.),China,CHN,E Asia (soc.),1913-1955,1913,1955,985,431420404,1119,603546968,1.1360406091370558
pre_1950_soc,Latin America,Colombia,COL,Latin America,1913-1939,1913,1939,1347,5303643,3037,9142620,2.2546399406087603
pre_1950_soc,Latin America,Colombia,COL,Latin America,1913-1950,1913,1950,1347,5303643,3432,11766938,2.5478841870824054
pre_1950_soc,Latin America,Colombia,COL,Latin America,1913-1955,1913,1955,1347,5303643,3783,13473009,2.8084632516703785
pre_1950_soc,Latin America,Colombia,COL,Latin America,1926-1939,1926,1939,2136,7255586,3037,9142620,1.421816479400749
pre_1950_soc,Latin America,Colombia,COL,Latin America,1926-1950,1926,1950,2136,7255586,3432,11766938,1.6067415730337078
pre_1950_soc,Latin America,Colombia,COL,Latin America,1926-1955,1926,1955,2136,7255586,3783,13473009,1.771067415730337
pre_1950_soc,Latin America,Costa Rica,CRI,Latin America,1926-1939,1926,1939,2872,508800,2976,663863,1.0362116991643453
pre_1950_soc,Latin America,Costa Rica,CRI,Latin America,1926-1950,1926,1950,2872,508800,3129,926717,1.0894846796657383
pre_1950_soc,Latin America,Costa Rica,CRI,Latin America,1926-1955,1926,1955,2872,508800,3921,1103000,1.36525069637883
pre_1950_soc,Latin America,Cuba,CUB,Latin America,1913-1939,1913,1939,2120,2491434,2042,4614150,0.9632075471698113
pre_1950_soc,Latin America,Cuba,CUB,Latin America,1913-1950,1913,1950,2120,2491434,2638,5924465,1.2443396226415093
pre_1950_soc,Latin America,Cuba,CUB,Latin America,1913-1955,1913,1955,2120,2491434,2638,6543054,1.2443396226415093
pre_1950_soc,Latin America,Cuba,CUB,Latin America,1926-1939,1926,1939,2431,3570664,2042,4614150,0.8399835458658989
pre_1950_soc,Latin America,Cuba,CUB,Latin America,1926-1950,1926,1950,2431,3570664,2638,5924465,1.0851501439736735
pre_1950_soc,Latin America,Cuba,CUB,Latin America,1926-1955,1926,1955,2431,3570664,2638,6543054,1.0851501439736735
pre_1950_soc,CEE,Czechoslovakia,OWID_CZS,CEE,1913-1950,1913,1950,3341,13240000,5581,12390000,1.6704579467225382
pre_1950_soc,CEE,Czechoslovakia,OWID_CZS,CEE,1913-1955,1913,1955,3341,13240000,6252,13090000,1.8712960191559413
pre_1950_soc,CEE,Czechoslovakia,OWID_CZS,CEE,1926-1950,1926,1950,4105,13640000,5581,12390000,1.3595615103532277
pre_1950_soc,CEE,Czechoslovakia,OWID_CZS,CEE,1926-1955,1926,1955,4105,13640000,6252,13090000,1.523020706455542
pre_1950_soc,Latin America,Ecuador,ECU,Latin America,1913-1939,1913,1939,1506,1739186,1967,2523924,1.3061088977423638
pre_1950_soc,Latin America,Ecuador,ECU,Latin America,1913-1950,1913,1950,1506,1739186,2970,3516745,1.9721115537848606
pre_1950_soc,Latin America,Ecuador,ECU,Latin America,1913-1955,1913,1955,1506,1739186,3349,4006148,2.2237715803452853
pre_1950_soc,Latin America,Ecuador,ECU,Latin America,1926-1939,1926,1939,1784,1967325,1967,2523924,1.1025784753363228
pre_1950_soc,Latin America,Ecuador,ECU,Latin America,1926-1950,1926,1950,1784,1967325,2970,3516745,1.6647982062780269
pre_1950_soc,Latin America,Ecuador,ECU,Latin America,1926-1955,1926,1955,1784,1967325,3349,4006148,1.8772421524663676
pre_1950_soc,Africa,Egypt,EGY,Africa,1913-1950,1913,1950,1674,11763295,1450.9724,21148127,0.8667696535244923
pre_1950_soc,Africa,Egypt,EGY,Africa,1913-1955,1913,1955,1674,11763295,1411,23795188,0.8428912783751493
pre_1950_soc,W Europe/offshoots,France,FRA,W Europe/offshoots,1913-1939,1913,1939,5555,39814066,7640,40314566,1.3753375337533753
pre_1950_soc,W Europe/offshoots,France,FRA,W Europe/offshoots,1913-1950,1913,1950,5555,39814066,8266,41883073,1.488028802880288
pre_1950_soc,W Europe/offshoots,France,FRA,W Europe/offshoots,1913-1955,1913,1955,5555,39814066,9881,44136050,1.7787578757875788
pre_1950_soc,W Europe/offshoots,France,FRA,W Europe/offshoots,1926-1939,1926,1939,6773,39769931,7640,40314566,1.1280082681234314
pre_1950_soc,W Europe/offshoots,France,FRA,W Europe/offshoots,1926-1950,1926,1950,6773,39769931,8266,41883073,1.2204340764801418
pre_1950_soc,W Europe/offshoots,France,FRA,W Europe/offshoots,1926-1955,1926,1955,6773,39769931,9881,44136050,1.4588808504355528
pre_1950_soc,W Europe/offshoots,Germany,DEU,W Europe/offshoots,1913-1939,1913,1939,5815,64209282,8617,71499194,1.4818572656921754
pre_1950_soc,W Europe/offshoots,Germany,DEU,W Europe/offshoots,1913-1950,1913,1950,5815,64209282,6186,69847722,1.0638005159071366
pre_1950_soc,W Europe/offshoots,Germany,DEU,W Europe/offshoots,1913-1955,1913,1955,5815,64209282,9240,70334098,1.588993981083405
pre_1950_soc,W Europe/offshoots,Germany,DEU,W Europe/offshoots,1926-1939,1926,1939,5746,65464186,8617,71499194,1.4996519317786285
pre_1950_soc,W Europe/offshoots,Germany,DEU,W Europe/offshoots,1926-1950,1926,1950,5746,65464186,6186,69847722,1.0765750087017056
pre_1950_soc,W Europe/offshoots,Germany,DEU,W Europe/offshoots,1926-1955,1926,1955,5746,65464186,9240,70334098,1.6080751827358162
pre_1950_soc,Africa,Ghana,GHA,Africa,1926-1939,1926,1939,1729.0375,3454809,1842.1818,4158814,1.0654377363128331
pre_1950_soc,Africa,Ghana,GHA,Africa,1926-1950,1926,1950,1729.0375,3454809,1788,5080622,1.0341013425099226
pre_1950_soc,Africa,Ghana,GHA,Africa,1926-1955,1926,1955,1729.0375,3454809,1913,5914883,1.1063958994527303
pre_1950_soc,Southern Europe,Greece,GRC,Southern Europe,1913-1939,1913,1939,1876,5483067,4205,7240587,2.241471215351812
pre_1950_soc,Southern Europe,Greece,GRC,Southern Europe,1913-1950,1913,1950,1876,5483067,3052,7651024,1.626865671641791
pre_1950_soc,Southern Europe,Greece,GRC,Southern Europe,1913-1955,1913,1955,1876,5483067,4007,7984656,2.1359275053304905
pre_1950_soc,Southern Europe,Greece,GRC,Southern Europe,1926-1939,1926,1939,3475,6144230,4205,7240587,1.210071942446043
pre_1950_soc,Southern Europe,Greece,GRC,Southern Europe,1926-1950,1926,1950,3475,6144230,3052,7651024,0.878273381294964
pre_1950_soc,Southern Europe,Greece,GRC,Southern Europe,1926-1955,1926,1955,3475,6144230,4007,7984656,1.1530935251798562
