country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_start,mean_end,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,x_start,x_end,type_scale,sel_var
"South
Korea",Asia,1990,2023,16.012908,49.726453,44081380,51748695,3109.287442601651,22862.973209979453,0.001,33.713544999999996,1.1331418980351284,19.753685767377803,1.995125129783213,black,$34k,1.13,$34k,32.8696805,3 → 23,1.13 → 3.13,20,+20k (3 → 23),"Asia
+20k (3 → 23)",16.012908,49.726453,linear,value
Poland,CEE,1990,2023,12.757185,42.217637,38055404,38762796,17205.041615056816,40600.789118439796,0.001,29.460452000000004,1.1967434298255417,23.39574750338298,0.8585850448101425,black,$29k,1.2,$29k,27.487411,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",12.757185,42.217637,linear,value
Israel,Asia,1990,2023,22.847686000000003,48.050112999999996,4544949,9256261,3109.287442601651,22862.973209979453,0.001,25.202426999999993,0.7433946440649583,19.753685767377803,1.995125129783213,black,$25k,0.74,$25k,35.448899499999996,3 → 23,1.13 → 3.13,20,+20k (3 → 23),"Asia
+20k (3 → 23)",22.847686000000003,48.050112999999996,linear,value
Estonia,CEE,1990,2023,15.782829,40.88093,1570254,1367143,17205.041615056816,40600.789118439796,0.001,25.098101,0.9517411182314804,23.39574750338298,0.8585850448101425,black,$25k,0.95,$25k,28.3318795,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",15.782829,40.88093,linear,value
Panama,Latin America,1990,2023,10.356562,34.384566,2455535,4458719,13186.329495351743,20266.922154160544,0.001,24.028004,1.1999874724353916,7.080592658808801,0.4298094578646791,black,$24k,1.2,$24k,22.370564,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",10.356562,34.384566,linear,value
Croatia,CEE,1995,2023,17.526963,41.37989,4619314,3895973,17205.041615056816,40600.789118439796,0.001,23.852927000000005,0.8590545759647233,23.39574750338298,0.8585850448101425,black,$24k,0.86,$24k,29.4534265,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",17.526963,41.37989,linear,value
Romania,CEE,1990,2023,16.418197,39.374254,22939481,19118433,17205.041615056816,40600.789118439796,0.001,22.956057,0.8747218580550262,23.39574750338298,0.8585850448101425,black,$23k,0.87,$23k,27.8962255,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",16.418197,39.374254,linear,value
Lithuania,CEE,1990,2023,18.981588,41.916464999999995,3694967,2854061,17205.041615056816,40600.789118439796,0.001,22.934876999999997,0.7922092524671588,23.39574750338298,0.8585850448101425,black,$23k,0.79,$23k,30.449026499999995,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",18.981588,41.916464999999995,linear,value
Malaysia,Asia,1990,2023,11.522781000000002,32.553092,17833124,35126249,3109.287442601651,22862.973209979453,0.001,21.030310999999998,1.0385463240786568,19.753685767377803,1.995125129783213,black,$21k,1.04,$21k,22.0379365,3 → 23,1.13 → 3.13,20,+20k (3 → 23),"Asia
+20k (3 → 23)",11.522781000000002,32.553092,linear,value
Slovenia,CEE,1990,2023,25.958826000000002,46.36081,1997968,2118353,17205.041615056816,40600.789118439796,0.001,20.401984,0.5799428228848706,23.39574750338298,0.8585850448101425,black,$20k,0.58,$20k,36.159818,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",25.958826000000002,46.36081,linear,value
China,Asia,1990,2023,1.6472273,22.029223000000002,1153582668,1422584878,3109.287442601651,22862.973209979453,0.001,20.3819957,2.593276439932492,19.753685767377803,1.995125129783213,black,$20k,2.59,$20k,11.838225150000001,3 → 23,1.13 → 3.13,20,+20k (3 → 23),"Asia
+20k (3 → 23)",1.6472273,22.029223000000002,linear,value
Czechia,CEE,1990,2023,26.566367,45.889016000000005,10301937,10809674,17205.041615056816,40600.789118439796,0.001,19.322649000000006,0.5465797683315691,23.39574750338298,0.8585850448101425,black,$19k,0.55,$19k,36.227691500000006,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",26.566367,45.889016000000005,linear,value
Latvia,CEE,1990,2023,19.785074,37.997824,2660082,1882336,17205.041615056816,40600.789118439796,0.001,18.21275,0.652601079891273,23.39574750338298,0.8585850448101425,black,$18k,0.65,$18k,28.891449,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",19.785074,37.997824,linear,value
Chile,Latin America,1990,2023,10.717591,28.047169999999998,13437138,19658791,13186.329495351743,20266.922154160544,0.001,17.329578999999995,0.9620013253731958,7.080592658808801,0.4298094578646791,black,$17k,0.96,$17k,19.3823805,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",10.717591,28.047169999999998,linear,value
Slovakia,CEE,1990,2023,19.518736,36.792989999999996,5266022,5518008,17205.041615056816,40600.789118439796,0.001,17.274253999999996,0.6339325131091429,23.39574750338298,0.8585850448101425,black,$17k,0.63,$17k,28.155862999999997,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",19.518736,36.792989999999996,linear,value
Hungary,CEE,1990,2023,21.433262,37.236074,10381231,9686418,17205.041615056816,40600.789118439796,0.001,15.802812000000003,0.5523340081557382,23.39574750338298,0.8585850448101425,black,$16k,0.55,$16k,29.334668,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",21.433262,37.236074,linear,value
