country,region,start_yr,end_yr,start,end,scale_for_log,scaling,change,label_color,label_txt_linear,label_txt_log,label_final,sel_var,scale_type
South Korea,Asia,1990,2023,13.8399889843663,50.414208339176405,1,0.001,36.574219354810104,black,$37k,36.57,$37k,value,linear
Poland,CEE,1990,2024,12.8214636316574,45.112599399319606,1,0.001,32.291135767662205,black,$32k,32.29,$32k,value,linear
Lithuania,CEE,1990,2024,20.586227753241,47.1690084190287,1,0.001,26.5827806657877,black,$27k,26.58,$27k,value,linear
Panama,Latin America,1990,2024,11.3359353672029,36.426007943645004,1,0.001,25.090072576442104,black,$25k,25.09,$25k,value,linear
Romania,CEE,1990,2024,16.3160306942767,40.610754138069304,1,0.001,24.294723443792602,black,$24k,24.29,$24k,value,linear
Slovenia,CEE,1990,2024,25.351411330939,48.495889687081,1,0.001,23.144478356141995,black,$23k,23.14,$23k,value,linear
Slovakia,CEE,1990,2024,17.5209907344944,40.3465748138478,1,0.001,22.8255840793534,black,$23k,22.83,$23k,value,linear
Estonia,CEE,1990,2024,19.360027121927303,41.5461201868122,1,0.001,22.1860930648849,black,$22k,22.19,$22k,value,linear
China,Asia,1990,2024,1.66692774090575,23.8456197217259,1,0.001,22.17869198082015,black,$22k,22.18,$22k,value,linear
Malaysia,Asia,1990,2024,12.013696948311201,34.0719449554711,1,0.001,22.058248007159904,black,$22k,22.06,$22k,value,linear
Israel,Asia,1990,2024,25.3352722247493,47.3388424624205,1,0.001,22.0035702376712,black,$22k,22,$22k,value,linear
Latvia,CEE,1990,2024,17.5087863191492,38.936045387045404,1,0.001,21.427259067896205,black,$21k,21.43,$21k,value,linear
Czechia,CEE,1990,2024,27.9181375190566,47.9618095131483,1,0.001,20.043671994091703,black,$20k,20.04,$20k,value,linear
Hungary,CEE,1990,2024,21.2970006409015,40.7021535135968,1,0.001,19.405152872695297,black,$19k,19.41,$19k,value,linear
Croatia,CEE,1990,2024,23.3996954608454,42.6337666808329,1,0.001,19.2340712199875,black,$19k,19.23,$19k,value,linear
Chile,Latin America,1990,2024,10.9526557541746,30.1827871224714,1,0.001,19.2301313682968,black,$19k,19.23,$19k,value,linear
Bulgaria,CEE,1990,2024,14.9550762626823,34.0851952950467,1,0.001,19.1301190323644,black,$19k,19.13,$19k,value,linear
Kazakhstan,ex-USSR/Balkans,1990,2024,16.837690749004,35.90544149389051,1,0.001,19.067750744886506,black,$19k,19.07,$19k,value,linear
Uruguay,Latin America,1990,2024,14.0608454762218,32.0387727288227,1,0.001,17.9779272526009,black,$18k,17.98,$18k,value,linear
Dominican Republic,Latin America,1990,2024,7.327726701337511,24.2294681222745,1,0.001,16.90174142093699,black,$17k,16.9,$17k,value,linear
Belarus,ex-USSR/Balkans,1990,2024,12.3516357106896,29.0375291400434,1,0.001,16.6858934293538,black,$17k,16.69,$17k,value,linear
Spain,Southern Europe,1990,2024,31.7732267420042,48.373045569918496,1,0.001,16.599818827914294,black,$17k,16.6,$17k,value,linear
Costa Rica,Latin America,1990,2024,10.9534262046456,26.9734361581028,1,0.001,16.020009953457198,black,$16k,16.02,$16k,value,linear
Portugal,Southern Europe,1990,2024,27.1905717704405,41.8838514202164,1,0.001,14.693279649775903,black,$15k,14.69,$15k,value,linear
Thailand,Asia,1990,2024,8.701954360532572,21.7371779720129,1,0.001,13.03522361148033,black,$13k,13.04,$13k,value,linear
Georgia,ex-USSR/Balkans,1990,2024,12.917094426936101,25.0006326416981,1,0.001,12.083538214762,black,$12k,12.08,$12k,value,linear
