country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,x_start,x_end,type_scale,sel_var
"South
Korea",Asia,1990,2023,13.8399889843663,50.414208339176405,51748695,44081380,24520.678714915768,3112.786826501071,0.001,36.574219354810104,1.292710892577424,21.4078918884147,2.0639983801008817,black,$37k,1.29,$37k,32.127098661771356,3 → 25,1.14 → 3.2,21,+21k (3 → 25),"Asia
+21k (3 → 25)",13.8399889843663,50.414208339176405,linear,value
Poland,CEE,1990,2024,12.8214636316574,45.112599399319606,36554707,38055404,42744.38364939381,17407.840888858314,0.001,32.291135767662205,1.258040960519972,25.336542760535494,0.8983170796141121,black,$32k,1.26,$32k,28.967031515488504,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",12.8214636316574,45.112599399319606,linear,value
Lithuania,CEE,1990,2024,20.586227753241,47.1690084190287,2888055,3694967,42744.38364939381,17407.840888858314,0.001,26.5827806657877,0.8291147790980861,25.336542760535494,0.8983170796141121,black,$27k,0.83,$27k,33.87761808613485,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",20.586227753241,47.1690084190287,linear,value
Panama,Latin America,1990,2024,11.3359353672029,36.426007943645004,4515577,2455535,21301.134080557873,13523.408872798123,0.001,25.090072576442104,1.1673052226327596,7.77772520775975,0.4543381401207085,black,$25k,1.17,$25k,23.880971655423952,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",11.3359353672029,36.426007943645004,linear,value
Romania,CEE,1990,2024,16.3160306942767,40.610754138069304,19069340,22939481,42744.38364939381,17407.840888858314,0.001,24.294723443792602,0.9118848090897311,25.336542760535494,0.8983170796141121,black,$24k,0.91,$24k,28.463392416173,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",16.3160306942767,40.610754138069304,linear,value
Slovenia,CEE,1990,2024,25.351411330939,48.495889687081,2126324,1997968,42744.38364939381,17407.840888858314,0.001,23.144478356141995,0.648644643340319,25.336542760535494,0.8983170796141121,black,$23k,0.65,$23k,36.92365050901,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",25.351411330939,48.495889687081,linear,value
Slovakia,CEE,1990,2024,17.5209907344944,40.3465748138478,5422069,5266022,42744.38364939381,17407.840888858314,0.001,22.8255840793534,0.8341068715374392,25.336542760535494,0.8983170796141121,black,$23k,0.83,$23k,28.9337827741711,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",17.5209907344944,40.3465748138478,linear,value
Estonia,CEE,1990,2024,19.360027121927303,41.5461201868122,1371986,1570254,42744.38364939381,17407.840888858314,0.001,22.1860930648849,0.7635936571960809,25.336542760535494,0.8983170796141121,black,$22k,0.76,$22k,30.453073654369753,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",19.360027121927303,41.5461201868122,linear,value
China,Asia,1990,2024,1.66692774090575,23.8456197217259,1408975000,1153582668,24520.678714915768,3112.786826501071,0.001,22.17869198082015,2.6606182849585007,21.4078918884147,2.0639983801008817,black,$22k,2.66,$22k,12.756273731315824,3 → 25,1.14 → 3.2,21,+21k (3 → 25),"Asia
+21k (3 → 25)",1.66692774090575,23.8456197217259,linear,value
Malaysia,Asia,1990,2024,12.013696948311201,34.0719449554711,35557673,17833124,24520.678714915768,3112.786826501071,0.001,22.058248007159904,1.0424269058525673,21.4078918884147,2.0639983801008817,black,$22k,1.04,$22k,23.04282095189115,3 → 25,1.14 → 3.2,21,+21k (3 → 25),"Asia
+21k (3 → 25)",12.013696948311201,34.0719449554711,linear,value
Israel,Asia,1990,2024,25.3352722247493,47.3388424624205,9974400,4544949,24520.678714915768,3112.786826501071,0.001,22.0035702376712,0.6251335683344662,21.4078918884147,2.0639983801008817,black,$22k,0.63,$22k,36.3370573435849,3 → 25,1.14 → 3.2,21,+21k (3 → 25),"Asia
+21k (3 → 25)",25.3352722247493,47.3388424624205,linear,value
Latvia,CEE,1990,2024,17.5087863191492,38.936045387045404,1862441,2660082,42744.38364939381,17407.840888858314,0.001,21.427259067896205,0.7992176079020342,25.336542760535494,0.8983170796141121,black,$21k,0.8,$21k,28.222415853097303,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",17.5087863191492,38.936045387045404,linear,value
Czechia,CEE,1990,2024,27.9181375190566,47.9618095131483,10882164,10301937,42744.38364939381,17407.840888858314,0.001,20.043671994091703,0.541128491180588,25.336542760535494,0.8983170796141121,black,$20k,0.54,$20k,37.939973516102455,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",27.9181375190566,47.9618095131483,linear,value
Hungary,CEE,1990,2024,21.2970006409015,40.7021535135968,9562314,10381231,42744.38364939381,17407.840888858314,0.001,19.405152872695297,0.6477147551118813,25.336542760535494,0.8983170796141121,black,$19k,0.65,$19k,30.99957707724915,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",21.2970006409015,40.7021535135968,linear,value
Croatia,CEE,1990,2024,23.3996954608454,42.6337666808329,3866300,4835027,42744.38364939381,17407.840888858314,0.001,19.2340712199875,0.5999235766029034,25.336542760535494,0.8983170796141121,black,$19k,0.6,$19k,33.01673107083915,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",23.3996954608454,42.6337666808329,linear,value
Chile,Latin America,1990,2024,10.9526557541746,30.1827871224714,19764771,13437138,21301.134080557873,13523.408872798123,0.001,19.2301313682968,1.0136898375746317,7.77772520775975,0.4543381401207085,black,$19k,1.01,$19k,20.567721438322998,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",10.9526557541746,30.1827871224714,linear,value
Bulgaria,CEE,1990,2024,14.9550762626823,34.0851952950467,6444366,8822320,42744.38364939381,17407.840888858314,0.001,19.1301190323644,0.8238123429000156,25.336542760535494,0.8983170796141121,black,$19k,0.82,$19k,24.5201357788645,17 → 43,2.86 → 3.76,25,+25k (17 → 43),"CEE
+25k (17 → 43)",14.9550762626823,34.0851952950467,linear,value
Kazakhstan,ex-USSR/Balkans,1990,2024,16.837690749004,35.90544149389051,20592571,17154015,33905.67801333279,25293.575516631612,0.001,19.067750744886506,0.7572689871619354,8.61210249670118,0.29303206204138216,black,$19k,0.76,$19k,26.371566121447252,25 → 34,3.23 → 3.52,9,+9k (25 → 34),"ex-USSR/Balkans
+9k (25 → 34)",16.837690749004,35.90544149389051,linear,value
Uruguay,Latin America,1990,2024,14.0608454762218,32.0387727288227,3386588,3104365,21301.134080557873,13523.408872798123,0.001,17.9779272526009,0.8235527991041516,7.77772520775975,0.4543381401207085,black,$18k,0.82,$18k,23.04980910252225,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",14.0608454762218,32.0387727288227,linear,value
"Dominican
Republic",Latin America,1990,2024,7.327726701337511,24.2294681222745,11427557,7151120,21301.134080557873,13523.408872798123,0.001,16.90174142093699,1.1959042518281406,7.77772520775975,0.4543381401207085,black,$17k,1.2,$17k,15.778597411806006,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",7.327726701337511,24.2294681222745,linear,value
Belarus,ex-USSR/Balkans,1990,2024,12.3516357106896,29.0375291400434,9133712,10186209,33905.67801333279,25293.575516631612,0.001,16.6858934293538,0.8548006011139914,8.61210249670118,0.29303206204138216,black,$17k,0.85,$17k,20.694582425366498,25 → 34,3.23 → 3.52,9,+9k (25 → 34),"ex-USSR/Balkans
+9k (25 → 34)",12.3516357106896,29.0375291400434,linear,value
Spain,Southern Europe,1990,2024,31.7732267420042,48.373045569918496,48807137,39084924,49203.84660871572,35982.26485886288,0.001,16.599818827914294,0.42031874006333053,13.221581749852842,0.31294562928769326,black,$17k,0.42,$17k,40.07313615596135,36 → 49,3.58 → 3.9,13,+13k (36 → 49),"Southern Europe
+13k (36 → 49)",31.7732267420042,48.373045569918496,linear,value
Costa Rica,Latin America,1990,2024,10.9534262046456,26.9734361581028,5129910,3121652,21301.134080557873,13523.408872798123,0.001,16.020009953457198,0.9012002329916138,7.77772520775975,0.4543381401207085,black,$16k,0.9,$16k,18.9634311813742,14 → 21,2.6 → 3.06,8,+8k (14 → 21),"Latin America
+8k (14 → 21)",10.9534262046456,26.9734361581028,linear,value
