country,region,start_yr,end_yr_gni,start_gni,end_gni,change_gni,end_yr_gdp,start_gdp,end_gdp,change_gdp,color_cntr,pop,text_str_lin,text_str_log,text_str,type_scale,sel_var
South Korea,Asia,1990,2023,16012.908,49726.453,33.713544999999996,2023,13839.9889843663,50414.2083391764,36.574219354810104,5,51748695,"South Korea, ΔGNI/cap: 34k, ΔGDP/cap: 37k","South Korea, logratio(GNI/cap): 33.7, logratio(GDP/cap): 36.6","South Korea, ΔGNI/cap: 34k, ΔGDP/cap: 37k",lin,value
Poland,CEE,1990,2023,12757.185,42217.637,29.460452000000004,2024,12821.4636316574,45112.5993993196,32.291135767662205,7,36554707,"Poland, ΔGNI/cap: 29k, ΔGDP/cap: 32k","Poland, logratio(GNI/cap): 29.5, logratio(GDP/cap): 32.3","Poland, ΔGNI/cap: 29k, ΔGDP/cap: 32k",lin,value
Israel,Asia,1990,2023,22847.686,48050.113,25.202426999999997,2024,25335.2722247493,47338.8424624205,22.0035702376712,3,9974400,"Israel, ΔGNI/cap: 25k, ΔGDP/cap: 22k","Israel, logratio(GNI/cap): 25.2, logratio(GDP/cap): 22","Israel, ΔGNI/cap: 25k, ΔGDP/cap: 22k",lin,value
Estonia,CEE,1990,2023,15782.829,40880.93,25.098101000000003,2024,19360.0271219273,41546.1201868122,22.1860930648849,3,1371986,"Estonia, ΔGNI/cap: 25k, ΔGDP/cap: 22k","Estonia, logratio(GNI/cap): 25.1, logratio(GDP/cap): 22.2","Estonia, ΔGNI/cap: 25k, ΔGDP/cap: 22k",lin,value
Panama,Latin America,1990,2023,10356.562,34384.566,24.028004000000003,2024,11335.9353672029,36426.007943645,25.090072576442104,10,4515577,"Panama, ΔGNI/cap: 24k, ΔGDP/cap: 25k","Panama, logratio(GNI/cap): 24, logratio(GDP/cap): 25.1","Panama, ΔGNI/cap: 24k, ΔGDP/cap: 25k",lin,value
Romania,CEE,1990,2023,16418.197,39374.254,22.956057,2024,16316.0306942767,40610.7541380693,24.294723443792602,8,19069340,"Romania, ΔGNI/cap: 23k, ΔGDP/cap: 24k","Romania, logratio(GNI/cap): 23, logratio(GDP/cap): 24.3","Romania, ΔGNI/cap: 23k, ΔGDP/cap: 24k",lin,value
Lithuania,CEE,1990,2023,18981.588,41916.465,22.934876999999997,2024,20586.227753241,47169.0084190287,26.582780665787702,6,2888055,"Lithuania, ΔGNI/cap: 23k, ΔGDP/cap: 27k","Lithuania, logratio(GNI/cap): 22.9, logratio(GDP/cap): 26.6","Lithuania, ΔGNI/cap: 23k, ΔGDP/cap: 27k",lin,value
Malaysia,Asia,1990,2023,11522.781,32553.092,21.030311,2024,12013.6969483112,34071.9449554711,22.058248007159904,4,35557673,"Malaysia, ΔGNI/cap: 21k, ΔGDP/cap: 22k","Malaysia, logratio(GNI/cap): 21, logratio(GDP/cap): 22.1","Malaysia, ΔGNI/cap: 21k, ΔGDP/cap: 22k",lin,value
Slovenia,CEE,1990,2023,25958.826,46360.81,20.401984,2024,25351.411330939,48495.889687081,23.144478356142,10,2126324,"Slovenia, ΔGNI/cap: 20k, ΔGDP/cap: 23k","Slovenia, logratio(GNI/cap): 20.4, logratio(GDP/cap): 23.1","Slovenia, ΔGNI/cap: 20k, ΔGDP/cap: 23k",lin,value
China,Asia,1990,2023,1647.2273,22029.223,20.381995700000004,2024,1666.92774090575,23845.6197217259,22.17869198082015,1,1408975000,"China, ΔGNI/cap: 20k, ΔGDP/cap: 22k","China, logratio(GNI/cap): 20.4, logratio(GDP/cap): 22.2","China, ΔGNI/cap: 20k, ΔGDP/cap: 22k",lin,value
Czechia,CEE,1990,2023,26566.367,45889.016,19.322649000000006,2024,27918.1375190566,47961.8095131483,20.0436719940917,2,10882164,"Czechia, ΔGNI/cap: 19k, ΔGDP/cap: 20k","Czechia, logratio(GNI/cap): 19.3, logratio(GDP/cap): 20","Czechia, ΔGNI/cap: 19k, ΔGDP/cap: 20k",lin,value
Latvia,CEE,1990,2023,19785.074,37997.824,18.21275,2024,17508.7863191492,38936.0453870454,21.427259067896202,5,1862441,"Latvia, ΔGNI/cap: 18k, ΔGDP/cap: 21k","Latvia, logratio(GNI/cap): 18.2, logratio(GDP/cap): 21.4","Latvia, ΔGNI/cap: 18k, ΔGDP/cap: 21k",lin,value
Chile,Latin America,1990,2023,10717.591,28047.17,17.329579,2024,10952.6557541746,30182.7871224714,19.2301313682968,3,19764771,"Chile, ΔGNI/cap: 17k, ΔGDP/cap: 19k","Chile, logratio(GNI/cap): 17.3, logratio(GDP/cap): 19.2","Chile, ΔGNI/cap: 17k, ΔGDP/cap: 19k",lin,value
Slovakia,CEE,1990,2023,19518.736,36792.99,17.274254,2024,17520.9907344944,40346.5748138478,22.8255840793534,9,5422069,"Slovakia, ΔGNI/cap: 17k, ΔGDP/cap: 23k","Slovakia, logratio(GNI/cap): 17.3, logratio(GDP/cap): 22.8","Slovakia, ΔGNI/cap: 17k, ΔGDP/cap: 23k",lin,value
