country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scale_flag,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
Romania,CEE,1995,2023,10.478117,47.077618,19118433,22657664,45.728240871623164,18.764354729093977,FALSE,1,36.599501000000004,1.5025086992029615,26.963886142529187,0.8907570241631249,black,$37,1.5,$37,28.7778675,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,10.478117,47.077618,linear,value
"South
Korea",Asia,1995,2023,21.396973,53.608574,51748695,45368368,19.25300424313185,3.8193011529926792,FALSE,1,32.211601,0.9184595545457787,15.433703090139172,1.6175996514958715,black,$32,0.92,$32,37.502773499999996,4 → 19,1.34 → 2.96,15,+15 (4 → 19),"Asia
+15 (4 → 19)",FALSE,,21.396973,53.608574,linear,value
Estonia,CEE,1995,2023,14.1422615,46.154022,1367143,1452730,45.728240871623164,18.764354729093977,FALSE,1,32.011760499999994,1.1828165237166015,26.963886142529187,0.8907570241631249,black,$32,1.18,$32,30.14814175,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,14.1422615,46.154022,linear,value
Lithuania,CEE,1995,2023,16.56673,47.999832,2854061,3626997,45.728240871623164,18.764354729093977,FALSE,1,31.433101999999998,1.063801043536974,26.963886142529187,0.8907570241631249,black,$31,1.06,$31,32.283281,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,16.56673,47.999832,linear,value
Latvia,CEE,1995,2023,14.999943,43.99355,1882336,2485908,45.728240871623164,18.764354729093977,FALSE,1,28.993606999999997,1.0759966311686828,26.963886142529187,0.8907570241631249,black,$29,1.08,$29,29.4967465,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,14.999943,43.99355,linear,value
Poland,CEE,1995,2023,18.57919,46.688633,38762796,38364630,45.728240871623164,18.764354729093977,FALSE,1,28.109443000000002,0.9214585931645295,26.963886142529187,0.8907570241631249,black,$28,0.92,$28,32.6339115,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,18.57919,46.688633,linear,value
Russia,ex-USSR/Balkans,1995,2023,11.838192,36.641933,145440454,148291356,36.641933,11.838192,FALSE,1,24.803741000000002,1.129862379871658,24.803741000000002,1.129862379871658,black,$25,1.13,$25,24.2400625,12 → 37,2.47 → 3.6,25,+25 (12 → 37),"ex-USSR/Balkans
+25 (12 → 37)",FALSE,,11.838192,36.641933,linear,value
Croatia,CEE,1995,2023,17.589096,41.5619,3895973,4619314,45.728240871623164,18.764354729093977,FALSE,1,23.972804,0.8599047176296754,26.963886142529187,0.8907570241631249,black,$24,0.86,$24,29.575498000000003,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,17.589096,41.5619,linear,value
Spain,Southern Europe,1995,2023,41.363132,63.997158,47911535,40052688,61.424832590862884,42.62538272701287,FALSE,1,22.634026,0.43644872345203883,18.799449863850015,0.3653642784838275,black,$23,0.44,$23,52.680144999999996,43 → 61,3.75 → 4.12,19,+19 (43 → 61),"Southern Europe
+19 (43 → 61)",FALSE,,41.363132,63.997158,linear,value
Czechia,CEE,1995,2023,28.352118,50.677856,10809674,10311979,45.728240871623164,18.764354729093977,FALSE,1,22.325737999999998,0.5807873135235097,26.963886142529187,0.8907570241631249,black,$22,0.58,$22,39.514987,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,28.352118,50.677856,linear,value
Slovenia,CEE,1995,2023,29.479671,51.474453,2118353,1988051,45.728240871623164,18.764354729093977,FALSE,1,21.994781999999997,0.557384719189351,26.963886142529187,0.8907570241631249,black,$22,0.56,$22,40.477062,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,29.479671,51.474453,linear,value
Hungary,CEE,1995,2023,22.626534,42.33395,9686418,10322744,45.728240871623164,18.764354729093977,FALSE,1,19.707416000000002,0.6264660762209476,26.963886142529187,0.8907570241631249,black,$20,0.63,$20,32.480242000000004,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,22.626534,42.33395,linear,value
Bulgaria,CEE,1995,2023,17.804731,37.252995,6795757,8357522,45.728240871623164,18.764354729093977,FALSE,1,19.448263999999998,0.7382681357780951,26.963886142529187,0.8907570241631249,black,$19,0.74,$19,27.528863,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,17.804731,37.252995,linear,value
Slovakia,CEE,1995,2023,24.67673,43.989033,5518008,5354244,45.728240871623164,18.764354729093977,FALSE,1,19.312303,0.57807965853963,26.963886142529187,0.8907570241631249,black,$19,0.58,$19,34.3328815,19 → 46,2.93 → 3.82,27,+27 (19 → 46),"CEE
+27 (19 → 46)",FALSE,,24.67673,43.989033,linear,value
