cntr_group,region,country,Code,year,year_end,varname,value,value_end,pop,min_yr,max_yr,trans_rec_end_yr,era,era_col,era_num,era_low,era_high,cntr_region,change_val,change_lab,change_sign,sel_var
USSR,ex-USSR/Balkans,Belarus,BLR,1950,1965,value,58.6416,71.6312,7127548,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,USSR: Belarus,12.98960000000001,+13,increase,value
USSR,ex-USSR/Balkans,Belarus,BLR,1965,1989,value,71.6312,71.5034,8679894,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,USSR: Belarus,-0.12780000000000769,-0.1,no change,value
USSR,ex-USSR/Balkans,Belarus,BLR,1989,1995,value,71.5034,68.7521,10158729,1950,2023,1995,1989-1995,transition,3,2.5,3.5,USSR: Belarus,-2.7513000000000005,-2.8,decrease,value
USSR,ex-USSR/Balkans,Belarus,BLR,1995,2023,value,68.7521,74.4339,10197421,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,USSR: Belarus,5.6817999999999955,+5.7,increase,value
CEE,CEE,Bulgaria,BGR,1950,1965,value,61.4691,71.3063,7248464,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Bulgaria,9.837199999999996,+9.8,increase,value
CEE,CEE,Bulgaria,BGR,1965,1989,value,71.3063,71.4801,8202371,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Bulgaria,0.17379999999999995,+0.2,no change,value
CEE,CEE,Bulgaria,BGR,1989,1995,value,71.4801,70.962,8936335,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Bulgaria,-0.5180999999999898,-0.5,decrease,value
CEE,CEE,Bulgaria,BGR,1995,2023,value,70.962,75.6363,8357522,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Bulgaria,4.674300000000002,+4.7,increase,value
Yugosl.,CEE,Croatia,HRV,1950,1965,value,58.4528,68.4751,3864936,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Yugosl.: Croatia,10.022299999999994,+10,increase,value
Yugosl.,CEE,Croatia,HRV,1965,1989,value,68.4751,72.4968,4346657,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Yugosl.: Croatia,4.021699999999996,+4,increase,value
