cntr_group,country,Code,cntr_region,era,varname,value,value_end,era_col,scaling,change_val,change_val_lab,change_lab,change_sign,era_num,pop,type_scale,sel_var
USSR,Belarus,BLR,USSR: Belarus,1950-1965,value,58.6416,71.6312,socialism,1,12.98960000000001,13,+13,increase,1,7127548,linear,value
USSR,Belarus,BLR,USSR: Belarus,1965-1989,value,71.6312,71.5034,socialism,1,-0.12780000000000769,-0,+0,no change,2,8679894,linear,value
USSR,Belarus,BLR,USSR: Belarus,1989-1995,value,71.5034,68.7521,transition,1,-2.7513000000000005,-3,-3,decrease,3,10158729,linear,value
USSR,Belarus,BLR,USSR: Belarus,1995-2023,value,68.7521,74.4339,capitalism,1,5.6817999999999955,6,+6,increase,4,10197421,linear,value
CEE,Bulgaria,BGR,CEE: Bulgaria,1950-1965,value,61.4691,71.3063,socialism,1,9.837199999999996,10,+10,increase,1,7248464,linear,value
CEE,Bulgaria,BGR,CEE: Bulgaria,1965-1989,value,71.3063,71.4801,socialism,1,0.17379999999999995,0,+0,no change,2,8202371,linear,value
CEE,Bulgaria,BGR,CEE: Bulgaria,1989-1995,value,71.4801,70.962,transition,1,-0.5180999999999898,-1,-1,decrease,3,8936335,linear,value
CEE,Bulgaria,BGR,CEE: Bulgaria,1995-2023,value,70.962,75.6363,capitalism,1,4.674300000000002,5,+5,increase,4,8357522,linear,value
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1950-1965,value,58.4528,68.4751,socialism,1,10.022299999999994,10,+10,increase,1,3864936,linear,value
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1965-1989,value,68.4751,72.4968,socialism,1,4.021699999999996,4,+4,increase,2,4346657,linear,value
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1989-1995,value,72.4968,72.5612,transition,1,0.06440000000000623,0,+0,no change,3,4820680,linear,value
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1995-2023,value,72.5612,78.5803,capitalism,1,6.019099999999995,6,+6,increase,4,4619314,linear,value
CEE,Czechia,CZE,CEE: Czechia,1950-1965,value,64.4058,70.2584,socialism,1,5.852599999999995,6,+6,increase,1,8916664,linear,value
CEE,Czechia,CZE,CEE: Czechia,1965-1989,value,70.2584,71.7544,socialism,1,1.4960000000000093,1,+1,increase,2,9706802,linear,value
CEE,Czechia,CZE,CEE: Czechia,1989-1995,value,71.7544,73.1772,transition,1,1.4227999999999952,1,+1,increase,3,10305562,linear,value
