country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
Lithuania,CEE,1995,2024,13.551868,52.897636,3626997,2888055,42278.390205409305,19536.685846095614,0.001,39.345768,1.3618342521724522,22.74170435931369,0.7719820621310447,black,$39k,1.36,$39k,33.224752,20 → 42,2.97 → 3.74,23,+23k (20 → 42),"CEE
 +23k (20 → 42)",FALSE,,13.551868,52.897636,linear,value
Latvia,CEE,1995,2024,11.34,45.56651600000001,2485908,1862441,42278.390205409305,19536.685846095614,0.001,34.226516000000004,1.3908368502461148,22.74170435931369,0.7719820621310447,black,$34k,1.39,$34k,28.453258000000005,20 → 42,2.97 → 3.74,23,+23k (20 → 42),"CEE
 +23k (20 → 42)",FALSE,,11.34,45.56651600000001,linear,value
Slovenia,CEE,1995,2024,32.597901,61.77628,1988051,2126324,42278.390205409305,19536.685846095614,0.001,29.178379,0.6392715722194466,22.74170435931369,0.7719820621310447,black,$29k,0.64,$29k,47.1870905,20 → 42,2.97 → 3.74,23,+23k (20 → 42),"CEE
 +23k (20 → 42)",FALSE,,32.597901,61.77628,linear,value
Estonia,CEE,1995,2024,11.589685,38.974828,1452730,1371986,42278.390205409305,19536.685846095614,0.001,27.385143000000003,1.2128005234687194,22.74170435931369,0.7719820621310447,black,$27k,1.21,$27k,25.282256500000003,20 → 42,2.97 → 3.74,23,+23k (20 → 42),"CEE
 +23k (20 → 42)",FALSE,,11.589685,38.974828,linear,value
Poland,CEE,1995,2024,21.255921999999998,44.21061,38364630,36554707,42278.390205409305,19536.685846095614,0.001,22.954688000000004,0.7323292666276173,22.74170435931369,0.7719820621310447,black,$23k,0.73,$23k,32.733266,20 → 42,2.97 → 3.74,23,+23k (20 → 42),"CEE
 +23k (20 → 42)",FALSE,,21.255921999999998,44.21061,linear,value
Czechia,CEE,1995,2024,18.621205999999997,38.488506,10311979,10882164,42278.390205409305,19536.685846095614,0.001,19.867300000000004,0.7260586124486107,22.74170435931369,0.7719820621310447,black,$20k,0.73,$20k,28.554856,20 → 42,2.97 → 3.74,23,+23k (20 → 42),"CEE
 +23k (20 → 42)",FALSE,,18.621205999999997,38.488506,linear,value
Slovakia,CEE,1995,2024,16.684664,36.105364,5354244,5422069,42278.390205409305,19536.685846095614,0.001,19.4207,0.7719514674062584,22.74170435931369,0.7719820621310447,black,$19k,0.77,$19k,26.395014000000003,20 → 42,2.97 → 3.74,23,+23k (20 → 42),"CEE
 +23k (20 → 42)",FALSE,,16.684664,36.105364,linear,value
Chile,Latin America,1996,2023,20.230245,38.129817,14734005,19658791,23334.990473296504,18298.14139466596,0.001,17.899572000000003,0.6338178126544176,5.036849078630545,0.24315447958708095,black,$18k,0.63,$18k,29.180031,18 → 23,2.91 → 3.15,5,+5k (18 → 23),"Latin America
 +5k (18 → 23)",TRUE,(1996-2023),20.230245,38.129817,linear,value
Costa Rica,Latin America,1995,2023,23.728028,41.009612000000004,3535133,5105469,23334.990473296504,18298.14139466596,0.001,17.281584000000006,0.5471495128168259,5.036849078630545,0.24315447958708095,black,$17k,0.55,$17k,32.36882,18 → 23,2.91 → 3.15,5,+5k (18 → 23),"Latin America
 +5k (18 → 23)",TRUE,(1995-2023),23.728028,41.009612000000004,linear,value
Hungary,CEE,1995,2024,18.220619,34.995811,10322744,9562314,42278.390205409305,19536.685846095614,0.001,16.775192000000004,0.652674503702177,22.74170435931369,0.7719820621310447,black,$17k,0.65,$17k,26.608215,20 → 42,2.97 → 3.74,23,+23k (20 → 42),"CEE
 +23k (20 → 42)",FALSE,,18.220619,34.995811,linear,value
"South
Korea",Asia,1995,2023,33.766394999999996,50.31368,45368368,51748695,51028.362444021965,34449.47387327591,0.001,16.547285000000002,0.398810931175415,16.57888857074606,0.39288787933727204,black,$17k,0.4,$17k,42.0400375,34 → 51,3.54 → 3.93,17,+17k (34 → 51),"Asia
 +17k (34 → 51)",TRUE,(1995-2023),33.766394999999996,50.31368,linear,value
Israel,Asia,1995,2024,40.236967,54.736243,5354680,9974400,51028.362444021965,34449.47387327591,0.001,14.499276000000002,0.3077399175293764,16.57888857074606,0.39288787933727204,black,$14k,0.31,$14k,47.486605,34 → 51,3.54 → 3.93,17,+17k (34 → 51),"Asia
 +17k (34 → 51)",FALSE,,40.236967,54.736243,linear,value
Portugal,Southern Europe,1995,2024,33.002427000000004,40.002449,10031702,10701636,49934.544248233775,46976.14325682551,0.001,7.000021999999994,0.19235957302307097,2.9584009914082636,0.061073150190958526,black,$7k,0.19,$7k,36.502438,47 → 50,3.85 → 3.91,3,+3k (47 → 50),"Southern Europe
 +3k (47 → 50)",FALSE,,33.002427000000004,40.002449,linear,value
Greece,Southern Europe,1995,2024,26.323842000000003,32.257112,10519187,10388805,49934.544248233775,46976.14325682551,0.001,5.933269999999997,0.20326347761250704,2.9584009914082636,0.061073150190958526,black,$6k,0.2,$6k,29.290477000000003,47 → 50,3.85 → 3.91,3,+3k (47 → 50),"Southern Europe
 +3k (47 → 50)",FALSE,,26.323842000000003,32.257112,linear,value
Mexico,Latin America,1995,2024,17.773579,20.42285,90862395,130861007,23334.990473296504,18298.14139466596,0.001,2.649270999999999,0.1389413432951929,5.036849078630545,0.24315447958708095,black,$3k,0.14,$3k,19.0982145,18 → 23,2.91 → 3.15,5,+5k (18 → 23),"Latin America
 +5k (18 → 23)",FALSE,,17.773579,20.42285,linear,value
