country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
"South
Korea",Asia,1995,2023,7.693996299,26.467398799999998,45368368,51748695,26467.3988,7693.996299,0.001,18.773402501,1.235473418365082,18.773402500999996,1.235473418365082,black,$19k,1.24,$19k,17.080697549499998,8 → 26,2.04 → 3.28,19,+19k (8 → 26),"Asia
+19k (8 → 26)",TRUE,(1995-2023),7.693996299,26.467398799999998,linear,value
Poland,CEE,1995,2024,6.44377779,24.729887790000003,38364630,36554707,20774.492289228394,4974.414488671181,0.001,18.28611,1.3448975626391242,15.800077800557213,1.4294182289328234,black,$18k,1.34,$18k,15.586832790000003,5 → 21,1.6 → 3.03,16,+16k (5 → 21),"CEE
+16k (5 → 21)",FALSE,,6.44377779,24.729887790000003,linear,value
Romania,CEE,1996,2024,2.20810705,19.906769960000002,22541865,19069340,20774.492289228394,4974.414488671181,0.001,17.698662910000003,2.198924262841413,15.800077800557213,1.4294182289328234,black,$18k,2.2,$18k,11.057438505,5 → 21,1.6 → 3.03,16,+16k (5 → 21),"CEE
+16k (5 → 21)",TRUE,(1996-2024),2.20810705,19.906769960000002,linear,value
Lithuania,CEE,1995,2024,2.766778431,20.396713130000002,3626997,2888055,20774.492289228394,4974.414488671181,0.001,17.629934699000003,1.99769014472484,15.800077800557213,1.4294182289328234,black,$18k,2,$18k,11.5817457805,5 → 21,1.6 → 3.03,16,+16k (5 → 21),"CEE
+16k (5 → 21)",FALSE,,2.766778431,20.396713130000002,linear,value
Slovenia,CEE,1995,2024,11.42759261,25.03814762,1988051,2126324,20774.492289228394,4974.414488671181,0.001,13.61055501,0.7843697313327291,15.800077800557213,1.4294182289328234,black,$14k,0.78,$14k,18.232870115,5 → 21,1.6 → 3.03,16,+16k (5 → 21),"CEE
+16k (5 → 21)",FALSE,,11.42759261,25.03814762,linear,value
Latvia,CEE,1995,2024,3.248420368,15.415446280000001,2485908,1862441,20774.492289228394,4974.414488671181,0.001,12.167025912000001,1.5572011743705387,15.800077800557213,1.4294182289328234,black,$12k,1.56,$12k,9.331933324000001,5 → 21,1.6 → 3.03,16,+16k (5 → 21),"CEE
+16k (5 → 21)",FALSE,,3.248420368,15.415446280000001,linear,value
Hungary,CEE,1995,2024,4.725967013000001,16.53377145,10322744,9562314,20774.492289228394,4974.414488671181,0.001,11.807804436999998,1.252332844861693,15.800077800557213,1.4294182289328234,black,$12k,1.25,$12k,10.6298692315,5 → 21,1.6 → 3.03,16,+16k (5 → 21),"CEE
+16k (5 → 21)",FALSE,,4.725967013000001,16.53377145,linear,value
Czechia,CEE,1995,2024,5.171672924,15.3256995,10311979,10882164,20774.492289228394,4974.414488671181,0.001,10.154026576,1.0863349059951637,15.800077800557213,1.4294182289328234,black,$10k,1.09,$10k,10.248686212,5 → 21,1.6 → 3.03,16,+16k (5 → 21),"CEE
+16k (5 → 21)",FALSE,,5.171672924,15.3256995,linear,value
Slovakia,CEE,1995,2024,6.092254658,15.944301240000001,5354244,5422069,20774.492289228394,4974.414488671181,0.001,9.852046582000002,0.9620832401650173,15.800077800557213,1.4294182289328234,black,$10k,0.96,$10k,11.018277949000002,5 → 21,1.6 → 3.03,16,+16k (5 → 21),"CEE
+16k (5 → 21)",FALSE,,6.092254658,15.944301240000001,linear,value
Spain,Southern Europe,1995,2024,17.171076239999998,26.215626670000002,40052688,48807137,24309.323664905445,16239.80684397011,0.001,9.044550430000005,0.4231293163889188,8.069516820935336,0.4033945258515609,black,$9k,0.42,$9k,21.693351455,16 → 24,2.79 → 3.19,8,+8k (16 → 24),"Southern Europe
+8k (16 → 24)",FALSE,,17.171076239999998,26.215626670000002,linear,value
