age,sex,indic_il,unit,country,year,value,Code,pop,% of DE,% of AT,% of W_EUR3,% of S_EUR4,region
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2006,3.2,BGR,7640243,21.098437396980287,18.369690011481055,21.703529175556383,25.364177033105893,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2007,3.299,BGR,7586847,19.041847041847042,18.523301516002245,20.83866514520048,25.158789204687434,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2008,4.765,BGR,7535541,26.461931471094573,25.169025987745616,27.955289715875075,33.03304669961163,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2009,5.751,BGR,7487966,32.031859195722404,29.534716516023007,33.653491964357805,39.26402399214527,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2010,5.885,BGR,7437542,33.48887497866045,30.15474482475917,34.726402436729735,40.742648862793686,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2011,5.831,BGR,7379973,31.698831204131558,28.548347613219093,33.22346748468068,40.42913814018898,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2012,5.697,BGR,7316974,29.65951686797168,27.652655082030872,31.68136879477907,40.31185982005093,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2013,5.9,BGR,7264556,30.29058424889619,28.224263298890165,32.48234646892581,42.29688078929321,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2014,6.754,BGR,7223406,35.14779350541215,31.17902317422214,37.35235735904088,48.59777987746263,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2015,6.882,BGR,7177463,33.7932727719126,31.308857649788454,36.675681245610136,48.84001377286604,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2016,6.742,BGR,7127389,31.874054462934946,29.222833860690912,34.46963454194833,45.335512416003844,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2017,7.533,BGR,7075586,35.31480005625615,32.24605111082573,38.364368915075374,49.978522533642064,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2018,7.218,BGR,7024687,32.83894449499545,31.10670574038959,36.248840409925975,46.97941640659743,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2019,8.371,BGR,6975420,36.88802714493456,35.340059948494954,41.05566281890013,53.30624493564295,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2020,8.647,BGR,6933606,35.68863758306162,37.05751264249593,41.37856996895925,53.09334434482992,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2021,9.375,BGR,6877173,40.173980116558106,38.34355828220859,45.51935325289842,58.870384756746034,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2022,9.671,BGR,6825817,41.81692394171315,38.500736494287196,46.0527314666988,57.24357417110163,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2023,11.155,BGR,6795757,46.31321099393839,38.88114325548972,50.370837090733765,61.07018713323326,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Bulgaria,2024,13.079,BGR,6444366,51.91727532550016,43.95120639827945,56.07112923541262,66.72943056492495,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2010,7.609,HRV,4301108,43.29937973026802,38.98852223816356,44.89943859661454,52.67813342344896,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2011,7.421,HRV,4280782,40.34248437075292,36.332925336597306,42.28285923577695,51.45337577402546,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2012,7.409,HRV,4259181,38.57246980424823,35.96252790991166,41.20190651229035,52.42593810896214,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2013,7.359,HRV,4242353,37.78108635383509,35.20378874856487,40.514845366919495,52.75639758108623,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2014,7.632,HRV,4219439,39.716902581182346,35.232203859292774,42.2080532076103,54.915347353389805,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2015,8.253,HRV,4183681,40.52541124478272,37.54606250853009,43.98203971520204,58.569693935987125,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2016,8.985,HRV,4136388,42.47825264750378,38.94499588227645,45.93735781065051,60.418211073538195,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2017,9.444,HRV,4079152,44.27359242417139,40.42635161166046,48.09678747298179,62.65726361445847,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2018,9.87,HRV,4024820,44.904458598726116,42.535769694880194,49.567200726789885,64.240349117915855,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2019,10.734,HRV,3986292,47.30092980214163,45.315996116013004,52.64502266133963,68.35374903108247,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2020,11.09,HRV,3953898,45.771596021296794,47.52721350818548,53.06908071652111,68.09358029191209,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2021,11.385,HRV,3924558,48.78728145354817,46.56441717791411,55.278702590319845,71.49219524859238,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2022,12.277,HRV,3906988,53.08513858260907,48.87535331820534,58.462349727707704,72.66873747271376,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2023,13.438,HRV,3895973,55.79174624263057,46.838619728128265,60.67981253476292,73.56890853396581,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Croatia,2024,16.277,HRV,3866300,64.6117815179422,54.69789636400296,69.78131130551351,83.04571766230472,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2005,7.641,CZE,10280103,48.821161587119036,44.43992090264046,51.91633631316196,62.821823784603566,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2006,8.261,CZE,10304542,54.46693479264192,47.42250287026406,56.029017037272276,65.47920827202744,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2007,8.841,CZE,10337488,51.03030303030303,49.64065131948344,55.845601257568184,67.42311468888803,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2008,9.725,CZE,10378248,54.00677514299994,51.36805408831608,57.05460492904199,67.41791797559772,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2009,10.104,CZE,10420931,56.27715272362705,51.8898931799507,59.12621853727547,68.98342869355517,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2010,9.66,CZE,10463981,54.97069367780117,49.49784791965567,57.0020471603754,66.877483095087,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2011,9.989,CZE,10495455,54.30279967382441,48.90575275397797,56.91463157339656,69.25855957508965,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2012,10.313,CZE,10507287,53.691170345689294,50.05824677215804,57.351229836853875,72.97458492613397,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2013,10.802,CZE,10511117,55.457439162131635,51.67432070417145,59.47022145039603,77.4391366586348,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2014,11.091,CZE,10517176,57.71752706078268,51.20025851721909,61.33772512127959,79.80426067825555,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2015,11.652,CZE,10524367,57.215811441198134,53.00941722396615,62.096053163883944,82.69163622223701,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2016,12.478,CZE,10531895,58.99205748865356,54.08521520523601,63.79592106413991,83.90633698114743,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2017,12.641,CZE,10541301,59.2611691903802,54.11155344377381,64.37859915776819,83.86811407776044,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2018,13.264,CZE,10548878,60.345768880800726,57.162558179624206,66.6118896089302,86.33069814590029,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2019,14.035,CZE,10554819,61.847265676640376,59.25191033056107,68.8348139604902,89.37440540816495,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2020,14.151,CZE,10550083,58.4052168888522,60.64541013113911,67.71691264377729,86.88839086662291,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2021,13.815,CZE,10530619,59.200377099760026,56.50306748466258,67.07731895347112,86.75139897754096,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2022,15.354,CZE,10673169,66.38993384355948,61.12504478681476,73.11484220242926,90.88179483229185,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2023,16.208,CZE,10809674,67.2922029394669,56.49355176019519,73.18785545195992,88.73380484584892,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Czechia,2024,16.972,CZE,10882164,67.37059383931407,57.03340278244506,72.76085368785252,86.59162745989038,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2004,4.131,EST,1362623,NA,25.303197353914,30.56413040735104,34.577169927629456,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2005,4.726,EST,1354799,30.19615360040892,27.48633244154938,32.110535979060785,38.855639210317555,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2006,5.627,EST,1346833,37.100283510252524,32.30195177956372,38.16429958464243,44.601320051652145,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2007,6.492,EST,1340672,37.47186147186147,36.45143177989893,41.00776420813626,49.509202642264576,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2008,7.564,EST,1337032,42.00588659965569,39.95351785336995,44.37645570007955,52.43692869587878,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2009,8.101,EST,1334487,45.1208644313245,41.603327855382084,47.40513622035517,55.30826958100658,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2010,7.413,EST,1331406,42.18403232231264,37.98421807747489,43.74287532089677,51.3211989838385,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Estonia,2011,7.485,EST,1327315,40.69040500135907,36.64626682986536,42.64751399808522,51.89711867249435,CEE
