sex,unit,country,year,value,Code,pop,% of DE,% of AT,% of W_EUR3,% of S_EUR4,region,year_end,value_end,era
Total,Purchasing power standard (PPS),Bulgaria,2006,2.09,BGR,7640243,14.49375866851595,18.862815884476536,16.627958672352708,22.0367907911093,CEE,2010,32.84184966206686,2006-2010
Total,Purchasing power standard (PPS),Bulgaria,2010,3.42,BGR,7437542,23.217922606924642,29.131175468483814,26.240778536420212,32.84184966206686,CEE,2014,31.97500380069601,2010-2014
Total,Purchasing power standard (PPS),Bulgaria,2014,3.48,BGR,7223406,22.538860103626945,26.264150943396228,24.897319508479875,31.97500380069601,CEE,2018,42.97261142236985,2014-2018
Total,Purchasing power standard (PPS),Bulgaria,2018,4.61,BGR,7024687,28.580285182889032,33.79765395894428,32.53843979635735,42.97261142236985,CEE,2022,55.44405145713165,2018-2022
Total,Purchasing power standard (PPS),Croatia,2010,6.9,HRV,4301108,46.84317718940937,58.77342419080068,52.94192160856709,66.25987212522261,CEE,2014,68.08470636872339,2010-2014
Total,Purchasing power standard (PPS),Croatia,2014,7.41,HRV,4219439,47.99222797927461,55.924528301886795,53.01411998788387,68.08470636872339,CEE,2018,71.40351485799415,2014-2018
Total,Purchasing power standard (PPS),Croatia,2018,7.66,HRV,4024820,47.489150650960944,56.158357771260995,54.06604096314475,71.40351485799415,CEE,2022,77.55566721682105,2018-2022
Total,Purchasing power standard (PPS),Czechia,2006,5.85,CZE,10304542,40.568654646324546,52.79783393501805,46.54237236041309,61.681926377028425,CEE,2010,60.88225931505963,2006-2010
Total,Purchasing power standard (PPS),Czechia,2010,6.34,CZE,10463981,43.04141208418194,54.003407155025556,48.64518594178484,60.88225931505963,CEE,2014,65.69576930315415,2010-2014
Total,Purchasing power standard (PPS),Czechia,2014,7.15,CZE,10517176,46.30829015544042,53.9622641509434,51.15397542690549,65.69576930315415,CEE,2018,78.30150454401448,2014-2018
Total,Purchasing power standard (PPS),Czechia,2018,8.4,CZE,10548878,52.076875387476754,61.583577712609966,59.289131082299726,78.30150454401448,CEE,2022,84.23865556210032,2018-2022
Total,Purchasing power standard (PPS),Estonia,2006,4.56,EST,1346833,31.62274618585298,41.155234657039706,36.27918255786045,48.08027081696574,CEE,2010,57.23316490816331,2006-2010
Total,Purchasing power standard (PPS),Estonia,2010,5.96,EST,1331406,40.46164290563476,50.76660988074957,45.72954388218259,57.23316490816331,CEE,2014,59.63154444440146,2010-2014
