year,telepules,ksh_kod,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2011,Aba,17376,nagyközség,Fejér,8805,4674,1555
2011,Abádszalók,12441,város,Jász-Nagykun-Szolnok,13223,4034,2100
2011,Abaliget,12548,község,Baranya,1609,584,235
2011,Abasár,24554,község,Heves,2082,2507,1153
2011,Abaújalpár,15662,község,Borsod-Abaúj-Zemplén,848,75,61
2011,Abaújkér,26718,község,Borsod-Abaúj-Zemplén,1727,697,301
2011,Abaújlak,2820,község,Borsod-Abaúj-Zemplén,706,137,86
2011,Abaújszántó,3595,város,Borsod-Abaúj-Zemplén,4736,3097,1315
2011,Abaújszolnok,26338,község,Borsod-Abaúj-Zemplén,866,184,70
2011,Abaújvár,2273,község,Borsod-Abaúj-Zemplén,736,201,159
2011,Abda,11882,község,Győr-Moson-Sopron,1901,3167,1113
2011,Abod,10357,község,Borsod-Abaúj-Zemplén,3117,229,127
2011,Abony,27872,város,Pest,12797,15072,6180
2011,Ábrahámhegy,4561,község,Veszprém,1488,443,235
2011,Ács,4428,város,Komárom-Esztergom,10384,7005,2680
2011,Acsa,18573,község,Pest,2694,1464,477
2011,Acsád,7214,község,Vas,1434,662,186
2011,Acsalag,33385,község,Győr-Moson-Sopron,1041,450,225
2011,Ácsteszér,18139,község,Komárom-Esztergom,1772,672,287
2011,Adács,23241,község,Heves,3794,2718,1229
2011,Ádánd,6080,község,Somogy,2952,2252,868
2011,Adásztevel,7302,község,Veszprém,837,753,322
2011,Adony,8925,város,Fejér,6105,3851,1476
2011,Adorjánháza,31307,község,Veszprém,1142,358,205
2011,Adorjás,6868,község,Baranya,810,187,65
2011,Ág,25812,község,Baranya,1203,180,66
2011,Ágasegyháza,17686,község,Bács-Kiskun,5587,1936,901
2011,Ágfalva,4880,község,Győr-Moson-Sopron,1307,2164,650
2011,Aggtelek,9362,község,Borsod-Abaúj-Zemplén,4382,521,248
2011,Agyagosszergény,29407,község,Győr-Moson-Sopron,1989,876,377
2011,Ajak,8776,nagyközség,Szabolcs-Szatmár-Bereg,2476,3584,1298
2011,Ajka,6673,város,Veszprém,9505,29131,12610
2011,Aka,6682,község,Komárom-Esztergom,1809,266,133
2011,Akasztó,21944,község,Bács-Kiskun,6488,3247,1554
2011,Alacska,33093,község,Borsod-Abaúj-Zemplén,856,755,280
2011,Alap,26824,község,Fejér,4829,1953,903
2011,Alattyán,25265,község,Jász-Nagykun-Szolnok,3429,2162,917
2011,Albertirsa,31653,város,Pest,7296,12394,4898
2011,Alcsútdoboz,15176,község,Fejér,5071,1447,607
2011,Aldebrő,6345,község,Heves,2178,666,354
2011,Algyő,34245,nagyközség,Csongrád,7577,5204,2032
2011,Alibánfa,2644,község,Zala,584,465,165
2011,Almamellék,13329,község,Baranya,4433,437,165
2011,Almásfüzitő,32346,község,Komárom-Esztergom,819,2250,1147
2011,Almásháza,23384,község,Zala,498,66,24
2011,Almáskamarás,29595,község,Békés,1475,831,465
2011,Almáskeresztúr,20376,község,Baranya,1303,91,54
2011,Álmosd,27641,község,Hajdú-Bihar,3413,1550,731
2011,Alsóberecki,20482,község,Borsod-Abaúj-Zemplén,686,735,288
2011,Alsóbogát,34184,község,Somogy,1201,259,96
2011,Alsódobsza,19664,község,Borsod-Abaúj-Zemplén,1068,316,164
2011,Alsógagy,14429,község,Borsod-Abaúj-Zemplén,628,96,56
2011,Alsómocsolád,17385,község,Baranya,1300,337,140
2011,Alsónána,29665,község,Tolna,1314,687,280
2011,Alsónémedi,23199,nagyközség,Pest,4907,5186,2075
2011,Alsónemesapáti,19512,község,Zala,1451,721,289
2011,Alsónyék,11563,község,Tolna,3204,754,307
2011,Alsóörs,30526,község,Veszprém,3334,1401,683
2011,Alsópáhok,32081,község,Zala,1802,1315,599
2011,Alsópetény,16425,község,Nógrád,1968,703,315
2011,Alsórajk,18829,község,Zala,845,354,175
2011,Alsóregmec,23223,község,Borsod-Abaúj-Zemplén,1539,190,92
2011,Alsószenterzsébet,8767,község,Zala,963,72,40
2011,Alsószentiván,25283,község,Fejér,3965,614,289
2011,Alsószentmárton,33279,község,Baranya,1361,1186,311
2011,Alsószölnök,22549,község,Vas,1002,373,171
2011,Alsószuha,28839,község,Borsod-Abaúj-Zemplén,2242,467,187
