year,ksh_kod,telepules,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2012,17376,Aba,nagyközség,Fejér,8805.0,4619,1570
2012,12441,Abádszalók,város,Jász-Nagykun-Szolnok,13223.0,3922,2099
2012,12548,Abaliget,község,Baranya,1609.0,586,236
2012,24554,Abasár,község,Heves,2082.0,2498,1154
2012,15662,Abaújalpár,község,Borsod-Abaúj-Zemplén,848.0,76,61
2012,26718,Abaújkér,község,Borsod-Abaúj-Zemplén,1728.0,667,301
2012,02820,Abaújlak,község,Borsod-Abaúj-Zemplén,706.0,131,86
2012,03595,Abaújszántó,város,Borsod-Abaúj-Zemplén,4736.0,3088,1315
2012,26338,Abaújszolnok,község,Borsod-Abaúj-Zemplén,866.0,191,69
2012,02273,Abaújvár,község,Borsod-Abaúj-Zemplén,735.0,206,159
2012,11882,Abda,község,Győr-Moson-Sopron,1902.0,3201,1124
2012,10357,Abod,község,Borsod-Abaúj-Zemplén,3117.0,229,127
2012,27872,Abony,város,Pest,12797.0,14876,6186
2012,04561,Ábrahámhegy,község,Veszprém,1488.0,445,247
2012,04428,Ács,város,Komárom-Esztergom,10375.0,6965,2685
2012,18573,Acsa,község,Pest,2694.0,1443,480
2012,07214,Acsád,község,Vas,1434.0,672,189
2012,33385,Acsalag,község,Győr-Moson-Sopron,1041.0,452,225
2012,18139,Ácsteszér,község,Komárom-Esztergom,1772.0,666,286
2012,23241,Adács,község,Heves,3794.0,2690,1233
2012,06080,Ádánd,község,Somogy,2952.0,2199,869
2012,07302,Adásztevel,község,Veszprém,837.0,771,324
2012,08925,Adony,város,Fejér,6105.0,3912,1477
2012,31307,Adorjánháza,község,Veszprém,1142.0,338,205
2012,06868,Adorjás,község,Baranya,810.0,181,65
2012,25812,Ág,község,Baranya,1203.0,179,66
2012,17686,Ágasegyháza,község,Bács-Kiskun,5587.0,2018,902
2012,04880,Ágfalva,község,Győr-Moson-Sopron,1308.0,2178,662
2012,09362,Aggtelek,község,Borsod-Abaúj-Zemplén,4382.0,535,248
2012,29407,Agyagosszergény,község,Győr-Moson-Sopron,1989.0,882,379
2012,08776,Ajak,nagyközség,Szabolcs-Szatmár-Bereg,2476.0,3528,1300
2012,06673,Ajka,város,Veszprém,9505.0,29058,12619
2012,06682,Aka,község,Komárom-Esztergom,1809.0,278,133
2012,21944,Akasztó,község,Bács-Kiskun,6488.0,3230,1551
2012,33093,Alacska,község,Borsod-Abaúj-Zemplén,856.0,748,280
2012,26824,Alap,község,Fejér,4829.0,1925,903
2012,25265,Alattyán,község,Jász-Nagykun-Szolnok,3429.0,2101,913
2012,31653,Albertirsa,város,Pest,7296.0,12410,4914
2012,15176,Alcsútdoboz,község,Fejér,5071.0,1446,607
2012,06345,Aldebrő,község,Heves,2178.0,649,353
2012,34245,Algyő,nagyközség,Csongrád,7577.0,5251,2039
2012,02644,Alibánfa,község,Zala,584.0,453,165
2012,13329,Almamellék,község,Baranya,4433.0,428,165
2012,32346,Almásfüzitő,község,Komárom-Esztergom,819.0,2174,1147
2012,23384,Almásháza,község,Zala,498.0,69,24
2012,29595,Almáskamarás,község,Békés,1471.0,835,465
2012,20376,Almáskeresztúr,község,Baranya,1303.0,83,54
2012,27641,Álmosd,község,Hajdú-Bihar,3413.0,1555,730
2012,20482,Alsóberecki,község,Borsod-Abaúj-Zemplén,686.0,722,288
2012,34184,Alsóbogát,község,Somogy,1201.0,258,96
