year,ksh_kod,megye_kod,megye,telepules,telepules_tipus,ferfi,no,osszesen
2011,00000,AAA,Lakcím nélküli,LAKCÍM NÉLKÜLI,lakcím nélküli,200,194,394
2011,09566,BUD,Budapest,Budapest 01,fővárosi kerület,11681,14371,26052
2011,03179,BUD,Budapest,Budapest 02,fővárosi kerület,39645,47475,87120
2011,18069,BUD,Budapest,Budapest 03,fővárosi kerület,56820,67698,124518
2011,05467,BUD,Budapest,Budapest 04,fővárosi kerület,45922,53717,99639
2011,13392,BUD,Budapest,Budapest 05,fővárosi kerület,12224,14380,26604
2011,16586,BUD,Budapest,Budapest 06,fővárosi kerület,16766,20215,36981
2011,29744,BUD,Budapest,Budapest 07,fővárosi kerület,26012,30247,56259
2011,25405,BUD,Budapest,Budapest 08,fővárosi kerület,33816,37331,71147
2011,29586,BUD,Budapest,Budapest 09,fővárosi kerület,25541,29866,55407
2011,10700,BUD,Budapest,Budapest 10,fővárosi kerület,35339,40359,75698
2011,14216,BUD,Budapest,Budapest 11,fővárosi kerület,60213,73884,134097
2011,24697,BUD,Budapest,Budapest 12,fővárosi kerület,26819,32335,59154
2011,24299,BUD,Budapest,Budapest 13,fővárosi kerület,49809,59565,109374
2011,16337,BUD,Budapest,Budapest 14,fővárosi kerület,51214,64003,115217
2011,11314,BUD,Budapest,Budapest 15,fővárosi kerület,37657,43615,81272
2011,08208,BUD,Budapest,Budapest 16,fővárosi kerület,33835,38264,72099
2011,02112,BUD,Budapest,Budapest 17,fővárosi kerület,41049,45710,86759
2011,29285,BUD,Budapest,Budapest 18,fővárosi kerület,47069,53027,100096
2011,04011,BUD,Budapest,Budapest 19,fővárosi kerület,27689,32417,60106
2011,06026,BUD,Budapest,Budapest 20,fővárosi kerület,30261,34555,64816
2011,13189,BUD,Budapest,Budapest 21,fővárosi kerület,36108,40811,76919
2011,10214,BUD,Budapest,Budapest 22,fővárosi kerület,25551,28088,53639
2011,34139,BUD,Budapest,Budapest 23,fővárosi kerület,10704,11223,21927
2011,26684,BAC,Bács-Kiskun,Kecskemét,megyeszékhely,52603,59076,111679
2011,10719,BAC,Bács-Kiskun,Bácsalmás,város,3479,3742,7221
2011,03522,BAC,Bács-Kiskun,Baja,város,17601,19994,37595
2011,07612,BAC,Bács-Kiskun,Dunavecse,város,1991,2097,4088
2011,18759,BAC,Bács-Kiskun,Hajós,város,1508,1708,3216
2011,21999,BAC,Bács-Kiskun,Izsák,város,2920,3164,6084
2011,09469,BAC,Bács-Kiskun,Jánoshalma,város,4558,4895,9453
2011,06442,BAC,Bács-Kiskun,Kalocsa,város,8228,9277,17505
2011,19789,BAC,Bács-Kiskun,Kecel,város,4234,4736,8970
2011,22530,BAC,Bács-Kiskun,Kerekegyháza,város,3187,3292,6479
2011,09344,BAC,Bács-Kiskun,Kiskőrös,város,6921,7769,14690
2011,20297,BAC,Bács-Kiskun,Kiskunfélegyháza,város,14774,16456,31230
2011,32434,BAC,Bács-Kiskun,Kiskunhalas,város,14104,15563,29667
2011,24396,BAC,Bács-Kiskun,Kiskunmajsa,város,5722,6182,11904
2011,28130,BAC,Bács-Kiskun,Kunszentmiklós,város,4192,4442,8634
2011,17677,BAC,Bács-Kiskun,Lajosmizse,város,5786,5914,11700
2011,16018,BAC,Bács-Kiskun,Mélykút,város,2619,2893,5512
2011,29115,BAC,Bács-Kiskun,Solt,város,3296,3539,6835
2011,19983,BAC,Bács-Kiskun,Soltvadkert,város,3726,3944,7670
2011,25061,BAC,Bács-Kiskun,Szabadszállás,város,3139,3397,6536
2011,30623,BAC,Bács-Kiskun,Tiszakécske,város,5595,5991,11586
2011,28486,BAC,Bács-Kiskun,Tompa,város,2256,2461,4717
2011,10180,BAC,Bács-Kiskun,Bácsbokod,nagyközség,1437,1489,2926
2011,32823,BAC,Bács-Kiskun,Bugac,nagyközség,1374,1463,2837
2011,07861,BAC,Bács-Kiskun,Dunapataj,nagyközség,1656,1724,3380
2011,18458,BAC,Bács-Kiskun,Harta,nagyközség,1778,1891,3669
2011,06202,BAC,Bács-Kiskun,Lakitelek,nagyközség,2303,2343,4646
2011,21245,BAC,Bács-Kiskun,Sükösd,nagyközség,1890,1988,3878
2011,24545,BAC,Bács-Kiskun,Tiszaalpár,nagyközség,2450,2663,5113
2011,17686,BAC,Bács-Kiskun,Ágasegyháza,község,939,1004,1943
2011,21944,BAC,Bács-Kiskun,Akasztó,község,1704,1778,3482
2011,21148,BAC,Bács-Kiskun,Apostag,község,1049,1055,2104
2011,27234,BAC,Bács-Kiskun,Bácsborsód,község,613,655,1268
2011,08697,BAC,Bács-Kiskun,Bácsszentgyörgy,község,91,91,182
2011,30155,BAC,Bács-Kiskun,Bácsszőlős,község,172,193,365
2011,13408,BAC,Bács-Kiskun,Ballószög,község,1636,1759,3395
2011,25937,BAC,Bács-Kiskun,Balotaszállás,község,772,806,1578
2011,03656,BAC,Bács-Kiskun,Bátmonostor,község,789,836,1625
2011,11961,BAC,Bács-Kiskun,Bátya,község,1074,1095,2169
2011,08305,BAC,Bács-Kiskun,Bócsa,község,943,942,1885
2011,19327,BAC,Bács-Kiskun,Borota,község,665,744,1409
2011,33631,BAC,Bács-Kiskun,Bugacpusztaháza,község,152,151,303
2011,10472,BAC,Bács-Kiskun,Császártöltés,község,1190,1322,2512
2011,26471,BAC,Bács-Kiskun,Csátalja,község,761,795,1556
2011,16373,BAC,Bács-Kiskun,Csávoly,község,962,1006,1968
2011,12344,BAC,Bács-Kiskun,Csengőd,község,1058,1165,2223
2011,15699,BAC,Bács-Kiskun,Csikéria,község,437,475,912
2011,12025,BAC,Bács-Kiskun,Csólyospálos,község,841,870,1711
2011,10533,BAC,Bács-Kiskun,Dávod,község,1014,1157,2171
2011,07524,BAC,Bács-Kiskun,Drágszél,község,188,193,381
2011,21069,BAC,Bács-Kiskun,Dunaegyháza,község,768,750,1518
2011,12566,BAC,Bács-Kiskun,Dunafalva,község,467,480,947
2011,11606,BAC,Bács-Kiskun,Dunaszentbenedek,község,442,460,902
2011,14766,BAC,Bács-Kiskun,Dunatetétlen,község,304,321,625
2011,04109,BAC,Bács-Kiskun,Dusnok,község,1570,1624,3194
2011,11864,BAC,Bács-Kiskun,Érsekcsanád,község,1465,1499,2964
2011,33589,BAC,Bács-Kiskun,Érsekhalma,község,326,341,667
2011,03230,BAC,Bács-Kiskun,Fajsz,község,891,913,1804
2011,33598,BAC,Bács-Kiskun,Felsőlajos,község,494,495,989
2011,02954,BAC,Bács-Kiskun,Felsőszentiván,község,918,1024,1942
2011,02149,BAC,Bács-Kiskun,Foktő,község,814,861,1675
2011,31468,BAC,Bács-Kiskun,Fülöpháza,község,443,457,900
2011,33622,BAC,Bács-Kiskun,Fülöpjakab,község,603,540,1143
2011,14058,BAC,Bács-Kiskun,Fülöpszállás,község,1173,1245,2418
2011,31848,BAC,Bács-Kiskun,Gara,község,1144,1258,2402
2011,26383,BAC,Bács-Kiskun,Gátér,község,478,516,994
2011,03577,BAC,Bács-Kiskun,Géderlak,község,519,554,1073
2011,08350,BAC,Bács-Kiskun,Harkakötöny,község,435,478,913
2011,04093,BAC,Bács-Kiskun,Helvécia,község,2244,2318,4562
2011,12937,BAC,Bács-Kiskun,Hercegszántó,község,985,1087,2072
2011,27845,BAC,Bács-Kiskun,Homokmégy,község,698,757,1455
2011,08095,BAC,Bács-Kiskun,Imrehegy,község,365,363,728
2011,17923,BAC,Bács-Kiskun,Jakabszállás,község,1349,1401,2750
2011,08378,BAC,Bács-Kiskun,Jászszentlászló,község,1225,1334,2559
2011,30605,BAC,Bács-Kiskun,Kaskantyú,község,550,481,1031
2011,11280,BAC,Bács-Kiskun,Katymár,község,1056,1154,2210
2011,27571,BAC,Bács-Kiskun,Kelebia,község,1304,1463,2767
2011,18166,BAC,Bács-Kiskun,Kéleshalom,község,220,236,456
2011,28158,BAC,Bács-Kiskun,Kisszállás,község,1253,1323,2576
2011,13806,BAC,Bács-Kiskun,Kömpöc,község,333,387,720
2011,05856,BAC,Bács-Kiskun,Kunadacs,község,807,782,1589
2011,06044,BAC,Bács-Kiskun,Kunbaja,község,804,854,1658
2011,07728,BAC,Bács-Kiskun,Kunbaracs,község,332,322,654
2011,29027,BAC,Bács-Kiskun,Kunfehértó,község,1053,1154,2207
2011,31918,BAC,Bács-Kiskun,Kunpeszér,község,349,353,702
2011,31893,BAC,Bács-Kiskun,Kunszállás,község,807,900,1707
2011,05786,BAC,Bács-Kiskun,Ladánybene,község,890,823,1713
2011,23357,BAC,Bács-Kiskun,Madaras,község,1452,1611,3063
2011,27809,BAC,Bács-Kiskun,Mátételke,község,263,290,553
2011,30632,BAC,Bács-Kiskun,Miske,község,890,966,1856
2011,34096,BAC,Bács-Kiskun,Móricgát,község,240,268,508
2011,25955,BAC,Bács-Kiskun,Nagybaracska,község,1138,1243,2381
2011,32540,BAC,Bács-Kiskun,Nemesnádudvar,község,940,1020,1960
2011,23056,BAC,Bács-Kiskun,Nyárlőrinc,község,1136,1206,2342
2011,16276,BAC,Bács-Kiskun,Ordas,község,212,254,466
2011,16939,BAC,Bács-Kiskun,Orgovány,község,1608,1771,3379
2011,08679,BAC,Bács-Kiskun,Öregcsertő,község,454,437,891
2011,18670,BAC,Bács-Kiskun,Páhi,község,616,634,1250
2011,02705,BAC,Bács-Kiskun,Pálmonostora,község,923,969,1892
2011,15431,BAC,Bács-Kiskun,Petőfiszállás,község,795,787,1582
2011,15398,BAC,Bács-Kiskun,Pirtó,község,516,488,1004
