meret_kategoria,year,n_telepules,nepesseg,pct_telepulesallomanybol,pct_nepessegbol
10000 felett,1910,146,4340889,1.2,23.7
5000-10000,1910,271,1839778,2.1,10.1
2000-5000,1910,1391,4140070,11.1,22.6
1000-2000,1910,2768,3821520,22.0,21.0
500-1000,1910,3982,2856170,31.8,15.6
500 alatt,1910,3984,1266106,31.8,7.0
együtt,1910,12542,18264533,100.0,100.0
10000 felett,1920,95,3210805,2.7,40.2
5000-10000,1920,130,896666,3.7,11.2
2000-5000,1920,561,1696598,16.2,21.3
1000-2000,1920,828,1170751,23.9,14.7
500-1000,1920,1016,726413,29.3,9.1
500 alatt,1920,838,278910,24.2,3.5
együtt,1920,3468,7980143,100.0,100.0
