tipus,meret_kategoria,year,n_telepules,nepesseg,orszag_pct
város,Budapest,1949,1,1590316,17.3
város,100000 felett,1949,3,335518,3.6
város,50000-100000,1949,4,277062,3.0
város,25000-50000,1949,22,768578,8.3
város,10000-25000,1949,22,407884,4.4
város,5000-10000,1949,2,18063,0.2
város,5000 alatt,1949,,,,
város,együtt,1949,54,3397421,36.8
község,20000 felett,1949,3,75794,0.8
község,10000-20000,1949,50,644073,7.0
község,5000-10000,1949,150,1030100,11.2
község,2000-5000,1949,644,1979036,21.5
község,1000-2000,1949,860,1213392,13.2
község,500-1000,1949,901,663458,7.2
község,500 alatt,1949,603,209011,2.3
község,együtt,1949,3211,5814864,63.2
város,Budapest,1994,1,1995696,19.4
város,100000 felett,1994,8,1220225,11.9
város,50000-100000,1994,12,788613,7.7
város,25000-50000,1994,26,867706,8.4
város,10000-25000,1994,78,1219577,11.9
város,5000-10000,1994,56,417578,4.1
város,5000 alatt,1994,19,74197,0.7
város,együtt,1994,200,6583592,64.1
község,20000 felett,1990,,,,
község,10000-20000,1990,16,211600,2.0
község,5000-10000,1990,92,604566,5.8
község,2000-5000,1990,481,1424010,13.7
község,1000-2000,1990,652,932296,9.0
község,500-1000,1990,713,519349,5.0
község,500 alatt,1990,950,265729,2.6
község,együtt,1990,2904,3957550,38.1
