8.1.2.11. Agglomerációkban, agglomerálódó térségekben, településegyüttesekben élõk száma, 2025. január 1.;;;
Megnevezés;Települések száma;Lakónépesség, fõ;A központ lakónépessége, fõ
Agglomerációk;;;
Budapesti agglomeráció;81;2 596 842;1 685 209
        Északi szektor;10;142 384;–
        Keleti szektor;11;149 183;–
        Délkeleti szektor;9;114 396;–
        Déli szektor;15;245 974;–
        Nyugati szektor;12;105 902;–
        Északnyugati szektor;23;153 794;–
Gyõri agglomeráció;78;248 617;129 373
Miskolci agglomeráció;41;234 171;141 440
Pécsi agglomeráció;49;188 170;139 412
Agglomerálódó térségek;;;
Balatoni agglomerálódó térség;53;150 098;–
Egri agglomerálódó térség;19;74 844;48 686
Szombathelyi agglomerálódó térség;63;121 813;76 918
Zalaegerszegi agglomerálódó térség;67;86 923;53 960
Nagyvárosi településegyüttesek;;;
Békéscsabai nagyvárosi településegyüttes;11;122 659;53 944
Debreceni nagyvárosi településegyüttes;13;268 538;202 130
Kaposvári nagyvárosi településegyüttes;30;78 576;58 459
Kecskeméti nagyvárosi településegyüttes;13;143 961;108 651
Nyíregyházi nagyvárosi településegyüttes;11;146 028;114 873
Salgótarjáni nagyvárosi településegyüttes;12;43 556;30 416
Soproni nagyvárosi településegyüttes;15;80 421;60 820
Szegedi nagyvárosi településegyüttes;16;204 442;157 282
Szekszárdi nagyvárosi településegyüttes;10;42 728;29 337
Székesfehérvári nagyvárosi településegyüttes;43;181 905;95 241
Szolnoki nagyvárosi településegyüttes;13;98 570;65 564
Tatabányai nagyvárosi településegyüttes;11;85 278;64 785
Veszprémi nagyvárosi településegyüttes;27;93 615;55 118
Dunaújvárosi nagyvárosi településegyüttes;9;66 957;41 193
Nagykanizsai nagyvárosi településegyüttes;27;55 331;42 042
Bajai nagyvárosi településegyüttes;3;36 851;32 401
Esztergomi nagyvárosi településegyüttes;2;30 687;28 521
