STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ppp,Purchasing power parities indicator,ppp_cat18,Analytical categories for purchasing power parities (PPPs) calculation (based on COICOP18),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2004,,4715,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2005,,5287,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2006,,5843,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2007,,6868,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2008,,7889,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2009,,7589,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2010,,7453,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2011,,7684,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2012,,7920,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,EXP_EUR,Nominal expenditure (in euro),A01,Actual individual consumption,AL,Albania,2013,,7997,,,,,
