"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26301.875535555","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100.38128850912","1102.18033505448","1128.43508710946","1133.4838255399","1123.467781227","1115.64433283061","1111.6502974045","1117.07490197591","1135.23654449471","1151.63515578175","1201.99460247521","1265.85048185964","1344.45916494024","1379.50021411729","1397.94355196707","1337.04998326594","1397.85226786186","1449.83166326256","1467.18122048378","1469.93866697474","1469.37617813722","1451.9879295054","1468.00066776764","1488.37877088729","1500.87951711062","1483.48976912917","1415.67877571427","1490.84524720652","1494.79119416244","1486.38392559617","1519.53705962662","",
"Afghanistan","AFG","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568.977113896441","","","","","","","","","","",
"Africa Western and Central","AFW","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1808.16765496922","","","","","","","","","","",
"Angola","AGO","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2886.42587933736","2907.07568964465","3273.48116966739","3912.59571880173","4424.07596950102","4438.27557533544","4489.79947247293","3748.10446982308","4288.5015589618","4675.19888873341","4730.95894765724","4612.10192994607","4168.15566812226","3478.32710169045","3385.3160000713","3448.36209366714","3633.14734788804","3222.6161521468","2899.73670169573","3320.83555802837","3380.36575841619","3133.42167290735","3240.53033158937","",
"Albania","ALB","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1514.51356223034","1633.93805414075","1438.14385915705","1587.00822292082","1848.11933199095","2021.48786713389","2235.92605391797","2317.1820328012","2460.87429159186","2629.93211273549","2740.64695770939","2949.17550875083","3187.97925755162","3399.08175457867","3458.78706040149","3553.37034274886","3632.93354095283","3700.07922620395","3907.23093720098","4054.80950987053","4249.00917253109","4517.64399359406","4706.18123924809","4948.12657280259","5069.67338873294","4919.65476884569","5466.2382219057","5915.34402667898","6372.26452904455","6816.67297750756","",
"Andorra","AND","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4653.43159270828","4695.6808224467","4891.19997267075","5345.86783799093","5868.26507100012","6393.81718502573","6604.32068594441","7240.82265072431","6165.94030918003","6559.65913882614","7219.2514127032","7587.39379103794","7471.36499506545","7210.02687357959","6322.94155630103","6241.09409097292","6431.70826667218","6744.90888060979","6688.76063129792","5730.79558290007","6430.7789899102","7318.19523106231","7016.28415860907","6884.87663533918","",
"United Arab Emirates","ARE","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57295.6614659035","53489.3573598351","54322.3697662463","57178.4520333821","61318.835346161","66746.6483171226","63503.3892985486","61711.2416369391","48198.4596316516","44725.6866199798","50899.6653839835","51807.0096060259","52043.9035665084","51536.969593189","45115.2301791216","44070.7926584959","44065.5936578154","45400.0880280656","45149.3577507982","36235.336488822","40515.9994470352","48325.3461988581","50109.6051510115","","",
"Argentina","ARG","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","7379.36362268055","7806.68157811389","7111.35788465385","6785.12693924628","7508.14684813078","8276.28615225567","8043.51735327437","7958.59629110737","8044.47835710593","8684.75571635527","8490.34940260773","9257.09372788481","9077.2759624733","9410.57597992492","9677.77431084913","9610.10866113509","9173.47266742288","9469.22054962183","8842.22035953062","9670.35211006015","9928.3292548316","9096.54708659418","8358.97884290855","8626.60016759833","8679.30068160487","8077.07371542063","8426.59338113852","8485.13376624476","8322.81391525697","7350.219633523","7090.44417612763","7868.09316211453","8752.58247642809","9457.01933618229","9907.68753835168","9263.19470053544","9758.63887693581","10517.5955230884","10704.5060875946","10058.7301269511","9912.04193834184","9193.23652419676","8138.86596613381","8799.61782980968","8756.95282212451","9321.55630165348","10962.3066540331","12007.1963709233","12635.8567655818","11606.057673826","12779.0276924351","13838.5866802587","13621.4025554858","13774.0238983958","13183.2877346988","13423.5409757814","13046.6047308142","13448.6100766561","12803.6852644341","12168.2266544902","11024.91422202","12480.2602373703","13311.5452794829","13042.7892897262","12505.2907557563","",
"Armenia","ARM","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1098.24724004295","1088.2919461476","1172.40344290822","1281.17260591026","1331.50319837375","1390.88532201342","1459.84467923691","1619.97072283851","1853.38313103451","2142.16747233213","2368.88610129664","2729.69376403495","3121.6451109032","3583.41438201901","3836.81260395528","3140.62898091075","3350.51885412261","3318.1208869998","3482.63556681174","3583.79819178352","3616.88062859513","3654.9773800098","3588.26963522889","3918.25178467539","4084.34600955272","4352.5668658314","4025.49291062165","4225.37194430391","4763.01180477601","5075.44422538088","5100.32060529785","",
"American Samoa","ASM","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15132.124821306","","","","","","","","","","",
"Australia","AUS","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","18345.6005787826","18343.9951862179","18210.4774846017","18978.5741802826","20210.0765294959","20904.0171440824","20905.1311234496","21935.2119442825","22451.4120165995","23613.1055773625","24875.2832668104","24816.6651236569","25150.5998324752","26033.6017922651","26740.4261516992","26454.8910650812","26564.044095713","27086.3768147351","26661.0611334391","27446.8925551972","28029.9485862311","28544.9960214025","28932.9392085095","27929.8574746691","28744.0799985397","29640.1504173069","29935.8897954134","29946.6399202194","31549.2224731206","32750.645767295","33232.8969017047","32374.5331732566","32199.5602590401","33133.7448294108","33961.4577974168","34882.8990543372","35976.0077642221","37271.9512659817","38670.0941003602","39811.7032658994","41316.1902437495","41796.9554391408","43128.7348489098","44038.1501255778","46014.6194862472","47233.2563685336","48731.6491573119","50069.2085929167","51629.2532197242","52629.3675334886","52310.8015861936","54843.8508410345","56651.5176291511","56284.1932783045","56382.1888239211","55811.5215370175","55103.320204388","56797.7029048309","57536.3122065337","58538.5869144339","58481.1774715228","61512.1715959845","63198.026118064","63524.1812748848","62638.4248573921","",
"Austria","AUT","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34506.5556522778","35194.4423273885","35740.430103547","36862.7628686235","37688.9466063468","38927.986388399","39056.7946849324","39869.6402628461","40214.6593682353","41023.6378272938","41520.4502510977","42864.6078142428","44102.3745377941","44760.3136146307","42926.8801396082","43564.6064501311","44042.8436235097","43842.0782617354","43548.6440494648","43593.0611965951","43467.2685742695","44515.1726734192","44488.7154782912","45193.6655615341","45898.8075457712","43585.1105303723","45539.5344926707","45566.1521208587","45053.7363228603","44384.8456436488","",
"Azerbaijan","AZE","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5324.6250927696","","","","","","","","","","",
"Burundi","BDI","GNI per capita (constant 2015 US$)","NY.GNP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254.434840815924","","","","","","","","","","",
