"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21490","22880","23630","24130","25340","25930","25640","26790","27310","27020","29820","30960","29680","31660","33900","27980","34400","32340","37310","33150","31800","32030","32580","33740","34340","34460","34480","35450","36710","36780","28060","33830","40190","42740","47960","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1763.90540504631","1777.09778959394","1691.71819003274","1710.842614946","1723.12269981755","1825.23629870221","1913.9069543197","1989.8715825713","1991.37382909442","2011.03057432256","2077.9680243653","2144.37487688908","2210.28031874163","2269.94341913622","2397.26661062436","2553.55902234603","2728.94345139995","2895.13629972486","2982.99628901466","2972.2117985922","3061.79656514787","3175.81214380682","3131.02998531196","3246.8083761824","3398.54836890766","3434.11381809109","3546.31359583283","3730.84571495566","3613.53854233323","3691.03084875139","3623.44752484133","3929.13670392243","4262.64606402437","4404.62360431695","4520.01720317723","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","750","940","980","980","1090","1140","1300","1330","1570","1770","1740","1990","2140","2230","2300","2240","2360","2460","2620","2580","2160","2130","2210","","",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3767.73354307574","3916.34986321117","4114.00601862279","4283.26039082377","4429.18944227657","4616.3056015382","4958.85276843852","4942.72029575228","4874.68811382482","4905.95645730689","5052.56497412727","5363.81604546997","5342.41351527049","5562.97505282764","6046.85705603338","6310.64047639604","6597.66479829332","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3420","3740","2030","1800","1570","2690","2800","3220","3220","3040","3200","3320","3840","3960","4330","4890","5380","6030","6300","6620","6780","6960","7650","7960","8530","7710","7410","7580","7710","7890","7250","8250","9000","9020","9460","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2650","1960","1820","2190","2400","2820","3120","2820","3180","3630","4090","4590","4960","5300","5720","6130","6950","7790","8510","8890","9660","10280","10530","11070","11900","12530","13270","14140","15040","16230","16020","17960","21750","24510","26500","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63070","58900","63830","71420","74250","76090","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7029.75863821803","7245.72413355925","7653.30452762614","7820.17203589137","7946.97575919974","8176.4001726423","8483.39205637023","8901.17746710143","9288.3871221084","9310.56496777936","9942.53500877707","10136.9118626277","10063.2336896575","10369.5342632021","11433.5881212472","12150.4823001233","13084.0155075617","13765.6541243432","14374.2566485682","14142.2772379146","14624.3792237842","15151.2231478668","16076.2038342097","16004.0531624054","15822.2888873758","14375.6517183421","13904.7128177898","14495.4787552619","15480.986266815","15636.5666084868","14191.1934863591","15917.7483672972","17796.0217950808","18406.1821585198","18745.7986064213","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94250","89810","89610","87790","91050","96380","96300","99120","95290","87590","97430","94800","89210","92600","99130","102920","109090","104090","95770","85650","85100","89700","89270","87630","87610","74320","70370","70770","77700","80200","66440","68460","75080","80140","81530","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6840","7710","8510","9350","9960","9710","10280","11160","11540","11160","11190","10800","9450","10490","10770","11930","14350","16020","16850","15680","17240","18560","18970","19500","19090","19530","19660","22790","23540","22590","21790","25770","29260","29570","29800","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2660","2470","1250","1440","1590","1810","1980","2160","2310","2450","2610","2930","3400","3960","4560","5390","6360","7520","8290","7090","7450","7890","9300","10040","10170","10150","10820","12490","13080","15180","14470","15460","18680","20980","22020","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11770","12790","13120","14120","15070","14410","15400","16330","17030","17580","18360","17470","17760","18990","20400","22360","25640","28380","28580","24870","22820","22500","21550","20610","20720","19750","19930","20360","23390","25450","22380","24820","28450","30270","31730","",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16780","17120","17560","18710","19730","20330","21350","22370","23620","24740","25820","26910","28290","29320","30910","31870","33540","35080","36080","39020","37970","40460","41700","44980","45880","45520","46320","47240","48780","51080","52890","57560","63510","69080","69600","",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19480","20520","21260","21710","22590","23510","24410","25180","26370","27060","28970","29150","30770","31880","33470","34700","37480","39150","41390","40670","42090","44320","46200","47650","48410","49040","52380","53360","56050","60220","59170","64010","72390","73570","74160","",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5350","5420","4220","3280","2650","2350","2400","2560","2840","3180","3380","3740","4100","4560","4940","6070","8270","10220","11860","13190","14040","13790","15090","16410","17060","14590","13660","13770","14550","16030","15070","19690","21040","22660","24220","",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","630","630","630","610","540","510","510","530","520","530","520","540","520","540","540","580","590","610","600","610","620","640","690","720","720","760","790","820","870","960","1040","1110","1150","1200","",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18750","19740","20410","20810","22050","22940","23270","24310","24960","26030","28510","29330","30810","31520","32500","33590","35760","37310","38800","38650","40450","41310","43440","44870","46060","46720","48850","50700","53000","57190","56620","61450","69930","72940","74770","",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1170","1230","1230","1290","1300","1370","1420","1490","1530","1590","1670","1740","1790","1830","1900","1940","2010","2120","2210","2210","2210","2260","2330","2500","2660","2710","2830","2880","2950","3130","3220","3430","3820","4090","4390","",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","620","620","640","640","680","760","790","840","890","900","940","960","1030","1070","1160","1240","1290","1350","1340","1410","1470","1530","1600","1590","1610","1800","1970","2010","2140","2280","2340","2470","2610","2720","",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","1000","1060","1120","1170","1230","1290","1350","1410","1470","1550","1640","1710","1800","1930","2090","2300","2520","2720","2850","3030","3250","3680","3940","4190","4440","4790","5050","5710","6290","6920","7830","8790","9510","10060","",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6480","6800","6910","7190","7570","6630","5570","6060","5730","6270","6970","7950","8550","9310","10320","11120","11880","13650","13730","14640","15250","16110","16520","17790","18280","20050","21770","23130","25930","26360","29720","34350","36930","39850","",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24900","28990","29790","32060","31610","33810","35130","34690","36210","36750","44560","44510","42620","43400","44290","46050","47010","48670","48520","43540","44890","46050","54930","54320","51750","45470","44920","47500","49270","53440","49770","51550","59070","60550","62230","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19180","18640","18340","18320","18960","21970","24110","21080","21900","23780","24980","25720","26610","26570","27230","28600","29750","30550","30450","28750","28930","29370","30230","29430","30480","30790","30770","32780","32930","34420","25810","29230","34800","37180","39550","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","840","840","920","1130","1350","2120","2890","4090","4360","4590","4700","5020","5230","5680","6200","7080","7910","8900","9030","9230","9840","10200","10950","11260","11930","12920","13510","14770","16400","16280","18050","21370","23260","24990","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220","5330","4920","4650","4180","3840","4040","4590","5060","5340","5770","6220","6680","7370","8480","9650","10960","12210","13710","13730","15030","16380","17710","18350","18470","17360","16990","17720","19300","21640","23860","26600","27240","29830","32300","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400","4970","5580","5930","5870","5920","5900","6080","6110","6520","7190","7400","7710","8240","8470","8730","9130","9270","9030","9210","8980","9210","8720","8970","8880","9120","8930","8620","8850","9780","9360","11340","12830","13230","13760","",
