"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33829.2315790349","","","","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2962.54924078134","2844.38419776306","2812.51811568601","2816.00420020722","2824.76152177874","2893.25597241262","2909.99424021342","2894.69168130246","2878.62447016415","2864.50816164369","2884.30258553352","2927.28842188689","2972.75069953859","3101.84888402203","3267.05789359385","3472.61654309189","3565.32895532532","3612.01003618089","3454.79717979468","3616.38271499836","3753.66371831988","3811.26892970355","3854.11912802794","3855.77814067099","3841.38578359526","3900.8862143486","3967.54972395215","4006.10435740982","3961.21757923101","3810.81166321295","3988.70821330755","4003.01879237843","3936.49325473969","4004.05408631475","",
"Afghanistan","AFG","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2817.99602169091","2157.11181691798","1979.53034931513","2050.8664396012","","",
"Africa Western and Central","AFW","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7174.93405109844","7226.26432366256","8137.05686260964","9725.73605716742","10997.1482536411","11032.4449283774","11160.5204721367","9316.85188250241","10660.144119359","11621.3771302978","11759.98271457","11464.5338448475","10360.9942827824","8646.25270353618","8415.05032799114","8571.76717527542","9031.09717995056","8010.61912906841","7208.02143202545","8254.76804859657","8402.74526321652","7788.90392382225","8055.14930633714","",
"Albania","ALB","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4976.22676406961","5368.61899333088","4725.29935749182","5214.42197062087","6072.35294050747","6641.98874050342","7346.56681159185","7613.54902089207","8085.67768438894","8641.14980113337","9004.92480353586","9690.08562523027","10474.7214553596","11168.3394736234","11364.5127851089","11675.2844234675","11936.7046749669","12157.3247898151","12837.9617376733","13322.8596358736","13960.9401278579","14843.5917063396","15463.0672338257","16258.0253473091","16657.3908819626","16164.4757374509","17960.3812187523","19436.0050634941","20937.3056062077","22397.4953797239","",
"Andorra","AND","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63827.8799764936","","","","",
"Arab World","ARB","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11781.8654916574","11651.1067694223","11758.142267722","12219.5074135405","13231.2503804237","14396.0454950284","15584.7667253764","16080.7552181896","17522.217656077","15194.1420655796","16194.3039124135","17765.8089953222","18464.3891988111","18199.5840859193","17650.4838619468","15859.3416870588","15740.8133942022","16190.8289940439","16949.9793406085","16845.9413012286","14883.9239668042","16425.2786003657","18380.3212823902","17610.8057224031","17254.1837207148","",
"United Arab Emirates","ARE","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96813.7676346489","90382.1699910645","91789.7297868278","96615.7162207304","103611.815012614","112783.312649441","107303.104951864","104274.872746512","81442.0211188872","75573.9984658988","86006.3092228872","87539.4691590846","87939.7542113455","87083.1764767773","76232.2189777743","74467.4094120284","74458.6245436641","76713.5496909729","76289.8851030917","61227.6629196396","68460.7953829994","81656.4242049009","84671.3266804858","","",
"Argentina","ARG","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14642.2677467754","16248.1677980254","18074.7006692586","19529.4125117051","20460.074162401","19129.1509567778","20152.2781550511","21719.5772050282","22105.5607149775","20771.9877701387","20469.0663057631","18984.6823842057","16807.3327525065","18171.8319942743","18083.7257416297","19249.6717829029","22637.9370831282","24795.7081085415","26093.9362014127","23967.3283821675","26389.5942719744","28577.6583773868","28129.1578284396","28444.3316752748","27224.4197964567","27720.5596990605","26942.1597448156","27772.3291620252","26440.5138987603","25128.2470114307","22767.2261305656","25772.618386908","27489.2806802919","26934.2805896323","25824.3081743097","",
