22.1.1.28. A bevándorló külföldi állampolgárok az állampolgárság országa szerint;;;;;;;;;;;;;;;;;;;;;;;;
Ország;A bevándorlás éve 2000;A bevándorlás éve 2001;A bevándorlás éve 2002;A bevándorlás éve 2003;A bevándorlás éve 2004;A bevándorlás éve 2005;A bevándorlás éve 2006;A bevándorlás éve 2007;A bevándorlás éve 2008;A bevándorlás éve 2009;A bevándorlás éve 2010;A bevándorlás éve 2011;A bevándorlás éve 2012;A bevándorlás éve 2013;A bevándorlás éve 2014;A bevándorlás éve 2015;A bevándorlás éve 2016;A bevándorlás éve 2017;A bevándorlás éve 2018;A bevándorlás éve 2019;A bevándorlás éve 2020;A bevándorlás éve 2021;A bevándorlás éve 2022;A bevándorlás éve 2023
Európa;;;;;;;;;;;;;;;;;;;;;;;;
Ausztria;156;124;84;93;24;793;381;308;659;670;585;541;455;450;472;394;385;456;351;377;1 670;969;595;285
Belgium;47;42;46;44;2;146;10;9;127;124;165;117;132;142;147;139;193;178;191;196;217;245;151;96
Dánia;22;27;15;23;2;100;16;5;45;50;57;36;36;39;32;33;22;41;45;27;36;18;31;28
Finnország;132;82;61;56;11;178;5;6;73;56;63;56;62;65;65;97;74;80;76;56;70;59;60;63
Franciaország;188;221;235;245;21;650;64;44;376;387;344;328;315;310;397;376;378;414;434;359;554;519;407;366
Görögország;66;43;31;36;7;88;19;27;50;44;39;63;64;71;62;92;97;96;114;109;109;104;86;60
Hollandia;88;102;69;75;15;425;42;49;320;382;328;320;313;316;361;363;328;445;503;470;475;603;604;457
Írország;22;20;17;24;6;83;7;10;72;77;55;59;57;71;69;78;78;91;118;80;91;101;104;60
Luxemburg;1;–;1;–;–;3;2;2;5;4;1;2;8;3;2;7;10;4;8;4;7;6;8;9
Németország;785;753;337;392;57;3 857;722;711;3 201;2 694;2 420;2 428;2 073;1 991;1 952;1 968;2 282;2 503;2 525;2 616;3 672;4 036;3 798;2 480
