STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhtyp,Type of household,indic_il,Income and living conditions indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2004,,16864,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2005,,17758,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2006,,17854,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2007,,18156,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2008,,19413,,b,break in time series,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2009,,20469,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2010,,21058,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2011,,21463,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2012,,21807,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2013,,22073,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2014,,23211,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2015,,23260,,,,,
