STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1985,,27566.70164,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1986,,25920.21752,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1987,,25268.0829,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1988,,25123.8865,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1989,,24951.82905,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1990,,24926.83652,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1991,,26002.4891,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1992,,26990.62191,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1993,,26828.28673,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1994,,26740.77755,,2024,,A,Normal value,0,Units,0,Zero
