DATAFLOW,LAST UPDATE,freq,sizeclas,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Albania,2018,1.73,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Albania,2022,2.47,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Austria,2006,11.65,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Austria,2010,12.96,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Austria,2014,14.02,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Austria,2018,15.27,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Austria,2022,17.65,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Bosnia and Herzegovina,2022,4.83,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Belgium,2006,14.27,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Belgium,2010,16.42,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Belgium,2014,17.32,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Belgium,2018,17.97,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Belgium,2022,23.84,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Bulgaria,2006,0.8,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Bulgaria,2010,1.52,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Bulgaria,2014,1.67,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Bulgaria,2018,2.4,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Bulgaria,2022,4.05,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Switzerland,2010,23.95,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Switzerland,2014,29.46,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Switzerland,2018,31.44,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Switzerland,2022,37.64,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Cyprus,2006,8.81,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Cyprus,2010,9.19,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Cyprus,2014,8.35,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Cyprus,2018,8.39,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Cyprus,2022,9.31,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Czechia,2006,3.56,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Czechia,2010,4.59,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Czechia,2014,4.56,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Czechia,2018,6.17,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Czechia,2022,8.23,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Germany,2006,14.83,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Germany,2010,15.39,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Germany,2014,15.67,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Germany,2018,17.23,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Germany,2022,19.39,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Denmark,2006,20.95,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Denmark,2010,24.71,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Denmark,2014,25.52,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Denmark,2018,27.24,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Denmark,2022,29.83,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area - 17 countries (2011-2013),2006,12.22,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area - 17 countries (2011-2013),2010,13.29,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area - 17 countries (2011-2013),2014,14.25,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area - 17 countries (2011-2013),2018,14.68,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area - 18 countries (2014),2018,14.61,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area - 19 countries  (2015-2022),2014,14.08,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area - 19 countries  (2015-2022),2018,14.51,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area - 19 countries  (2015-2022),2022,16.26,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Euro area – 20 countries (from 2023),2022,16.15,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Estonia,2006,2.91,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Estonia,2010,4.09,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Estonia,2014,4.91,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Estonia,2018,6.52,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Estonia,2022,9.38,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Greece,2006,7.67,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Greece,2010,9.06,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Greece,2014,8,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Greece,2018,7,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Greece,2022,8.00,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Spain,2006,8.07,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Spain,2010,9.41,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Spain,2014,9.83,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Spain,2018,10.05,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Spain,2022,11.02,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (2007-2013),2006,11.43,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (2007-2013),2010,12.07,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (2007-2013),2014,13.11,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (2007-2013),2018,13.61,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (from 2020),2006,10.7,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (from 2020),2010,11.82,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (from 2020),2014,12.69,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (from 2020),2018,13.18,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 27 countries (from 2020),2022,14.91,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 28 countries (2013-2020),2010,12.06,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,European Union - 28 countries (2013-2020),2014,13.14,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Finland,2006,13.72,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Finland,2010,15.96,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Finland,2014,17.24,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Finland,2018,17.49,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Finland,2022,19.33,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,France,2006,13.23,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,France,2010,13.74,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,France,2014,14.94,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,France,2018,15.34,,
