"",BBEX3.A.HUF.EUR.BB.AC.A04,BBEX3.A.HUF.EUR.BB.AC.A04_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = HUF ... / Hungary,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15.",
Decimals,2,
Methodological explanation (in english),Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
Source (in english),European Central Bank (ECB).,
Time format code,P1Y,
category,WEDE,
unit,HUF,
unit multiplier,One,
last update,2025-12-31 16:38:19,
1999,252.77,
2000,260.04,
2001,256.59,
2002,242.96,
2003,253.62,
2004,251.66,
2005,248.05,
2006,264.26,
2007,251.35,
2008,251.51,
2009,280.33,
2010,275.48,
2011,279.37,
2012,289.25,
2013,296.87,
2014,308.71,
2015,310.00,
2016,311.44,
2017,309.19,
2018,318.89,
2019,325.30,
2020,351.25,
2021,358.52,
2022,391.29,
2023,381.85,
2024,395.30,
2025,397.77,
