"",BBEX3.A.PLN.EUR.BB.AC.A04,BBEX3.A.PLN.EUR.BB.AC.A04_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = PLN ... / Poland,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15.",
Decimals,4,
Methodological explanation (in english),Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
Source (in english),European Central Bank (ECB).,
Time format code,P1Y,
category,WEDE,
unit,PLN,
unit multiplier,One,
last update,2025-12-31 16:38:20,
1999,4.2274,
2000,4.0082,
2001,3.6721,
2002,3.8574,
2003,4.3996,
2004,4.5268,
2005,4.0230,
2006,3.8959,
2007,3.7837,
2008,3.5121,
2009,4.3276,
2010,3.9947,
2011,4.1206,
2012,4.1847,
2013,4.1975,
2014,4.1843,
2015,4.1841,
2016,4.3632,
2017,4.2570,
2018,4.2615,
2019,4.2976,
2020,4.4430,
2021,4.5652,
2022,4.6861,
2023,4.5420,
2024,4.3058,
2025,4.2397,
