country_val_str,country,facet_id,var,year,value
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2004,42.825900537134316
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2005,46.29842382268724
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2006,48.98193728776696
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2007,53.60559946174257
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2008,55.29786290857849
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2009,49.861300586050376
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2010,49.76143427300505
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2011,52.360681173724856
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2012,55.49804468366736
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2013,58.26380100860343
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2014,60.277830659590194
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2015,61.948306575796124
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2016,63.56049021350635
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2017,65.98484735741458
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2018,69.02511077404198
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2019,71.56130317260086
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2020,75.52826025096067
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2021,76.63063370242583
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2022,76.58859767967425
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2023,75.89315066503197
Lithuania (+35%),Lithuania,% of EU8-2004,% of EU8,2024,77.33355887464117
Poland (+33%),Poland,% of EU8-2004,% of EU8,2004,40.88971877843253
Poland (+33%),Poland,% of EU8-2004,% of EU8,2005,41.70476961290951
Poland (+33%),Poland,% of EU8-2004,% of EU8,2006,42.96796990631934
Poland (+33%),Poland,% of EU8-2004,% of EU8,2007,44.68670176963016
Poland (+33%),Poland,% of EU8-2004,% of EU8,2008,46.41288014383868
Poland (+33%),Poland,% of EU8-2004,% of EU8,2009,49.8363208879292
Poland (+33%),Poland,% of EU8-2004,% of EU8,2010,50.17718565983345
Poland (+33%),Poland,% of EU8-2004,% of EU8,2011,51.0730290416581
Poland (+33%),Poland,% of EU8-2004,% of EU8,2012,51.966786578084964
Poland (+33%),Poland,% of EU8-2004,% of EU8,2013,52.33236907028105
Poland (+33%),Poland,% of EU8-2004,% of EU8,2014,53.819459535222585
Poland (+33%),Poland,% of EU8-2004,% of EU8,2015,55.70813566806716
Poland (+33%),Poland,% of EU8-2004,% of EU8,2016,56.716644537302926
Poland (+33%),Poland,% of EU8-2004,% of EU8,2017,58.46325772467919
Poland (+33%),Poland,% of EU8-2004,% of EU8,2018,61.420229896458984
