country_val_str,country,facet_id,var,year,value
Poland (+29%),Poland,% of EU8-2004,% of EU8,2004,39.15481611746937
Poland (+29%),Poland,% of EU8-2004,% of EU8,2005,40.62414984445142
Poland (+29%),Poland,% of EU8-2004,% of EU8,2006,41.526264033687575
Poland (+29%),Poland,% of EU8-2004,% of EU8,2007,42.95647975710028
Poland (+29%),Poland,% of EU8-2004,% of EU8,2008,45.5227031753087
Poland (+29%),Poland,% of EU8-2004,% of EU8,2009,47.78786275087474
Poland (+29%),Poland,% of EU8-2004,% of EU8,2010,48.068868378883565
Poland (+29%),Poland,% of EU8-2004,% of EU8,2011,49.05815592344327
Poland (+29%),Poland,% of EU8-2004,% of EU8,2012,49.894257829962115
Poland (+29%),Poland,% of EU8-2004,% of EU8,2013,50.260077206748
Poland (+29%),Poland,% of EU8-2004,% of EU8,2014,51.456819951308816
Poland (+29%),Poland,% of EU8-2004,% of EU8,2015,52.85005867273739
Poland (+29%),Poland,% of EU8-2004,% of EU8,2016,53.51680423030344
Poland (+29%),Poland,% of EU8-2004,% of EU8,2017,55.02732206450125
Poland (+29%),Poland,% of EU8-2004,% of EU8,2018,57.5742826813483
Poland (+29%),Poland,% of EU8-2004,% of EU8,2019,59.32611873566863
Poland (+29%),Poland,% of EU8-2004,% of EU8,2020,61.76160917355392
Poland (+29%),Poland,% of EU8-2004,% of EU8,2021,62.4488994473535
Poland (+29%),Poland,% of EU8-2004,% of EU8,2022,68.2870133445654
Poland (+29%),Poland,% of EU8-2004,% of EU8,2023,68.30953526964258
Romania (+27%),Romania,% of EU8-2004,% of EU8,2004,36.22439548132766
Romania (+27%),Romania,% of EU8-2004,% of EU8,2005,38.23655302439226
Romania (+27%),Romania,% of EU8-2004,% of EU8,2006,40.03245527132807
Romania (+27%),Romania,% of EU8-2004,% of EU8,2007,42.396578031536826
Romania (+27%),Romania,% of EU8-2004,% of EU8,2008,47.82896970404465
Romania (+27%),Romania,% of EU8-2004,% of EU8,2009,47.53301536518288
Romania (+27%),Romania,% of EU8-2004,% of EU8,2010,44.92005004406805
Romania (+27%),Romania,% of EU8-2004,% of EU8,2011,45.928492236217124
Romania (+27%),Romania,% of EU8-2004,% of EU8,2012,46.97596721597881
Romania (+27%),Romania,% of EU8-2004,% of EU8,2013,47.21611398507617
Romania (+27%),Romania,% of EU8-2004,% of EU8,2014,49.26985271577983
Romania (+27%),Romania,% of EU8-2004,% of EU8,2015,49.86728996238812
Romania (+27%),Romania,% of EU8-2004,% of EU8,2016,50.62184630075577
Romania (+27%),Romania,% of EU8-2004,% of EU8,2017,54.033895437614966
Romania (+27%),Romania,% of EU8-2004,% of EU8,2018,56.622733892883865
Romania (+27%),Romania,% of EU8-2004,% of EU8,2019,58.564289742986546
Romania (+27%),Romania,% of EU8-2004,% of EU8,2020,59.880541111552795
Romania (+27%),Romania,% of EU8-2004,% of EU8,2021,60.15171501291634
Romania (+27%),Romania,% of EU8-2004,% of EU8,2022,62.31126347982216
Romania (+27%),Romania,% of EU8-2004,% of EU8,2023,63.70884737885414
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2004,36.70947451447278
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2005,40.97994884675307
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2006,44.335652776756156
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2007,49.35402119418536
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2008,49.05772374168922
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2009,47.81559330653076
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2010,42.99509656648034
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2011,44.02467621263748
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2012,46.76382889607198
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2013,48.46583044275949
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2014,49.16346385032931
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2015,50.50524134497459
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2016,52.49442422784537
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2017,53.80793306360496
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2018,55.53794126824144
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2019,55.86841813018343
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2020,58.86195485275388
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2021,58.3519897972018
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2022,60.982682958390136
Latvia (+25%),Latvia,% of EU8-2004,% of EU8,2023,61.481738039901934
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2004,43.39203694370861
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2005,47.61633138551488
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2006,49.324044321549856
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2007,53.414177805813246
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2008,57.08101988607387
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2009,52.4427071841324
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2010,51.761621419225115
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2011,53.057161913652145
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2012,55.572999194976546
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2013,58.32461588839887
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2014,61.1179417465954
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2015,61.53109719085782
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2016,63.656142603580385
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2017,66.0604636265096
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2018,68.059633270842
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2019,70.57125807698642
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2020,75.57856943302504
Lithuania (+24%),Lithuania,% of EU8-2004,% of EU8,2021,72.16695843116113
