region,country,value,year,pop,% of DE,% of G7,% of EU8,% of S_EUR4,% of LAT_AM,% of World,rel_val,start_val,end_val,diff_end_start,country_val_str
CEE,Bulgaria,21.51507,2010,7437542,38.746338604475056,40.44911832920522,38.95814585118749,48.25604690028619,116.13939192738735,136.17065687903568,100,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,21.861742,2011,7379973,37.364082103711176,40.52529290587967,38.560782396659604,49.932926486256704,114.12758212364528,134.9085521257203,101.61129849914501,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,22.570934,2012,7316974,38.5642526563084,41.440015210563395,39.96761310413087,53.211083784648295,116.09566151012052,136.60363550356482,104.90755549482293,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,22.375816,2013,7264556,38.08574073528143,40.76427772590325,39.490339763558296,53.598796661267954,112.81615418094833,132.9665827794499,104.00066557998649,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,23.025012,2014,7223406,38.461226994184756,41.17837092593449,40.12391121626993,54.71446087238978,115.742414524392,133.61975823454182,107.01806687126744,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,23.420523,2015,7177463,38.42358759227362,41.033498926399204,40.12093089676542,54.43193638061279,118.25707934070152,133.01264296126104,108.85636439946511,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,24.287984,2016,7127389,38.9884099779767,42.073244809118826,40.96743290887171,54.74986480985629,124.64789962243242,135.4421230745226,112.88824066108081,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,25.36707,2017,7075586,39.98158144552081,43.05272717402031,42.00900979045444,56.04712241588237,129.12223066230885,137.78505981062006,117.90372980427206,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,25.946482,2018,7024687,40.39328812584401,43.307968188745434,42.415576348374024,56.41944237563392,132.1720654602543,137.8269158546879,120.59678169766586,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,27.291967,2019,6975420,41.889047609326916,44.7673143267586,43.997595532322535,58.441900568227,139.61192532702023,142.3606854102551,126.85046806726633,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,26.169451000000002,2020,6933606,41.88598341709212,45.16424079994126,44.5930346208859,61.36638658394007,144.07044814844002,142.1686724079315,121.63312041280834,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,28.236896,2021,6877173,43.896837186797626,45.985563917711,45.64842215463092,61.85960801663077,146.5998890315028,145.1788809169404,131.24240822827906,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,31.461854,2022,6825817,49.45390217730059,50.53367720358461,50.996025679471195,67.76016821257872,157.6397431409432,158.2670308505436,146.2317064271694,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Bulgaria,32.17493,2023,6795757,50.23155509286395,51.30395976389378,52.060102644619384,67.3817704065733,158.75587696671988,158.28425690778843,149.54601588560948,38.95814585118749,52.060102644619384,13.101956793431896,Bulgaria (+13%)
CEE,Croatia,27.646174,2010,4301108,49.787800779743435,51.975818041763134,50.0599662896429,62.00747053843992,149.23538884506283,174.97492100988362,99.99999999999999,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,27.785125,2011,4280782,47.487784448370036,51.50551722051609,49.00872762056138,63.46212502354357,145.0501581828772,171.4616787803165,100.5026048088969,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,27.206451,2012,4259181,46.484405574243155,49.95077931934265,48.17598188468826,64.1393370626102,139.93886678272509,164.65867632015568,98.40946164919603,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,27.607032999999998,2013,4242353,46.989763470899064,50.29451262917856,48.72274213524843,66.12959939373447,139.19131670579202,164.05269147232463,99.85842163910274,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,27.74785,2014,4219439,46.350306243079906,49.62478454722158,48.354036464449,65.93736642213003,139.48323487782116,161.0275385970844,100.36777602571698,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,29.268059,2015,4183681,48.01702458319705,51.278567415180625,50.13815330347034,68.0222694203721,147.78300105899996,166.22267068656504,105.86658030872556,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,29.849693,2016,4136388,47.91637166760079,51.70760327683189,50.348571348199066,67.28704434117354,153.19104034424691,166.4570345996076,107.97043019406591,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,31.681794999999997,2017,4079152,49.93435454440714,53.77001271799388,52.46647864077998,69.99915412855682,161.26513790461345,172.08443935317732,114.59739420000756,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,32.839164,2018,4024820,51.12376364795211,54.81272836359835,53.68327266327572,71.40726519155821,167.28356984457568,174.44063104070509,118.78375647928715,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,34.258843999999996,2019,3986292,52.58215164031613,56.1951594701616,55.228952963226675,73.36048569274615,175.25095095996687,178.7013927286005,123.91893359276403,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,32.197815999999996,2020,3953898,51.534790968392244,55.56822399737012,54.86543541188212,75.5026776761412,177.258352898615,174.9184862592209,116.46391287271794,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,37.240016000000004,2021,3924558,57.893010591027384,60.64771198876039,60.203075133088646,81.58307458061462,193.34215110369743,191.4680653358271,134.70224125768726,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,40.187844,2022,3906988,63.170012355044825,64.54926452217389,65.13984600610576,86.5535473383378,201.36135033708743,202.16261718603212,145.36493910513622,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Croatia,41.379889999999996,2023,3895973,64.60235420159889,65.9815642674079,66.95403287040746,86.65909288471671,204.174514932477,203.5679685884639,149.6767328455648,50.0599662896429,66.95403287040746,16.89406658076456,Croatia (+17%)
CEE,Czechia,36.382926,2010,10463981,65.52175615592046,68.40123127355464,65.87993148992597,81.60308952867184,196.39680011169526,230.2705467656552,100,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,36.331849999999996,2011,10495455,62.095062066861786,67.34865241125269,64.0838484837154,82.98312161765087,189.66769411966175,224.20341798694957,99.85961546908018,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,36.514754,2012,10507287,62.388388488440384,67.04073305827666,64.65871374505437,86.08370546251305,187.81697383499147,220.9943171123683,100.36233479407348,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,36.816766,2013,10511117,62.66559416593007,67.07281085050002,64.9766961944727,88.19049792684584,185.6256750368298,218.78082855215814,101.192427458968,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,37.873914,2014,10517176,63.264992153412656,67.73443067516939,65.99994661234673,89.99998721552265,190.38505838125835,219.79155676773715,104.09804313155023,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,39.904472999999996,2015,10524367,65.46706978486421,69.91390200825258,68.35904576959453,92.74249493223873,201.48937022498944,226.63026866250087,109.67911981570697,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,41.100355,2016,10531895,65.97655412571027,71.19674064577329,69.3254753458875,92.64823625901191,210.93034829429808,229.19643476035606,112.96605171337787,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,43.188112999999994,2017,10541301,68.0697083812934,73.29841586552014,71.5214591928927,95.4217202153012,219.8340402993274,234.58273788864136,118.70434225108777,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,44.42586,2018,10548878,69.16184487817686,74.15239305419742,72.62442964993002,96.60200748055092,226.30650567765187,235.98880449350108,122.10634185936559,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,45.413832,2019,10554819,69.7033735520043,74.49280925506791,73.21199721181131,97.24732021573108,232.3142381785029,236.8881748474258,124.82182439092448,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,43.664957,2020,10550083,69.88872883921182,75.35865511535113,74.40557080163792,102.39269564474701,240.38830326904312,237.21510120481378,120.0149680099946,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,46.442066,2021,10530619,72.19843887304431,75.63383009639418,75.07932297166201,101.74234442208149,241.11721493728376,238.780040460208,127.6479687202728,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,45.26511,2022,10673169,71.15080764104846,72.70431225460362,73.36950683021058,97.48857990889154,226.80101158839972,227.7035091709233,124.41305572839306,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Czechia,45.889016000000005,2023,10809674,71.64200933339453,73.17151056641546,74.24994811863093,96.10224918268878,226.42321143262288,225.75057032881236,126.12788757012012,65.87993148992597,74.24994811863093,8.37001662870496,Czechia (+8.4%)
CEE,Estonia,26.664799,2010,1331406,48.020449427971556,50.13079715638727,48.28295369406645,59.806349276609566,143.93787897162343,168.76371749557185,100,48.28295369406645,66.14669906065063,17.863745366584183,Estonia (+18%)
CEE,Estonia,29.030648,2011,1327315,49.61651799732788,53.814353561005795,51.20564044539642,66.30693987845962,151.55231745588432,179.14778652823907,108.87255516158214,48.28295369406645,66.14669906065063,17.863745366584183,Estonia (+18%)
CEE,Estonia,30.442445,2012,1322570,52.013361097762825,55.8920328173721,53.90613714540051,71.76820824094153,156.58349761956953,184.2435346546722,114.16716473279998,48.28295369406645,66.14669906065063,17.863745366584183,Estonia (+18%)
CEE,Estonia,31.874157999999998,2013,1317872,54.252811059198756,58.068364031565174,56.25365032932608,76.35102618787745,160.70564413453826,189.40975686572793,119.53646453513488,48.28295369406645,66.14669906065063,17.863745366584183,Estonia (+18%)
CEE,Estonia,33.164082,2014,1314402,55.39763826641033,59.31127723252034,57.7924859164936,78.80798789410953,166.70961674916512,192.45925339411423,124.37401834530986,48.28295369406645,66.14669906065063,17.863745366584183,Estonia (+18%)
