country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of AT-2004,% of W_EUR3-2004,% of EU8-2004,% of S_EUR4-2004,var_name
Bulgaria,2004,100,NA,5.7,31.843575418994412,32.20338983050848,33.501316299950425,32.85475190374722,37.44692576624276,actual_indiv_consump
Bulgaria,2005,110.52631578947368,NA,6.3,34.23913043478261,33.87096774193548,35.727112226617294,34.921471547996084,39.65501402170783,actual_indiv_consump
Bulgaria,2006,114.03508771929825,NA,6.5,34.21052631578947,33.67875647668394,35.54043655283291,34.718415170843684,38.931946400040104,actual_indiv_consump
Bulgaria,2007,131.57894736842104,NA,7.5,38.07106598984772,38.07106598984772,39.50304503252377,38.497169804823145,43.447390468950566,actual_indiv_consump
Bulgaria,2008,138.59649122807016,NA,7.9,39.10891089108911,39.10891089108911,40.551146988318486,39.51607603233511,44.45821845008627,actual_indiv_consump
Bulgaria,2009,129.82456140350877,NA,7.4,36.45320197044335,36.633663366336634,38.38303509118586,37.27767925603694,43.143047775285645,actual_indiv_consump
Bulgaria,2010,138.59649122807016,100,7.9,37.61904761904762,37.98076923076923,39.548615664195246,38.72330617122812,45.328389673854794,actual_indiv_consump
Bulgaria,2011,150.87719298245614,108.86075949367088,8.6,39.269406392694066,40.375586854460096,41.986368620980556,40.91302438353109,49.67161594393119,actual_indiv_consump
Bulgaria,2012,161.40350877192984,116.45569620253164,9.2,41.25560538116592,42.20183486238532,44.764178049618074,43.210033969234104,54.25807909704457,actual_indiv_consump
Bulgaria,2013,159.64912280701753,115.18987341772151,9.1,40.44444444444444,40.990990990990994,43.962051650431725,42.11936370705775,54.17396852141549,actual_indiv_consump
Bulgaria,2014,171.9298245614035,124.0506329113924,9.8,42.608695652173914,44.14414414414414,46.95343705813709,44.772341896851614,57.85866954061011,actual_indiv_consump
Bulgaria,2015,180.7017543859649,130.37974683544303,10.3,44.20600858369099,45.77777777777778,48.564116065352565,46.351820157665635,59.11782251280782,actual_indiv_consump
Bulgaria,2016,187.71929824561403,135.44303797468353,10.7,44.76987447698745,47.136563876651984,49.32190848350892,47.42962103042672,59.987509807774316,actual_indiv_consump
Bulgaria,2017,196.49122807017545,141.77215189873417,11.2,45.52845528455285,48.484848484848484,50.27871276767576,48.37943084079021,60.58832633681661,actual_indiv_consump
Bulgaria,2018,208.7719298245614,150.63291139240508,11.9,46.8503937007874,50.42372881355932,52.03832883395791,50.05035768660952,62.845559115829985,actual_indiv_consump
Bulgaria,2019,222.80701754385964,160.7594936708861,12.7,49.034749034749034,52.916666666666664,54.19488425570146,52.310466836570214,65.47891559819915,actual_indiv_consump
Bulgaria,2020,219.2982456140351,158.22784810126583,12.5,50.403225806451616,55.06607929515418,56.08287698204151,53.46346763415848,70.81234372469574,actual_indiv_consump
Bulgaria,2021,252.6315789473684,182.27848101265823,14.4,54.961832061068705,57.37051792828685,60.87713646741863,58.00867796123516,74.0971943443338,actual_indiv_consump
Bulgaria,2022,287.719298245614,207.59493670886076,16.4,57.142857142857146,59.2057761732852,63.087114652264106,60.698152306544785,75.06562529459467,actual_indiv_consump
Bulgaria,2023,310.5263157894737,224.0506329113924,17.7,59,61.67247386759582,64.26618875235692,62.19791677029948,75.17042699972568,actual_indiv_consump
Bulgaria,2024,338.5964912280702,244.30379746835442,19.3,62.25806451612903,65.64625850340136,67.84561534272167,65.48726543401544,78.66924486244883,actual_indiv_consump
Croatia,2004,100,NA,8.6,48.04469273743017,48.58757062146893,50.54584564553924,49.57032743372388,56.498870454331175,actual_indiv_consump
Croatia,2005,104.65116279069767,NA,9,48.91304347826087,48.38709677419355,51.03873175231042,49.88781649713726,56.65002003101118,actual_indiv_consump
Croatia,2006,110.46511627906976,NA,9.5,50,49.22279792746114,51.94371496183271,50.74229909584846,56.90053704621246,actual_indiv_consump
Croatia,2007,120.93023255813954,NA,10.4,52.79187817258883,52.79187817258883,54.77755577843296,53.38274212935476,60.24704811694478,actual_indiv_consump
Croatia,2008,130.2325581395349,NA,11.2,55.445544554455445,55.445544554455445,57.49023370495786,56.02279133698141,63.02937299252737,actual_indiv_consump
Croatia,2009,122.09302325581395,NA,10.5,51.724137931034484,51.98019801980198,54.46241465641237,52.89400434978215,61.21648670817558,actual_indiv_consump
Croatia,2010,123.25581395348837,100,10.6,50.476190476190474,50.96153846153846,53.065231144363246,51.95785385000229,60.82037095479251,actual_indiv_consump
Croatia,2011,127.90697674418605,103.77358490566037,11,50.22831050228311,51.64319248826291,53.70349474776583,52.33061258358627,63.53346225386547,actual_indiv_consump
Croatia,2012,130.2325581395349,105.66037735849056,11.2,50.224215246636774,51.37614678899082,54.49552110388287,52.60351961471978,66.05331368335861,actual_indiv_consump
Croatia,2013,133.72093023255815,108.49056603773585,11.5,51.111111111111114,51.8018018018018,55.55643889889724,53.22776732210595,68.46160857101957,actual_indiv_consump
Croatia,2014,132.5581395348837,107.54716981132076,11.4,49.56521739130435,51.351351351351354,54.61930433293499,52.08211200246004,67.30498293499544,actual_indiv_consump
Croatia,2015,134.88372093023256,109.43396226415095,11.6,49.78540772532189,51.55555555555556,54.69356760758153,52.20204988630305,66.57929525714279,actual_indiv_consump
Croatia,2016,140.69767441860466,114.15094339622641,12.1,50.62761506276151,53.30396475770925,55.77524230378112,53.63536583814611,67.83634286673544,actual_indiv_consump
Croatia,2017,147.67441860465115,119.81132075471699,12.7,51.6260162601626,54.97835497835498,57.01246894191805,54.858818899824605,68.70283432835454,actual_indiv_consump
Croatia,2018,154.65116279069767,125.47169811320755,13.3,52.36220472440945,56.355932203389834,58.160485167364726,55.93863506150476,70.23915430592763,actual_indiv_consump
Croatia,2019,165.11627906976744,133.96226415094338,14.2,54.826254826254825,59.166666666666664,60.59585483708353,58.488868431440714,73.21264578696282,actual_indiv_consump
Croatia,2020,161.62790697674419,131.1320754716981,13.9,56.04838709677419,61.23348017621145,62.36415920403016,59.45137600918423,78.74332622186165,actual_indiv_consump
