country,% of EU8,relative to initial value (%),absolute value (thousand USD PPP),folder,file,absolute value (% of 15+ popul.),absolute value (years),absolute value (PPS)
Lithuania,+35% (43→77),+116%,+25.3k (21.9→47.2),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Poland,+33% (41→74),+116%,+24.2k (20.9→45.1),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Romania,+28% (38→67),+108%,+21.1k (19.5→40.6),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Bulgaria,+24% (32→56),+108%,+17.7k (16.4→34.1),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Latvia,+24% (40→64),+89%,+18.4k (20.6→38.9),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Slovakia,+23% (43→66),+85%,+18.5k (21.8→40.3),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Croatia,+18% (52→70),+61%,+16.1k (26.5→42.6),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Hungary,+15% (52→67),+53%,+14.1k (26.6→40.7),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Estonia,+14% (54→68),+50%,+13.9k (27.7→41.5),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Czechia,+13% (66→79),+43%,+14.5k (33.5→48),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Slovenia,+12% (67→80),+41%,+14.2k (34.3→48.5),GDP_per_cap,table_2004_2024.html,NA,NA,NA
Lithuania,+28% (50→77),+75%,+20.3k (26.9→47.2),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Poland,+24% (50→74),+66%,+18k (27.1→45.1),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Romania,+20% (46→67),+63%,+15.7k (24.9→40.6),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Latvia,+19% (45→64),+61%,+14.8k (24.1→38.9),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Croatia,+17% (53→70),+49%,+13.9k (28.7→42.6),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Bulgaria,+16% (40→56),+57%,+12.4k (21.7→34.1),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Hungary,+15% (51→67),+46%,+12.9k (27.8→40.7),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Estonia,+12% (56→68),+37%,+11.2k (30.4→41.5),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Slovakia,+11% (55→66),+36%,+10.6k (29.7→40.3),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Slovenia,+9.1% (70→80),+27%,+10.4k (38.1→48.5),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Czechia,+6.3% (72→79),+23%,+8.9k (39.1→48),GDP_per_cap,table_2010_2024.html,NA,NA,NA
Poland,+29% (39→68),+107%,+21.8k (20.4→42.2),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Romania,+27% (36→64),+108%,+20.5k (18.9→39.4),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Latvia,+25% (37→61),+98%,+18.8k (19.2→38),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Lithuania,+24% (43→68),+85%,+19.3k (22.6→41.9),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Estonia,+23% (43→66),+82%,+18.4k (22.5→40.9),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Bulgaria,+20% (32→52),+92%,+15.4k (16.8→32.2),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Croatia,+17% (50→67),+59%,+15.3k (26.1→41.4),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Slovakia,+15% (45→60),+57%,+13.3k (23.5→36.8),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Czechia,+11% (63→74),+39%,+12.9k (33→45.9),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Hungary,+9.6% (51→60),+41%,+10.8k (26.4→37.2),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Slovenia,+7.2% (68→75),+31%,+11k (35.4→46.4),GNI_per_cap,table_2004_2023.html,NA,NA,NA
Poland,+20% (48→68),+59%,+15.7k (26.5→42.2),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Romania,+19% (45→64),+59%,+14.6k (24.8→39.4),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Estonia,+18% (48→66),+53%,+14.2k (26.7→40.9),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Latvia,+18% (43→61),+60%,+14.3k (23.7→38),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Croatia,+17% (50→67),+50%,+13.7k (27.6→41.4),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Lithuania,+16% (52→68),+47%,+13.3k (28.6→41.9),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Bulgaria,+13% (39→52),+50%,+10.7k (21.5→32.2),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Hungary,+10% (50→60),+35%,+9.7k (27.6→37.2),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Czechia,+8.4% (66→74),+26%,+9.5k (36.4→45.9),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Slovenia,+5.5% (70→75),+21%,+8k (38.4→46.4),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Slovakia,+3.4% (56→60),+19%,+5.8k (31→36.8),GNI_per_cap,table_2010_2023.html,NA,NA,NA
Romania,+46% (33→78),+305%,+17.4k (5.7→23.1),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Bulgaria,+33% (33→65),+239%,+13.6k (5.7→19.3),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Lithuania,+31% (48→79),+181%,+15k (8.3→23.3),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Poland,+28% (47→75),+171%,+14k (8.2→22.2),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Latvia,+27% (40→67),+187%,+12.9k (6.9→19.8),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Slovakia,+22% (47→69),+149%,+12.2k (8.2→20.4),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Croatia,+20% (50→70),+138%,+11.9k (8.6→20.5),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Estonia,+20% (46→66),+144%,+11.5k (8→19.5),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Czechia,+11% (62→73),+101%,+10.8k (10.7→21.5),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Hungary,+11% (53→64),+104%,+9.6k (9.2→18.8),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
Slovenia,+8.2% (67→76),+91%,+10.6k (11.7→22.3),actual_indiv_consump,table_2004_2024.html,NA,NA,NA
