variable,init_yr,last_yr,country,series,val_init,val_2010,val_prewar,val_last
average_annual_wages,2004,2024,Bulgaria,eur_constant_2021,10.969416137792297,15.584504941187584,25.49430140550424,28.57867516674122
average_annual_wages,2004,2024,Croatia,eur_constant_2021,43.06786813919463,41.35323940939863,38.558331235169156,45.74142355528336
average_annual_wages,2004,2024,Czechia,eur_constant_2021,35.73347924257078,38.85805774968528,45.2734146195132,43.87415427993255
average_annual_wages,2004,2024,Czechia,usd_ppp_const,46.58678071406853,50.74711541724625,59.1310581064425,57.304633076742945
average_annual_wages,2004,2024,Estonia,eur_constant_2021,31.122077451486568,39.36061298934939,54.254631823477155,51.28262965188762
average_annual_wages,2004,2024,Estonia,usd_ppp_const,35.151802854711434,44.53318435463798,61.390452739117315,58.02870648627326
average_annual_wages,2004,2024,Hungary,eur_constant_2021,31.439238257730505,30.74406956768252,33.40463003412263,37.331412451752314
average_annual_wages,2004,2024,Hungary,usd_ppp_const,43.80046750876346,42.90530070845377,46.62280510405593,52.10444148125793
average_annual_wages,2004,2024,Latvia,eur_constant_2021,22.036699887566733,29.820093834629596,43.25274775566242,49.039042736404525
average_annual_wages,2004,2024,Latvia,usd_ppp_const,30.43094738594646,41.249703826824664,59.836700151147596,67.84291601148502
average_annual_wages,2004,2024,Lithuania,eur_constant_2021,31.982372963048487,36.66545809183914,55.97361153171855,56.793975319350466
average_annual_wages,2004,2024,Lithuania,usd_ppp_const,44.27002730164502,50.839242075047416,77.61888940132127,78.75804848354228
average_annual_wages,2004,2024,Poland,eur_constant_2021,28.541725404764215,30.918726542392992,37.605290442096454,39.64125299710214
average_annual_wages,2004,2024,Poland,usd_ppp_const,47.30689570461196,51.33442566214748,62.4421976787998,65.82413939759009
average_annual_wages,2004,2024,Romania,eur_constant_2021,14.949810763150516,20.01395259113655,34.31955668936547,39.48651838582161
average_annual_wages,2004,2024,Slovakia,eur_constant_2021,29.530082927600624,35.868539196806054,40.32881830302833,40.25146742731394
average_annual_wages,2004,2024,Slovakia,usd_ppp_const,39.365863601973274,47.897368154847264,53.85866732260642,53.75642889651898
average_annual_wages,2004,2024,Slovenia,eur_constant_2021,57.06309747039457,62.86813182195506,68.24525217545418,73.32240127079713
average_annual_wages,2004,2024,Slovenia,usd_ppp_const,71.45054017976538,78.8539758145913,85.60667360651446,91.97725311151682
