country_val_str,country,facet_id,var,year,value
Poland (+13),Poland,value-2004,value,2004,44.114
Poland (+13),Poland,value-2004,value,2005,45.254
Poland (+13),Poland,value-2004,value,2006,46.523
Poland (+13),Poland,value-2004,value,2007,48.601
Poland (+13),Poland,value-2004,value,2008,50.438
Poland (+13),Poland,value-2004,value,2009,50.535
Poland (+13),Poland,value-2004,value,2010,50.47
Poland (+13),Poland,value-2004,value,2011,50.692
Poland (+13),Poland,value-2004,value,2012,50.78
Poland (+13),Poland,value-2004,value,2013,50.739
Poland (+13),Poland,value-2004,value,2014,51.865
Poland (+13),Poland,value-2004,value,2015,52.608
Poland (+13),Poland,value-2004,value,2016,53.553
Poland (+13),Poland,value-2004,value,2017,54.537
Poland (+13),Poland,value-2004,value,2018,55.115
Poland (+13),Poland,value-2004,value,2019,55.375
Poland (+13),Poland,value-2004,value,2020,55.365
Poland (+13),Poland,value-2004,value,2021,56.412
Poland (+13),Poland,value-2004,value,2022,56.917
Poland (+13),Poland,value-2004,value,2023,57.268
Poland (+13),Poland,value-2004,value,2024,57.136
Bulgaria (+9.6),Bulgaria,value-2004,value,2004,44.781
Bulgaria (+9.6),Bulgaria,value-2004,value,2005,45.075
Bulgaria (+9.6),Bulgaria,value-2004,value,2006,47.358
Bulgaria (+9.6),Bulgaria,value-2004,value,2007,49.864
Bulgaria (+9.6),Bulgaria,value-2004,value,2008,51.785
Bulgaria (+9.6),Bulgaria,value-2004,value,2009,50.412
Bulgaria (+9.6),Bulgaria,value-2004,value,2010,48.003
Bulgaria (+9.6),Bulgaria,value-2004,value,2011,46.633
Bulgaria (+9.6),Bulgaria,value-2004,value,2012,46.65
Bulgaria (+9.6),Bulgaria,value-2004,value,2013,46.957
Bulgaria (+9.6),Bulgaria,value-2004,value,2014,47.801
Bulgaria (+9.6),Bulgaria,value-2004,value,2015,49.252
Bulgaria (+9.6),Bulgaria,value-2004,value,2016,49.272
Bulgaria (+9.6),Bulgaria,value-2004,value,2017,51.99
Bulgaria (+9.6),Bulgaria,value-2004,value,2018,52.434
Bulgaria (+9.6),Bulgaria,value-2004,value,2019,54.156
Bulgaria (+9.6),Bulgaria,value-2004,value,2020,52.87
Bulgaria (+9.6),Bulgaria,value-2004,value,2021,52.381
Bulgaria (+9.6),Bulgaria,value-2004,value,2022,54.249
Bulgaria (+9.6),Bulgaria,value-2004,value,2023,54.388
Bulgaria (+9.6),Bulgaria,value-2004,value,2024,54.351
Hungary (+8.7),Hungary,value-2004,value,2004,49.173
Hungary (+8.7),Hungary,value-2004,value,2005,48.57
Hungary (+8.7),Hungary,value-2004,value,2006,48.465
Hungary (+8.7),Hungary,value-2004,value,2007,48.415
Hungary (+8.7),Hungary,value-2004,value,2008,48.072
Hungary (+8.7),Hungary,value-2004,value,2009,46.406
Hungary (+8.7),Hungary,value-2004,value,2010,46.194
Hungary (+8.7),Hungary,value-2004,value,2011,46.482
Hungary (+8.7),Hungary,value-2004,value,2012,47.059
Hungary (+8.7),Hungary,value-2004,value,2013,48.081
Hungary (+8.7),Hungary,value-2004,value,2014,50.76
Hungary (+8.7),Hungary,value-2004,value,2015,52.374
Hungary (+8.7),Hungary,value-2004,value,2016,54.35
Hungary (+8.7),Hungary,value-2004,value,2017,55.411
Hungary (+8.7),Hungary,value-2004,value,2018,56.175
Hungary (+8.7),Hungary,value-2004,value,2019,56.505
Hungary (+8.7),Hungary,value-2004,value,2020,56.012
Hungary (+8.7),Hungary,value-2004,value,2021,56.82
Hungary (+8.7),Hungary,value-2004,value,2022,57.759
Hungary (+8.7),Hungary,value-2004,value,2023,58.067
Hungary (+8.7),Hungary,value-2004,value,2024,57.84
Slovakia (+8.5),Slovakia,value-2004,value,2004,49.135
Slovakia (+8.5),Slovakia,value-2004,value,2005,49.785
Slovakia (+8.5),Slovakia,value-2004,value,2006,51.151
Slovakia (+8.5),Slovakia,value-2004,value,2007,52.169
Slovakia (+8.5),Slovakia,value-2004,value,2008,53.545
Slovakia (+8.5),Slovakia,value-2004,value,2009,51.644
Slovakia (+8.5),Slovakia,value-2004,value,2010,50.371
Slovakia (+8.5),Slovakia,value-2004,value,2011,50.784
Slovakia (+8.5),Slovakia,value-2004,value,2012,50.918
Slovakia (+8.5),Slovakia,value-2004,value,2013,50.82
Slovakia (+8.5),Slovakia,value-2004,value,2014,52.89
Slovakia (+8.5),Slovakia,value-2004,value,2015,52.773
Slovakia (+8.5),Slovakia,value-2004,value,2016,54.2
Slovakia (+8.5),Slovakia,value-2004,value,2017,55.017
Slovakia (+8.5),Slovakia,value-2004,value,2018,55.819
Slovakia (+8.5),Slovakia,value-2004,value,2019,56.125
Slovakia (+8.5),Slovakia,value-2004,value,2020,54.948
Slovakia (+8.5),Slovakia,value-2004,value,2021,56.051
Slovakia (+8.5),Slovakia,value-2004,value,2022,57.4
Slovakia (+8.5),Slovakia,value-2004,value,2023,57.619
Slovakia (+8.5),Slovakia,value-2004,value,2024,57.667
Estonia (+7.3),Estonia,value-2004,value,2004,52.889
Estonia (+7.3),Estonia,value-2004,value,2005,53.9
Estonia (+7.3),Estonia,value-2004,value,2006,56.919
Estonia (+7.3),Estonia,value-2004,value,2007,57.735
Estonia (+7.3),Estonia,value-2004,value,2008,57.821
Estonia (+7.3),Estonia,value-2004,value,2009,52.528
Estonia (+7.3),Estonia,value-2004,value,2010,50.399
Estonia (+7.3),Estonia,value-2004,value,2011,53.703
Estonia (+7.3),Estonia,value-2004,value,2012,55.117
Estonia (+7.3),Estonia,value-2004,value,2013,55.984
Estonia (+7.3),Estonia,value-2004,value,2014,56.589
Estonia (+7.3),Estonia,value-2004,value,2015,57.854
Estonia (+7.3),Estonia,value-2004,value,2016,58.328
Estonia (+7.3),Estonia,value-2004,value,2017,59.571
Estonia (+7.3),Estonia,value-2004,value,2018,60.062
Estonia (+7.3),Estonia,value-2004,value,2019,60.31
Estonia (+7.3),Estonia,value-2004,value,2020,58.654
Estonia (+7.3),Estonia,value-2004,value,2021,59.283
Estonia (+7.3),Estonia,value-2004,value,2022,61.486
Estonia (+7.3),Estonia,value-2004,value,2023,61.419
Estonia (+7.3),Estonia,value-2004,value,2024,60.217
Lithuania (+7.2),Lithuania,value-2004,value,2004,50.917
Lithuania (+7.2),Lithuania,value-2004,value,2005,51.482
Lithuania (+7.2),Lithuania,value-2004,value,2006,51.95
Lithuania (+7.2),Lithuania,value-2004,value,2007,53.067
Lithuania (+7.2),Lithuania,value-2004,value,2008,52.537
Lithuania (+7.2),Lithuania,value-2004,value,2009,48.743
Lithuania (+7.2),Lithuania,value-2004,value,2010,46.541
Lithuania (+7.2),Lithuania,value-2004,value,2011,48.569
Lithuania (+7.2),Lithuania,value-2004,value,2012,50.028
Lithuania (+7.2),Lithuania,value-2004,value,2013,51.165
Lithuania (+7.2),Lithuania,value-2004,value,2014,52.63
Lithuania (+7.2),Lithuania,value-2004,value,2015,53.755
Lithuania (+7.2),Lithuania,value-2004,value,2016,55.563
Lithuania (+7.2),Lithuania,value-2004,value,2017,56.325
Lithuania (+7.2),Lithuania,value-2004,value,2018,57.761
Lithuania (+7.2),Lithuania,value-2004,value,2019,58.187
Lithuania (+7.2),Lithuania,value-2004,value,2020,57.341
Lithuania (+7.2),Lithuania,value-2004,value,2021,57.871
Lithuania (+7.2),Lithuania,value-2004,value,2022,59.011
Lithuania (+7.2),Lithuania,value-2004,value,2023,58.584
Lithuania (+7.2),Lithuania,value-2004,value,2024,58.116
Latvia (+6),Latvia,value-2004,value,2004,50.499
Latvia (+6),Latvia,value-2004,value,2005,51.46
Latvia (+6),Latvia,value-2004,value,2006,54.804
Latvia (+6),Latvia,value-2004,value,2007,56.556
Latvia (+6),Latvia,value-2004,value,2008,56.753
