country_val_str,country,facet_id,var,year,value
Estonia (+6.8),Estonia,value-2004,value,2004,72.3751
Estonia (+6.8),Estonia,value-2004,value,2005,73.0276
Estonia (+6.8),Estonia,value-2004,value,2006,73.1995
Estonia (+6.8),Estonia,value-2004,value,2007,73.1534
Estonia (+6.8),Estonia,value-2004,value,2008,74.2787
Estonia (+6.8),Estonia,value-2004,value,2009,75.1519
Estonia (+6.8),Estonia,value-2004,value,2010,75.8816
Estonia (+6.8),Estonia,value-2004,value,2011,76.3462
Estonia (+6.8),Estonia,value-2004,value,2012,76.4159
Estonia (+6.8),Estonia,value-2004,value,2013,77.252
Estonia (+6.8),Estonia,value-2004,value,2014,77.1104
Estonia (+6.8),Estonia,value-2004,value,2015,77.665
Estonia (+6.8),Estonia,value-2004,value,2016,77.7631
Estonia (+6.8),Estonia,value-2004,value,2017,78.1814
Estonia (+6.8),Estonia,value-2004,value,2018,78.3339
Estonia (+6.8),Estonia,value-2004,value,2019,78.7728
Estonia (+6.8),Estonia,value-2004,value,2020,78.8929
Estonia (+6.8),Estonia,value-2004,value,2021,77.4095
Estonia (+6.8),Estonia,value-2004,value,2022,78.1674
Estonia (+6.8),Estonia,value-2004,value,2023,79.1535
Latvia (+5.3),Latvia,value-2004,value,2004,70.9395
Latvia (+5.3),Latvia,value-2004,value,2005,70.6324
Latvia (+5.3),Latvia,value-2004,value,2006,70.5501
Latvia (+5.3),Latvia,value-2004,value,2007,70.7894
Latvia (+5.3),Latvia,value-2004,value,2008,71.999
Latvia (+5.3),Latvia,value-2004,value,2009,72.6966
Latvia (+5.3),Latvia,value-2004,value,2010,73.0285
Latvia (+5.3),Latvia,value-2004,value,2011,73.7176
Latvia (+5.3),Latvia,value-2004,value,2012,73.9387
Latvia (+5.3),Latvia,value-2004,value,2013,74.1873
Latvia (+5.3),Latvia,value-2004,value,2014,74.306
Latvia (+5.3),Latvia,value-2004,value,2015,74.6646
Latvia (+5.3),Latvia,value-2004,value,2016,74.7568
Latvia (+5.3),Latvia,value-2004,value,2017,74.8005
Latvia (+5.3),Latvia,value-2004,value,2018,74.9793
Latvia (+5.3),Latvia,value-2004,value,2019,75.6278
Latvia (+5.3),Latvia,value-2004,value,2020,75.4781
Latvia (+5.3),Latvia,value-2004,value,2021,73.1809
Latvia (+5.3),Latvia,value-2004,value,2022,74.8706
Latvia (+5.3),Latvia,value-2004,value,2023,76.1898
Romania (+4.8),Romania,value-2004,value,2004,71.0957
Romania (+4.8),Romania,value-2004,value,2005,71.5808
Romania (+4.8),Romania,value-2004,value,2006,72.1693
Romania (+4.8),Romania,value-2004,value,2007,72.7922
Romania (+4.8),Romania,value-2004,value,2008,73.2158
Romania (+4.8),Romania,value-2004,value,2009,73.457
Romania (+4.8),Romania,value-2004,value,2010,73.5793
Romania (+4.8),Romania,value-2004,value,2011,74.2877
Romania (+4.8),Romania,value-2004,value,2012,74.314
Romania (+4.8),Romania,value-2004,value,2013,74.9179
Romania (+4.8),Romania,value-2004,value,2014,74.7654
Romania (+4.8),Romania,value-2004,value,2015,74.7371
Romania (+4.8),Romania,value-2004,value,2016,75.0209
Romania (+4.8),Romania,value-2004,value,2017,75.0236
Romania (+4.8),Romania,value-2004,value,2018,75.1033
Romania (+4.8),Romania,value-2004,value,2019,75.3288
Romania (+4.8),Romania,value-2004,value,2020,74.0464
Romania (+4.8),Romania,value-2004,value,2021,72.7405
Romania (+4.8),Romania,value-2004,value,2022,75.2614
Romania (+4.8),Romania,value-2004,value,2023,75.9381
Slovenia (+4.7),Slovenia,value-2004,value,2004,76.9319
Slovenia (+4.7),Slovenia,value-2004,value,2005,77.5029
Slovenia (+4.7),Slovenia,value-2004,value,2006,77.8204
Slovenia (+4.7),Slovenia,value-2004,value,2007,78.2855
Slovenia (+4.7),Slovenia,value-2004,value,2008,78.595
Slovenia (+4.7),Slovenia,value-2004,value,2009,79.027
Slovenia (+4.7),Slovenia,value-2004,value,2010,79.3008
Slovenia (+4.7),Slovenia,value-2004,value,2011,79.5884
Slovenia (+4.7),Slovenia,value-2004,value,2012,79.7652
Slovenia (+4.7),Slovenia,value-2004,value,2013,80.0884
Slovenia (+4.7),Slovenia,value-2004,value,2014,80.2517
Slovenia (+4.7),Slovenia,value-2004,value,2015,80.4994
Slovenia (+4.7),Slovenia,value-2004,value,2016,80.512
Slovenia (+4.7),Slovenia,value-2004,value,2017,80.6163
Slovenia (+4.7),Slovenia,value-2004,value,2018,80.861
Slovenia (+4.7),Slovenia,value-2004,value,2019,81.007
Slovenia (+4.7),Slovenia,value-2004,value,2020,80.3641
Slovenia (+4.7),Slovenia,value-2004,value,2021,80.434
Slovenia (+4.7),Slovenia,value-2004,value,2022,80.7933
Slovenia (+4.7),Slovenia,value-2004,value,2023,81.6034
Slovakia (+4.1),Slovakia,value-2004,value,2004,74.2172
Slovakia (+4.1),Slovakia,value-2004,value,2005,74.1562
Slovakia (+4.1),Slovakia,value-2004,value,2006,74.4161
Slovakia (+4.1),Slovakia,value-2004,value,2007,74.4947
Slovakia (+4.1),Slovakia,value-2004,value,2008,74.8643
Slovakia (+4.1),Slovakia,value-2004,value,2009,75.2175
Slovakia (+4.1),Slovakia,value-2004,value,2010,75.4963
Slovakia (+4.1),Slovakia,value-2004,value,2011,76.0181
Slovakia (+4.1),Slovakia,value-2004,value,2012,76.1764
Slovakia (+4.1),Slovakia,value-2004,value,2013,76.5139
Slovakia (+4.1),Slovakia,value-2004,value,2014,76.8484
Slovakia (+4.1),Slovakia,value-2004,value,2015,76.6505
Slovakia (+4.1),Slovakia,value-2004,value,2016,77.2156
Slovakia (+4.1),Slovakia,value-2004,value,2017,77.22
Slovakia (+4.1),Slovakia,value-2004,value,2018,77.265
Slovakia (+4.1),Slovakia,value-2004,value,2019,77.6863
Slovakia (+4.1),Slovakia,value-2004,value,2020,76.8643
Slovakia (+4.1),Slovakia,value-2004,value,2021,74.5901
Slovakia (+4.1),Slovakia,value-2004,value,2022,77.0356
Slovakia (+4.1),Slovakia,value-2004,value,2023,78.3414
Hungary (+4.1),Hungary,value-2004,value,2004,72.906
Hungary (+4.1),Hungary,value-2004,value,2005,72.8649
Hungary (+4.1),Hungary,value-2004,value,2006,73.3441
Hungary (+4.1),Hungary,value-2004,value,2007,73.4314
Hungary (+4.1),Hungary,value-2004,value,2008,73.9571
Hungary (+4.1),Hungary,value-2004,value,2009,74.179
Hungary (+4.1),Hungary,value-2004,value,2010,74.5189
Hungary (+4.1),Hungary,value-2004,value,2011,74.9226
Hungary (+4.1),Hungary,value-2004,value,2012,75.1826
Hungary (+4.1),Hungary,value-2004,value,2013,75.6827
Hungary (+4.1),Hungary,value-2004,value,2014,75.8493
Hungary (+4.1),Hungary,value-2004,value,2015,75.6536
Hungary (+4.1),Hungary,value-2004,value,2016,76.1569
Hungary (+4.1),Hungary,value-2004,value,2017,76.007
Hungary (+4.1),Hungary,value-2004,value,2018,76.2049
Hungary (+4.1),Hungary,value-2004,value,2019,76.4546
Hungary (+4.1),Hungary,value-2004,value,2020,75.7302
Hungary (+4.1),Hungary,value-2004,value,2021,74.1851
Hungary (+4.1),Hungary,value-2004,value,2022,76.2118
Hungary (+4.1),Hungary,value-2004,value,2023,77.024
Lithuania (+4),Lithuania,value-2004,value,2004,72.0009
Lithuania (+4),Lithuania,value-2004,value,2005,71.2464
Lithuania (+4),Lithuania,value-2004,value,2006,70.9639
