country_val_str,country,facet_id,var,year,value
Romania (+34%),Romania,% of EU8-2004,% of EU8,2004,23.78020418187084
Romania (+34%),Romania,% of EU8-2004,% of EU8,2005,23.993856754872816
Romania (+34%),Romania,% of EU8-2004,% of EU8,2006,26.85902401109665
Romania (+34%),Romania,% of EU8-2004,% of EU8,2007,29.48464501382077
Romania (+34%),Romania,% of EU8-2004,% of EU8,2008,33.45453340730374
Romania (+34%),Romania,% of EU8-2004,% of EU8,2009,34.74521021940275
Romania (+34%),Romania,% of EU8-2004,% of EU8,2010,35.9209112870299
Romania (+34%),Romania,% of EU8-2004,% of EU8,2011,37.97273837298117
Romania (+34%),Romania,% of EU8-2004,% of EU8,2012,40.122834945216304
Romania (+34%),Romania,% of EU8-2004,% of EU8,2013,38.3298558940786
Romania (+34%),Romania,% of EU8-2004,% of EU8,2014,39.205210836830375
Romania (+34%),Romania,% of EU8-2004,% of EU8,2015,42.19108060176909
Romania (+34%),Romania,% of EU8-2004,% of EU8,2016,43.254436750172665
Romania (+34%),Romania,% of EU8-2004,% of EU8,2017,45.79684382146472
Romania (+34%),Romania,% of EU8-2004,% of EU8,2018,47.19413232503666
Romania (+34%),Romania,% of EU8-2004,% of EU8,2019,49.17432563362563
Romania (+34%),Romania,% of EU8-2004,% of EU8,2020,48.84246386482879
Romania (+34%),Romania,% of EU8-2004,% of EU8,2021,53.85525591323614
Romania (+34%),Romania,% of EU8-2004,% of EU8,2022,56.2421887728419
Romania (+34%),Romania,% of EU8-2004,% of EU8,2023,58.019617533942814
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2004,34.005112924649865
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2005,34.09702919111239
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2006,34.68072715969745
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2007,35.5761231831391
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2008,37.12143490921509
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2009,40.80869036423536
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2010,43.68089598433788
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2011,43.962916792138536
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2012,46.13947100768399
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2013,44.5823064554103
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2014,46.330077586541535
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2015,48.49421885916848
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2016,49.12925321850255
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2017,50.84192659697251
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2018,50.57667366773091
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2019,49.77380603784249
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2020,51.039233218622044
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2021,53.07313762660761
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2022,52.847616692436986
Latvia (+20%),Latvia,% of EU8-2004,% of EU8,2023,54.21873606605138
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2004,38.99427870961109
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2005,39.63609122944309
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2006,41.81828715736038
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2007,42.28995503536391
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2008,43.27707442917209
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2009,43.764091150393746
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2010,46.383211652299195
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2011,51.4134928453675
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2012,53.4631869535585
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2013,52.7173570409788
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2014,53.299237518779435
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2015,52.32090168956575
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2016,50.91292850911232
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2017,53.485383435543135
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2018,54.6098209782789
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2019,56.06811976865298
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2020,57.28271087539236
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2021,61.7511471349054
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2022,59.839949487664505
Lithuania (+20%),Lithuania,% of EU8-2004,% of EU8,2023,59.15617681280113
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2004,37.1003095782686
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2005,39.25917275347472
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2006,39.78953946252655
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2007,42.921172334020845
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2008,43.527955317759506
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2009,47.383281591688856
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2010,49.509778972265345
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2011,50.87765616843835
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2012,53.937521187500565
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2013,53.89316902682207
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2014,54.550334620320655
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2015,52.23452629739824
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2016,53.22195685916178
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2017,53.7415583133519
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2018,58.01608801478421
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2019,59.10005780193003
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2020,61.32186986689266
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2021,64.71908391483954
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2022,61.909567670393756
Estonia (+20%),Estonia,% of EU8-2004,% of EU8,2023,56.88135504419918
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2004,31.581805998978563
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2005,31.562466551586294
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2006,32.561076492372926
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2007,33.07628117645394
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2008,33.09685679834221
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2009,35.629540276662524
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2010,37.25231276164722
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2011,36.421501934646386
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2012,37.58615299013815
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2013,35.24643554435637
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2014,35.60917078766438
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2015,36.510325881833445
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2016,38.157733519880985
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2017,37.10463965620812
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2018,37.91446162108711
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2019,38.064566947134075
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2020,38.08766923967743
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2021,42.295115650940616
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2022,43.356780032562654
Bulgaria (+14%),Bulgaria,% of EU8-2004,% of EU8,2023,45.91150983666769
Poland (+14%),Poland,% of EU8-2004,% of EU8,2004,43.46981166814584
Poland (+14%),Poland,% of EU8-2004,% of EU8,2005,41.979962414132544
Poland (+14%),Poland,% of EU8-2004,% of EU8,2006,41.793872467070976
Poland (+14%),Poland,% of EU8-2004,% of EU8,2007,42.40267816945855
Poland (+14%),Poland,% of EU8-2004,% of EU8,2008,42.2866518450972
Poland (+14%),Poland,% of EU8-2004,% of EU8,2009,46.36483930461409
