year,region,country,REF_AREA,value,Measure,Price base,UNIT_MEASURE,pop,% of DE,% of W_EUR3,% of S_EUR4,% of G7,% of EU8,% of LAT_AM,rel_val,start_val,end_val,diff_end_start,country_val_str
2010,CEE,Czechia,CZE,31.700884,Wages,Constant prices,USD_PPP,10463981,51.82620734407232,54.36971466201493,60.10059103495277,50.54886742500156,50.74711541724625,135.35180288414827,100,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2011,CEE,Czechia,CZE,31.959981,Wages,Constant prices,USD_PPP,10495455,51.21727148702033,54.63373510810309,61.832574096343286,50.87452842531597,50.77117133588075,134.24972097635816,100.81731790192349,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2012,CEE,Czechia,CZE,32.018481,Wages,Constant prices,USD_PPP,10507287,50.63545689779602,54.793621689410145,64.02026015111448,50.74676715741345,50.401418526576165,133.77104543200085,101.00185534258289,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2013,CEE,Czechia,CZE,31.81834,Wages,Constant prices,USD_PPP,10511117,49.84958177120951,54.045137326854366,63.68406389467977,50.31489480067898,49.71067115378606,129.6703581655034,100.37051332701006,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2014,CEE,Czechia,CZE,32.490151000000004,Wages,Constant prices,USD_PPP,10517176,50.06284329156318,54.61529082556575,65.04508342656658,50.84287271950359,50.27344550609657,132.73646780674363,102.48973183208395,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2015,CEE,Czechia,CZE,33.445873,Wages,Constant prices,USD_PPP,10524367,50.377917150951824,55.36773685192771,66.24707260132332,51.431053575215046,51.014236168196355,134.0585270773748,105.50454365878251,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2016,CEE,Czechia,CZE,34.626923000000005,Wages,Constant prices,USD_PPP,10531895,51.36791655186483,56.60640300790018,68.53996495371344,52.93156256780343,52.20131729749098,139.64958479779233,109.23014954409476,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2017,CEE,Czechia,CZE,36.395807,Wages,Constant prices,USD_PPP,10541301,53.43077263573597,59.057324062443165,72.59022530960529,55.12803679605354,54.46447203683511,146.81839789987478,114.81006964979274,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2018,CEE,Czechia,CZE,38.323807,Wages,Constant prices,USD_PPP,10548878,55.48513433503105,61.7999849540115,76.58709165655625,57.40641440743551,57.042157787057924,153.20736140731174,120.8919189761396,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2019,CEE,Czechia,CZE,39.915375999999995,Wages,Constant prices,USD_PPP,10554819,56.83908595522477,63.613727347939225,79.0215736117915,58.91884724045599,58.766754117049935,157.24115679525914,125.91250136746974,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2020,CEE,Czechia,CZE,39.341541,Wages,Constant prices,USD_PPP,10550083,56.40298639104014,64.62149507277377,79.86012410225892,56.75224508971204,58.82588843056491,150.6044363848759,124.10234679890945,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2021,CEE,Czechia,CZE,40.135830999999996,Wages,Constant prices,USD_PPP,10530619,57.47770950019486,64.41798475747123,78.48742288118656,56.90266745411422,59.1310581064425,155.65868022556396,126.60792361500077,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2022,CEE,Czechia,CZE,37.617582,Wages,Constant prices,USD_PPP,10673169,55.13707897342055,61.293133974340535,75.3892028726723,54.485524532442184,56.3966420291569,151.1917397841141,118.66414198417937,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2023,CEE,Czechia,CZE,36.949005,Wages,Constant prices,USD_PPP,10809674,54.253613237439325,60.953504378917536,74.58970318461033,53.69997143018,55.79154628038976,147.78493265429077,116.55512508736349,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2024,CEE,Czechia,CZE,38.488506,Wages,Constant prices,USD_PPP,10882164,55.43253443150757,62.66431046107221,77.07791585854191,55.40761871309228,57.30463307674296,188.45805556031604,121.41145969304831,50.74711541724625,57.30463307674296,6.55751765949671,Czechia (+6.6%)
2010,CEE,Estonia,EST,27.819144,Wages,Constant prices,USD_PPP,1331406,45.480142606704774,47.71220012102832,52.74133669226575,44.35921162113421,44.53318435463798,118.77811656904383,100,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2011,CEE,Estonia,EST,27.175801,Wages,Constant prices,USD_PPP,1327315,43.55041317747462,46.45545669080727,52.57668109877725,43.25897629461139,43.17109102038576,114.15350032777039,97.68740907340643,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2012,CEE,Estonia,EST,27.586879,Wages,Constant prices,USD_PPP,1322570,43.62712342753593,47.209766494467154,55.15936781439809,43.72302749817328,43.4254777520837,115.25611236948154,99.16508933560284,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2013,CEE,Estonia,EST,28.264041000000002,Wages,Constant prices,USD_PPP,1317872,44.281085154483804,48.007972045582584,56.57017283006746,44.694419933820484,44.157691684359605,115.1854031251936,101.59924762602328,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2014,CEE,Estonia,EST,29.82157,Wages,Constant prices,USD_PPP,1314402,45.95092788637338,50.129459799216285,59.70260059921529,46.66688953848711,46.144232272150546,121.83414802385964,107.19801443207598,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2015,CEE,Estonia,EST,31.216866000000003,Wages,Constant prices,USD_PPP,1314538,47.020470629077764,51.677742782491855,61.832022990931705,48.00342056242064,47.61438203616151,125.12416930877484,112.21361088608623,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2016,CEE,Estonia,EST,32.810922,Wages,Constant prices,USD_PPP,1315802,48.673938001529784,53.637693242127746,64.9454022807347,50.15557896236746,49.46363123703562,132.32569449306104,117.94367935979623,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2017,CEE,Estonia,EST,33.537411,Wages,Constant prices,USD_PPP,1317381,49.23451159998267,54.41917388017652,66.88924965424822,50.79847872729875,50.18702796169202,135.28780809090554,120.55515079831355,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2018,CEE,Estonia,EST,35.721443,Wages,Constant prices,USD_PPP,1321918,51.71743672271793,57.60347973612275,71.38647340399793,53.50825297939702,53.16873107067352,142.8038719559277,128.40597467700658,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2019,CEE,Estonia,EST,37.49718,Wages,Constant prices,USD_PPP,1326772,53.39559965810006,59.75981248019811,74.23420412235616,55.34936262075752,55.206483765623624,147.71500485827957,134.7891221958519,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2020,CEE,Estonia,EST,39.45772,Wages,Constant prices,USD_PPP,1329618,56.569549326536865,64.81232798082026,80.0959580101904,56.91983941659105,58.99960640699026,151.04918441380437,141.8365712474834,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2021,CEE,Estonia,EST,41.669419000000005,Wages,Constant prices,USD_PPP,1331699,59.67392976923539,66.87939258052693,81.48642319792384,59.07691539669751,61.390452739117315,161.60639024282418,149.78684822221706,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2022,CEE,Estonia,EST,38.592076,Wages,Constant prices,USD_PPP,1350038,56.56542045047573,62.88094978076826,77.34218129282173,55.89698730917562,57.857612840028295,155.1084041584798,138.72488671829728,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2023,CEE,Estonia,EST,38.139995000000006,Wages,Constant prices,USD_PPP,1367143,56.002388632870364,62.91823967233742,76.99397876918533,55.43090109861439,57.58989440111674,152.54853527205913,137.09981514887735,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2024,CEE,Estonia,EST,38.974828,Wages,Constant prices,USD_PPP,1371986,56.13295291514005,63.45610614137349,78.05183483051131,56.10772237385242,58.02870648627327,190.83931968358974,140.10074501213984,44.53318435463798,58.02870648627327,13.49552213163529,Estonia (+13%)
2010,CEE,Hungary,HUN,26.802232,Wages,Constant prices,USD_PPP,9979076,43.81764347378863,45.96810947433283,50.81340899692023,42.7376874431052,42.90530070845377,114.4362542861332,100,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2011,CEE,Hungary,HUN,27.148975999999998,Wages,Constant prices,USD_PPP,9946626,43.50742493828764,46.40960090809342,52.52478310797011,43.216275730270965,43.128477206845474,114.04082038702853,101.29371315045701,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2012,CEE,Hungary,HUN,26.244593000000002,Wages,Constant prices,USD_PPP,9916568,41.5043723545692,44.91269589692721,52.475495993083435,41.595610051335136,41.31253808863235,109.64813235666524,97.91943073994733,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2013,CEE,Hungary,HUN,25.976842,Wages,Constant prices,USD_PPP,9889294,40.69774568493484,44.12304328912188,51.992368731681196,41.07763234926333,40.58433753224896,105.86430361070664,96.92044304369875,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2014,CEE,Hungary,HUN,25.636604,Wages,Constant prices,USD_PPP,9862785,39.502472259358285,43.09461606503036,51.32432428380682,40.117960490005615,39.66864955953505,104.73673272618015,95.65100399101088,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2015,CEE,Hungary,HUN,25.835254,Wages,Constant prices,USD_PPP,9839162,38.914406138712444,42.768790785479354,51.17253023748637,39.72790103590027,39.40593056193629,103.55346675836076,96.392173607033925,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2016,CEE,Hungary,HUN,26.069948,Wages,Constant prices,USD_PPP,9810479,38.67392183173351,42.61787808529799,51.6024286150153,39.85116100848411,39.30137331223713,105.13950124589573,97.26782456028289,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2017,CEE,Hungary,HUN,27.955617999999998,Wages,Constant prices,USD_PPP,9785561,41.04017446980878,45.361928410925714,55.75654935441484,42.34384300808103,41.83415894126057,112.77120595405127,104.30332070851412,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2018,CEE,Hungary,HUN,29.318328,Wages,Constant prices,USD_PPP,9774342,42.44701909595,47.277981263102966,58.59035543501666,43.91682921535223,43.638167049237005,117.20609264507848,109.38763607448813,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
2019,CEE,Hungary,HUN,30.298509,Wages,Constant prices,USD_PPP,9770300,43.14476600110572,48.28718363006484,59.982796085173476,44.723447510167034,44.607998394308616,119.35682641024279,113.04472329020956,42.90530070845377,52.104441481257936,9.199140772804164,Hungary (+9.2%)
