country_val_str,country,facet_id,var,year,value
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2004,30.430947385946457
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2005,35.2331567834267
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2006,38.62300092442297
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2007,47.46536563159264
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2008,48.75366051105952
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2009,43.34026424438501
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2010,41.249703826824664
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2011,39.50922128799868
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2012,40.73291001914785
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2013,42.36922027504176
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2014,44.77710883112511
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2015,47.85586396339806
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2016,50.100768522841385
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2017,51.50794955369855
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2018,53.115473693404645
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2019,54.69175132916524
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2020,57.7329465345733
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2021,59.836700151147596
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2022,60.37786822122122
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2023,63.833515549815466
Latvia (+37%),Latvia,% of EU8-2004,% of EU8,2024,67.84291601148503
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2004,44.270027301645015
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2005,48.68928172047552
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2006,55.4226016919334
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2007,58.81578187760595
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2008,59.66212844590098
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2009,51.14188185746164
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2010,50.839242075047416
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2011,51.5027929281329
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2012,51.89008134925722
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2013,53.473385661795966
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2014,55.41481988272279
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2015,58.10134178683713
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2016,60.21412048696735
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2017,63.1683047573233
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2018,65.65895018282285
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2019,69.32047470501607
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2020,73.97585320607458
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2021,77.61888940132127
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2022,74.20363810355775
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2023,75.79022861752857
Lithuania (+34%),Lithuania,% of EU8-2004,% of EU8,2024,78.7580484835423
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2004,35.151802854711434
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2005,37.32131508114429
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2006,40.50987706569572
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2007,46.935130247526004
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2008,47.346412076312994
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2009,45.48701466559815
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2010,44.53318435463798
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2011,43.17109102038576
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2012,43.4254777520837
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2013,44.157691684359605
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2014,46.144232272150546
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2015,47.61438203616151
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2016,49.46363123703562
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2017,50.18702796169202
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2018,53.16873107067352
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2019,55.206483765623624
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2020,58.99960640699026
Estonia (+23%),Estonia,% of EU8-2004,% of EU8,2021,61.390452739117315
