year,region,country,REF_AREA,value,Measure,Price base,UNIT_MEASURE,pop,% of DE,% of W_EUR3,% of S_EUR4,% of G7,% of EU8,% of LAT_AM,rel_val,start_val,end_val,diff_end_start,country_val_str
2010,CEE,Bulgaria,BGR,5.2704733930000005,Statutory minimum wages,Constant prices,USD_PPP,7437542,NA,19.187166644982565,27.996233830127977,24.278455474948384,18.189979722093025,104.74116274701059,100.00000000000001,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2011,CEE,Bulgaria,BGR,5.309893834,Statutory minimum wages,Constant prices,USD_PPP,7379973,NA,19.353921473951,28.75480894851398,24.798336291039856,18.414540770681132,105.18382384568754,100.7479487715915,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2012,CEE,Bulgaria,BGR,5.877327226,Statutory minimum wages,Constant prices,USD_PPP,7316974,NA,21.150632826985998,33.537562175958854,27.60058674690708,20.247616554408264,110.46807748336568,111.51421870008859,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2013,CEE,Bulgaria,BGR,6.4060726180000005,Statutory minimum wages,Constant prices,USD_PPP,7264556,NA,22.956640343303025,36.91051737630998,30.212392228458015,22.01355881981263,117.78460616834498,121.54643691984577,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2014,CEE,Bulgaria,BGR,7.1400106260000005,Statutory minimum wages,Constant prices,USD_PPP,7223406,NA,25.44694937002334,40.99403015016883,33.9089771069049,24.434648942778587,130.38201790899305,135.47190344387343,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2015,CEE,Bulgaria,BGR,7.853927689,Statutory minimum wages,Constant prices,USD_PPP,7177463,26.148888579134574,26.84028740282216,44.44102283956099,35.312268815988915,26.461792089709196,142.84851975018745,149.0175000111228,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2016,CEE,Bulgaria,BGR,9.034524998,Statutory minimum wages,Constant prices,USD_PPP,7127389,30.227473789702696,30.90131237044651,50.338555296690785,40.26328272195274,30.427128364101417,160.5444331526596,171.41771382432628,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2017,CEE,Bulgaria,BGR,9.779011049000001,Statutory minimum wages,Constant prices,USD_PPP,7075586,31.756746785405994,32.89119173461533,52.08240616432322,43.52354803239098,32.46793402077873,168.9481558432021,185.54331498927652,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2018,CEE,Bulgaria,BGR,10.56370425,Statutory minimum wages,Constant prices,USD_PPP,7024687,34.89918968397058,35.97820378165695,55.1617131699955,47.100837140232244,35.458132917086445,181.58712789233928,200.43179164949822,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
2019,CEE,Bulgaria,BGR,11.32205514,Statutory minimum wages,Constant prices,USD_PPP,6975420,36.608349889183856,38.01929138007701,50.31348761641251,50.2177664408278,37.55253390594785,188.65632257571167,214.82045910785607,18.189979722093025,44.96532266398779,26.775342941894767,Bulgaria (+27%)
